,Respondents,Assessments,N of Assessments,Last Assessment
0,1706,['CBCL'],1,CBCL
1,1706,"['CBCL', 'Basic_Demos']",2,Basic_Demos
2,1706,"['CBCL', 'Basic_Demos', 'CIS_P']",3,CIS_P
3,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P']",4,SCARED_P
4,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P']",5,WHODAS_P
5,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR']",6,WHODAS_SR
6,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC']",7,WISC
7,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR']",8,CIS_SR
8,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores']",9,NIH_Scores
9,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx']",10,PreInt_EduHx
10,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT']",11,PCIAT
11,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx']",12,PreInt_DevHx
12,1705,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN']",13,SWAN
13,1704,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P']",14,MFQ_P
14,1704,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN']",15,ESWAN
15,1703,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ']",16,SCQ
16,1702,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P']",17,ICU_P
