,Respondents,Assessments,N of Assessments,Last Assessment
0,1706,['CBCL'],1,CBCL
1,1706,"['CBCL', 'Basic_Demos']",2,Basic_Demos
2,1706,"['CBCL', 'Basic_Demos', 'CIS_P']",3,CIS_P
3,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P']",4,SCARED_P
4,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P']",5,WHODAS_P
5,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR']",6,WHODAS_SR
6,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC']",7,WISC
7,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR']",8,CIS_SR
8,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT']",9,IAT
9,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores']",10,NIH_Scores
10,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx']",11,PreInt_EduHx
11,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT']",12,PCIAT
12,1706,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx']",13,PreInt_DevHx
13,1705,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN']",14,SWAN
14,1704,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P']",15,MFQ_P
15,1704,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN']",16,ESWAN
16,1703,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ']",17,SCQ
