,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_03",1700,100.000
"PreInt_EduHx,homework",1700,100.000
"PreInt_DevHx,skill_range_04",1700,100.000
"PreInt_DevHx,skill_range_02",1700,100.000
"PreInt_DevHx,skill_range_01",1700,100.000
"PreInt_EduHx,listenmusic",1700,100.000
"PreInt_EduHx,instrument",1700,100.000
"PreInt_EduHx,imaginativeplay",1700,100.000
"PreInt_EduHx,grades",1700,100.000
"PreInt_EduHx,reading",1700,100.000
"PreInt_DevHx,skill_no_16",1700,100.000
"PreInt_DevHx,skill_no_15",1700,100.000
"PreInt_DevHx,skill_no_05",1700,100.000
"PreInt_EduHx,dancing",1700,100.000
"PreInt_EduHx,crafts",1700,100.000
"PreInt_EduHx,computerinternet",1700,100.000
"PreInt_DevHx,skill_range_05",1700,100.000
"PreInt_EduHx,clubsorganizations",1700,100.000
"PreInt_EduHx,religion",1700,100.000
"PreInt_DevHx,skill_range_07",1700,100.000
"PreInt_DevHx,skill_range_16",1700,100.000
"PreInt_EduHx,videocomputergames",1700,100.000
"PreInt_EduHx,tvmovies",1700,100.000
"PreInt_DevHx,skill_range_15",1700,100.000
"PreInt_EduHx,sports",1700,100.000
"PreInt_EduHx,shopping",1700,100.000
"PreInt_DevHx,skill_range_08",1699,99.941
"PreInt_DevHx,skill_range_17",1699,99.941
"PreInt_DevHx,skill_no_10",1699,99.941
"PreInt_DevHx,skill_no_07",1699,99.941
"PreInt_DevHx,skill_no_06",1699,99.941
"PreInt_DevHx,skill_range_11",1699,99.941
"PreInt_DevHx,skill_range_10",1699,99.941
"PreInt_DevHx,skill_range_09",1698,99.882
"PreInt_DevHx,skill_range_14",1697,99.824
"PreInt_DevHx,skill_range_12",1697,99.824
"PreInt_DevHx,skill_range_13",1696,99.765
"PreInt_DevHx,skill_no_03",1695,99.706
"PreInt_DevHx,skill_range_06",1693,99.588
"PreInt_DevHx,skill_no_12",1693,99.588
"PreInt_DevHx,skill_no_14",1693,99.588
"PreInt_EduHx,friendsout",1691,99.471
"PreInt_EduHx,friendsathome",1688,99.294
"PreInt_DevHx,skill_no_11",1688,99.294
"NIH_Scores,NIH7_Comp",1685,99.118
"ESWAN,Panic_A02",1680,98.824
"ESWAN,Panic_A03",1679,98.765
"ESWAN,Panic_A01",1679,98.765
"NIH_Scores,NIH7_Picture",1678,98.706
"PreInt_DevHx,skill_age_01",1660,97.647
"PreInt_DevHx,skill_no_08",1660,97.647
"PreInt_DevHx,skill_no_13",1637,96.294
"PreInt_DevHx,skill_age_11",1631,95.941
"PreInt_DevHx,skill_age_08",1628,95.765
"PreInt_DevHx,skill_age_10",1625,95.588
"PreInt_DevHx,skill_age_09",1622,95.412
"PreInt_DevHx,skill_age_02",1622,95.412
"PreInt_DevHx,skill_age_05",1620,95.294
"PreInt_DevHx,skill_age_04",1605,94.412
"PreInt_DevHx,skill_age_03",1569,92.294
"PreInt_DevHx,apgar5",1561,91.824
"PreInt_DevHx,apgar1",1555,91.471
"PreInt_DevHx,skill_no_09",1532,90.118
"PreInt_DevHx,skill_age_07",1527,89.824
"PreInt_DevHx,menstruation_age",1524,89.647
"PreInt_DevHx,skill_age_16",1375,80.882
"PreInt_DevHx,menstruation",1139,67.000
"PreInt_DevHx,skill_age_17",1051,61.824
"PreInt_EduHx,yrs_school",1047,61.588
"PreInt_EduHx,number_schools",1003,59.000
"CBCL,CBCL_113C",988,58.118
"PreInt_DevHx,skill_age_13",943,55.471
"PreInt_DevHx,puberty_age",920,54.118
"CBCL,CBCL_113B",896,52.706
"PreInt_DevHx,skill_age_15",870,51.176
"PreInt_DevHx,skill_age_12",764,44.941
"CBCL,CBCL_113A",732,43.059
"PreInt_DevHx,skill_age_14",676,39.765
"PreInt_DevHx,labor_dur",562,33.059
"PreInt_EduHx,getalongkids_neighborhood",340,20.000
"PreInt_EduHx,absent_skipping",326,19.176
"PreInt_DevHx,birthweight_ozs",309,18.176
"PreInt_EduHx,absent_other",301,17.706
"PreInt_EduHx,absent_late",299,17.588
"PreInt_EduHx,absent_ill",284,16.706
"PreInt_DevHx,skill_age_06",278,16.353
"PreInt_DevHx,hospital_dur",272,16.000
"PreInt_DevHx,premature",185,10.882
"PreInt_DevHx,newborn_problems",154,9.059
"PreInt_EduHx,current_religious",153,9.000
"PreInt_EduHx,number_friends",148,8.706
"PreInt_DevHx,birthweight_lbs",144,8.471
"PreInt_DevHx,m_birthage",93,5.471
"PreInt_DevHx,complications",86,5.059
"WHODAS_P,WHODAS_P_Days03",79,4.647
"CBCL,CBCL_56H",78,4.588
"WHODAS_P,WHODAS_P_Days01",74,4.353
"PreInt_EduHx,afterschoolteams",71,4.176
"WHODAS_P,WHODAS_P_Days02",71,4.176
"WHODAS_SR,WHODAS_SR_Days01",58,3.412
"WHODAS_SR,WHODAS_SR_Days03",52,3.059
"WHODAS_SR,WHODAS_SR_Days02",50,2.941
"PreInt_EduHx,bullied",45,2.647
"PreInt_EduHx,getalongkids_school",43,2.529
"ESWAN,Panic_A03B",37,2.176
"PreInt_EduHx,suspension",37,2.176
"ESWAN,Panic_A03A",36,2.118
"ESWAN,Panic_A02B",35,2.059
"ESWAN,Panic_A01B",35,2.059
"CBCL,CBCL_41",35,2.059
"ESWAN,Panic_A02A",33,1.941
"ESWAN,Panic_A01A",33,1.941
"SCQ,SCQ_06",32,1.882
"SCQ,SCQ_04",30,1.765
"SCQ,SCQ_02",30,1.765
"PreInt_DevHx,preg_dur",30,1.765
"SCQ,SCQ_07",29,1.706
"PreInt_EduHx,expulsion",28,1.647
"SCQ,SCQ_05",28,1.647
"SCQ,SCQ_03",28,1.647
"NIH_Scores,NIH7_List",27,1.588
"PreInt_EduHx,school_difficulty",27,1.588
"PreInt_DevHx,puberty",26,1.529
"NIH_Scores,NIH7_Pattern",24,1.412
"PreInt_EduHx,tutor",24,1.412
"ESWAN,Panic_B13",21,1.235
"PreInt_DevHx,delivery",21,1.235
"ESWAN,Panic_B12",20,1.176
"PreInt_EduHx,detention",19,1.118
"ESWAN,Panic_B11",19,1.118
"ESWAN,Panic_B09",18,1.059
"ESWAN,Panic_B05",17,1.000
"ESWAN,Panic_B08",17,1.000
"ESWAN,Panic_B02",17,1.000
"ESWAN,Panic_B06",16,0.941
"PreInt_EduHx,family_religious",16,0.941
"ESWAN,DMDD_10C",16,0.941
"ESWAN,Panic_B10",16,0.941
"ESWAN,Panic_B07",15,0.882
"ESWAN,Panic_B04",14,0.824
"PreInt_DevHx,lost_skills",14,0.824
"NIH_Scores,NIH7_Flanker",13,0.765
"NIH_Scores,NIH7_Card",13,0.765
"ESWAN,DMDD_10B",13,0.765
"SympChck,CSC_30P",13,0.765
"SympChck,CSC_32C",13,0.765
"ESWAN,Panic_B01",13,0.765
