,Amount missing,Persentage missing
"PreInt_EduHx,videocomputergames",1440,100.000
"PreInt_EduHx,imaginativeplay",1440,100.000
"PreInt_DevHx,skill_range_01",1440,100.000
"PreInt_DevHx,skill_range_02",1440,100.000
"ESWAN,Panic_A03",1440,100.000
"PreInt_EduHx,tvmovies",1440,100.000
"PreInt_EduHx,sports",1440,100.000
"PreInt_EduHx,shopping",1440,100.000
"PreInt_DevHx,skill_range_03",1440,100.000
"PreInt_EduHx,religion",1440,100.000
"PreInt_EduHx,reading",1440,100.000
"PreInt_EduHx,listenmusic",1440,100.000
"PreInt_EduHx,instrument",1440,100.000
"PreInt_EduHx,homework",1440,100.000
"PreInt_DevHx,skill_no_15",1440,100.000
"PreInt_EduHx,grades",1440,100.000
"PreInt_EduHx,dancing",1440,100.000
"PreInt_EduHx,crafts",1440,100.000
"PreInt_EduHx,computerinternet",1440,100.000
"PreInt_EduHx,clubsorganizations",1440,100.000
"PreInt_DevHx,skill_range_04",1440,100.000
"PreInt_DevHx,skill_range_05",1440,100.000
"PreInt_DevHx,skill_range_07",1440,100.000
"PreInt_DevHx,skill_range_15",1440,100.000
"PreInt_DevHx,skill_range_16",1440,100.000
"ESWAN,Panic_A01",1440,100.000
"PreInt_DevHx,skill_no_16",1440,100.000
"ESWAN,Panic_A02",1440,100.000
"PreInt_DevHx,skill_no_05",1440,100.000
"PreInt_DevHx,skill_range_11",1439,99.931
"PreInt_DevHx,skill_no_10",1439,99.931
"PreInt_DevHx,skill_range_08",1439,99.931
"PreInt_DevHx,skill_no_06",1439,99.931
"PreInt_DevHx,skill_range_10",1439,99.931
"PreInt_DevHx,skill_range_17",1439,99.931
"PreInt_DevHx,skill_no_07",1439,99.931
"PreInt_DevHx,skill_range_09",1438,99.861
"PreInt_DevHx,skill_range_12",1438,99.861
"PreInt_DevHx,skill_range_14",1437,99.792
"PreInt_DevHx,skill_range_06",1436,99.722
"PreInt_DevHx,skill_range_13",1436,99.722
"NIH_Scores,NIH7_Comp",1435,99.653
"NIH_Scores,NIH7_Picture",1435,99.653
"PreInt_DevHx,skill_no_03",1435,99.653
"PreInt_DevHx,skill_no_12",1434,99.583
"PreInt_DevHx,skill_no_14",1433,99.514
"PreInt_EduHx,friendsout",1431,99.375
"PreInt_DevHx,skill_no_11",1430,99.306
"PreInt_EduHx,friendsathome",1428,99.167
"PreInt_DevHx,skill_age_01",1414,98.194
"PreInt_DevHx,skill_no_08",1404,97.500
"PreInt_DevHx,skill_no_13",1386,96.250
"PreInt_DevHx,skill_age_11",1384,96.111
"PreInt_DevHx,skill_age_10",1384,96.111
"PreInt_DevHx,skill_age_02",1382,95.972
"PreInt_DevHx,skill_age_05",1379,95.764
"PreInt_DevHx,skill_age_08",1377,95.625
"PreInt_DevHx,skill_age_09",1374,95.417
"PreInt_DevHx,skill_age_04",1363,94.653
"PreInt_DevHx,skill_age_03",1339,92.986
"PreInt_DevHx,apgar5",1334,92.639
"PreInt_DevHx,apgar1",1329,92.292
"PreInt_DevHx,menstruation_age",1306,90.694
"PreInt_DevHx,skill_age_07",1302,90.417
"PreInt_DevHx,skill_no_09",1290,89.583
"PreInt_DevHx,skill_age_16",1174,81.528
"SRS,SRS_46",1014,70.417
"PreInt_DevHx,menstruation",973,67.569
"PreInt_EduHx,yrs_school",941,65.347
"PreInt_EduHx,number_schools",888,61.667
"PreInt_DevHx,skill_age_17",881,61.181
"CBCL,CBCL_113C",829,57.569
"PreInt_DevHx,skill_age_13",799,55.486
"PreInt_DevHx,puberty_age",782,54.306
"CBCL,CBCL_113B",755,52.431
"PreInt_DevHx,skill_age_15",753,52.292
"PreInt_DevHx,skill_age_12",635,44.097
"CBCL,CBCL_113A",616,42.778
"PreInt_DevHx,skill_age_14",582,40.417
"PreInt_DevHx,labor_dur",488,33.889
"PreInt_EduHx,getalongkids_neighborhood",295,20.486
"PreInt_EduHx,absent_skipping",275,19.097
"PreInt_DevHx,birthweight_ozs",268,18.611
"PreInt_EduHx,absent_other",259,17.986
