,N of Participants,% of Participants Filled
"CBCL,EID",1706,100.0
"Basic_Demos,EID",1706,100.0
"CIS_P,EID",1706,100.0
"SCARED_P,EID",1706,100.0
"CELF,EID",1706,100.0
"WHODAS_P,EID",1706,100.0
"WHODAS_SR,EID",1706,100.0
"PreInt_TxHx,EID",1706,100.0
"WIAT,EID",1706,100.0
"WISC,EID",1706,100.0
"CIS_SR,EID",1706,100.0
"IAT,EID",1706,100.0
"NIH_Scores,EID",1706,100.0
"PreInt_EduHx,EID",1706,100.0
"PCIAT,EID",1706,100.0
"PreInt_DevHx,EID",1706,100.0
"Pegboard,EID",1706,100.0
"SWAN,EID",1705,99.94138335287221
"CTOPP,EID",1705,99.94138335287221
"MFQ_P,EID",1705,99.94138335287221
"ESWAN,EID",1705,99.94138335287221
"SCQ,EID",1705,99.94138335287221
"ICU_P,EID",1704,99.88276670574443
"SympChck,EID",1704,99.88276670574443
"ColorVision,EID",1704,99.88276670574443
"SRS,EID",1704,99.88276670574443
"EEG_Track,EID",1704,99.88276670574443
"ARI_P,EID",1704,99.88276670574443
"SDQ,EID",1703,99.82415005861665
"DTS,EID",1703,99.82415005861665
"FGC,EID",1703,99.82415005861665
"PreInt_Demos_Home,EID",1703,99.82415005861665
"PreInt_Demos_Fam,EID",1703,99.82415005861665
"ASSQ,EID",1703,99.82415005861665
"ARI_S,EID",1701,99.70691676436107
"PreInt_FamHx_RDC,EID",1699,99.58968347010551
"EHQ,EID",1699,99.58968347010551
"Barratt,EID",1698,99.53106682297772
"SAS,EID",1698,99.53106682297772
"Diagnosis_ClinicianConsensus,EID",1697,99.47245017584994
"TOWRE,EID",1697,99.47245017584994
"FSQ,EID",1695,99.35521688159437
"PBQ,EID",1693,99.2379835873388
"NLES_P,EID",1693,99.2379835873388
"GFTA,EID",1692,99.17936694021103
"YFAS_C,EID",1689,99.00351699882766
"Physical,EID",1682,98.59320046893318
"PreInt_Lang,EID",1664,97.53810082063306
"SDS,EID",1664,97.53810082063306
"APQ_P,EID",1645,96.42438452520516
"APQ_SR,EID",1640,96.13130128956624
"RBS,EID",1627,95.36928487690504
"CGAS,EID",1607,94.19695193434936
"PhenX_Neighborhood,EID",1598,93.6694021101993
"PSI,EID",1597,93.61078546307151
"NIH_final,EID",1539,90.21101992966003
"C3SR,EID",1479,86.69402110199297
"SCARED_SR,EID",1478,86.63540445486518
"MFQ_SR,EID",1477,86.5767878077374
"MRI_Track,EID",1472,86.28370457209847
"CCSC,EID",1459,85.52168815943728
"PPS,EID",1405,82.35638921453693
"FFQ,EID",1382,81.00820633059789
"PAQ_C,EID",1262,73.97420867526378
"CPIC,EID",1204,70.57444314185229
"NIH,EID",1154,67.64361078546307
"BIA,EID",1043,61.13716295427901
"ESPAD,EID",941,55.158264947245016
"YSR,EID",722,42.32121922626026
"Audit,EID",719,42.14536928487691
"ConsensusDx,EID",602,35.28722157092614
"DrugScreen,EID",568,33.29425556858148
"NLES_SR,EID",553,32.41500586166472
"PhenX_SchoolRisk,EID",450,26.377491207502928
"FTQA,EID",372,21.805392731535754
"Pregnancy,EID",215,12.602579132473624
"PAQ_A,EID",213,12.485345838218054
"Quotient_Ext,EID",203,11.899179366940212
"EVT,EID",135,7.913247362250879
"PPVT,EID",135,7.913247362250879
"CELF_Full_9to21,EID",97,5.685814771395076
"CELF_Meta,EID",96,5.627198124267292
"CELF_Full_5to8,EID",39,2.2860492379835873
"Vineland,EID",33,1.9343493552168818
"Quotient,EID",29,1.6998827667057446
"WASI,EID",6,0.3516998827667058
"WAIS,EID",5,0.29308323563892147
"ACE,EID",3,0.1758499413833529
"YFAS,EID",2,0.11723329425556857
"KBIT,EID",1,0.058616647127784284
"FTND,EID",1,0.058616647127784284
"CBCL_Pre,EID",1,0.058616647127784284
"NIDA,EID",1,0.058616647127784284
"STAI,EID",0,0.0
"SRS_Pre,EID",0,0.0
"RANRAS,EID",0,0.0
"DigitSpan,EID",0,0.0
"CELF5_Meta,EID",0,0.0
"CDI_SR,EID",0,0.0
"CDI_P,EID",0,0.0
"CAARS,EID",0,0.0
"ASR,EID",0,0.0
