,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_01",1239,100.000
"PreInt_DevHx,skill_range_10",1239,100.000
"PreInt_DevHx,skill_range_07",1239,100.000
"PreInt_DevHx,skill_range_05",1239,100.000
"PreInt_DevHx,skill_range_04",1239,100.000
"PreInt_DevHx,skill_range_03",1239,100.000
"PreInt_DevHx,skill_range_02",1239,100.000
"PreInt_EduHx,imaginativeplay",1239,100.000
"PreInt_EduHx,sports",1239,100.000
"PreInt_DevHx,skill_no_16",1239,100.000
"PreInt_DevHx,skill_no_15",1239,100.000
"PreInt_EduHx,shopping",1239,100.000
"ESWAN,Panic_A03",1239,100.000
"PreInt_EduHx,instrument",1239,100.000
"PreInt_EduHx,religion",1239,100.000
"PreInt_EduHx,listenmusic",1239,100.000
"PreInt_EduHx,reading",1239,100.000
"PreInt_DevHx,skill_no_05",1239,100.000
"PreInt_DevHx,skill_range_08",1239,100.000
"PreInt_EduHx,homework",1239,100.000
"ESWAN,Panic_A02",1239,100.000
"PreInt_DevHx,skill_range_16",1239,100.000
"PreInt_DevHx,skill_range_15",1239,100.000
"ESWAN,Panic_A01",1239,100.000
"PreInt_EduHx,clubsorganizations",1239,100.000
"PreInt_EduHx,computerinternet",1239,100.000
"PreInt_EduHx,dancing",1239,100.000
"PreInt_EduHx,crafts",1239,100.000
"PreInt_EduHx,videocomputergames",1239,100.000
"PreInt_DevHx,skill_range_11",1239,100.000
"PreInt_EduHx,tvmovies",1239,100.000
"PreInt_EduHx,grades",1239,100.000
"PreInt_DevHx,skill_no_10",1238,99.919
"PreInt_DevHx,skill_no_07",1238,99.919
"PreInt_DevHx,skill_range_17",1238,99.919
"PreInt_DevHx,skill_no_06",1238,99.919
"PreInt_DevHx,skill_range_14",1237,99.839
"PreInt_DevHx,skill_range_09",1237,99.839
"PreInt_DevHx,skill_range_12",1237,99.839
"PreInt_DevHx,skill_range_13",1236,99.758
"PreInt_DevHx,skill_no_03",1236,99.758
"PreInt_DevHx,skill_range_06",1235,99.677
"PreInt_DevHx,skill_no_12",1235,99.677
"NIH_Scores,NIH7_Picture",1234,99.596
"NIH_Scores,NIH7_Comp",1234,99.596
"PreInt_DevHx,skill_no_14",1233,99.516
"PreInt_DevHx,skill_no_11",1232,99.435
"PreInt_EduHx,friendsout",1231,99.354
"PreInt_EduHx,friendsathome",1228,99.112
"PreInt_DevHx,skill_age_01",1217,98.224
"PreInt_DevHx,skill_no_08",1210,97.659
"PreInt_DevHx,skill_no_13",1195,96.449
"PreInt_DevHx,skill_age_11",1193,96.287
"PreInt_DevHx,skill_age_10",1193,96.287
"PreInt_DevHx,skill_age_02",1191,96.126
"PreInt_DevHx,skill_age_08",1188,95.884
"PreInt_DevHx,skill_age_05",1186,95.722
"PreInt_DevHx,skill_age_09",1180,95.238
"PreInt_DevHx,skill_age_04",1173,94.673
"PreInt_DevHx,skill_age_03",1152,92.978
"PreInt_DevHx,apgar5",1144,92.333
"PreInt_DevHx,skill_no_09",1141,92.090
"PreInt_DevHx,apgar1",1139,91.929
"PreInt_DevHx,skill_age_07",1118,90.234
"PreInt_DevHx,menstruation_age",1105,89.185
"PreInt_DevHx,skill_age_16",1014,81.840
"SRS,SRS_46",878,70.864
