,"PCIAT,PCIAT_Total","IAT,IAT_Total","PreInt_EduHx,recent_grades","WHODAS_P,WHODAS_P_Total","WHODAS_SR,WHODAS_SR_Score","CIS_P,CIS_P_Score","CIS_SR,CIS_SR_Total"
1,-15.008626273702468,-13.299402449987708,-0.741973004471175,-10.265305569021443,-10.699436386136282,-5.694113720587751,-5.810945063934639
2,-14.333910465150687,-13.118058366521621,-0.7304975444896793,-9.636808372869318,-10.425452955993816,-5.0868751253599696,-5.571562053135113
3,-13.664341531890146,-13.0188606795788,-0.7252306815406272,-9.126649360152943,-10.213745442823278,-4.809864928072859,-5.399060721298836
4,-13.341588968865427,-12.942761289352099,-0.7199589336600497,-8.822317782913842,-10.05285837547294,-4.568262084100333,-5.300349199890016
5,-13.1484372760972,-12.88683536202281,-0.7155991560123894,-8.58267382989474,-9.944349491581503,-4.406928959113204,-5.1925412182716615
6,-12.987314720234124,-12.812381325351204,-0.7143299112351884,-8.41051672405981,-9.822723996645072,-4.2630498387659514,-5.127804109567803
7,-12.939948855517331,-12.742121405160832,-0.7116903086669394,-8.25899932119508,-9.77042313359637,-4.109618837875702,-5.079790261549106
8,-12.870040414011447,-12.685332849417351,-0.7085929752219915,-8.078552957992658,-9.746865311813254,-4.0538020936176125,-5.027501814170555
9,-12.807060503343987,-12.628874768165755,-0.7069535049033492,-7.986908454504391,-9.676887516731934,-3.9918333719024495,-4.968981653489903
10,-12.743911620279157,-12.580969253075853,-0.7056873953389285,-7.913581861234792,-9.625059337284029,-3.949543702084596,-4.935736350505451
11,-12.659097733573585,-12.54149759896565,-0.7041831752560253,-7.846608578713311,-9.585393603576588,-3.8966776832582024,-4.931945127832162
12,-12.59475772204155,-12.492538003373905,-0.7029560678445501,-7.808578834958632,-9.539635177320513,-3.8730125337818633,-4.919094743881807
13,-12.589116038797684,-12.466277763987467,-0.7023709689524473,-7.76514469700493,-9.494573025567316,-3.8348185387921916,-4.901629358718294
14,-12.581883177018424,-12.431812183840059,-0.7022201170815614,-7.7359909169399454,-9.471782840828478,-3.8177570457983454,-4.895686026266091
15,-12.531704967207492,-12.383024829621807,-0.7002096981591612,-7.722698820978586,-9.463142620060815,-3.796272841633673,-4.88589774803987
16,-12.523132994863566,-12.341349934774689,-0.6988625145506996,-7.7083266962995225,-9.442719493533057,-3.780113307980052,-4.86767497762366
17,-12.475698775020273,-12.286816937859125,-0.697497601935622,-7.704956963796574,-9.429740985001816,-3.7673346715688076,-4.852203296929894
18,-12.444034624330545,-12.259530857893278,-0.6985408329633818,-7.704303545520371,-9.42533668811172,-3.7508629144352823,-4.836325341239029
19,-12.471083734050437,-12.240005599670361,-0.69727718656345,-7.678957021043562,-9.410456860536158,-3.7332315643942495,-4.8254040806260186
20,-12.446882030799859,-12.225690606236636,-0.696999675875044,-7.673588441166972,-9.369798819036186,-3.726538567509937,-4.807626895678795
