,"CIS_P,CIS_P_Score"
1,0.26040541001564066
2,0.3952372772224329
3,0.46991534631584575
4,0.5147330134724022
5,0.5524809210810212
6,0.5841217974119037
7,0.6048120062406088
8,0.6200451309676185
9,0.6384201551699897
10,0.6509259203147089
11,0.6610282142947737
12,0.666650416864712
13,0.6724143235155184
14,0.6783207556527941
15,0.6852375519956402
16,0.689627556649488
17,0.6930588354330618
18,0.6973999221869225
19,0.702988627981902
20,0.7058606282022907
21,0.7086313782744176
22,0.7110814381137953
23,0.7125217249876772
24,0.715169635176688
25,0.7167061513420494
26,0.7201015786456475
27,0.7201152408272078
