,N of Participants,% of Participants Filled
"IAT,EID",1893,100.0
"Pegboard,EID",1893,100.0
"CIS_P,EID",1893,100.0
"WHODAS_SR,EID",1893,100.0
"WIAT,EID",1893,100.0
"CELF,EID",1893,100.0
"WHODAS_P,EID",1893,100.0
"PCIAT,EID",1893,100.0
"Basic_Demos,EID",1893,100.0
"CIS_SR,EID",1893,100.0
"PreInt_DevHx,EID",1893,100.0
"PreInt_EduHx,EID",1893,100.0
"PreInt_TxHx,EID",1893,100.0
"SCARED_P,EID",1893,100.0
"NIH_Scores,EID",1892,99.94717379820392
"CTOPP,EID",1892,99.94717379820392
"SCQ,EID",1892,99.94717379820392
"ICU_P,EID",1891,99.89434759640781
"EEG_Track,EID",1891,99.89434759640781
"ColorVision,EID",1891,99.89434759640781
"ASSQ,EID",1890,99.84152139461173
"SympChck,EID",1890,99.84152139461173
"ARI_P,EID",1890,99.84152139461173
"DTS,EID",1890,99.84152139461173
"MFQ_P,EID",1890,99.84152139461173
"ESWAN,EID",1889,99.78869519281564
"SWAN,EID",1889,99.78869519281564
"ARI_S,EID",1888,99.73586899101954
"EHQ,EID",1886,99.63021658742737
"PreInt_FamHx_RDC,EID",1884,99.52456418383518
"Diagnosis_ClinicianConsensus,EID",1883,99.47173798203909
"Barratt,EID",1882,99.41891178024301
"TOWRE,EID",1879,99.26043317485473
"NLES_P,EID",1878,99.20760697305863
"PBQ,EID",1878,99.20760697305863
"PreInt_Demos_Fam,EID",1877,99.15478077126255
"GFTA,EID",1877,99.15478077126255
"PreInt_Demos_Home,EID",1877,99.15478077126255
"CBCL,EID",1865,98.52086634970945
"SRS,EID",1863,98.41521394611728
"SDQ,EID",1862,98.36238774432118
"SAS,EID",1857,98.09825673534073
"Physical,EID",1855,97.99260433174854
"FSQ,EID",1855,97.99260433174854
"PreInt_Lang,EID",1844,97.41151611199155
"FGC,EID",1835,96.93608029582673
"RBS,EID",1808,95.50977284733227
"APQ_P,EID",1808,95.50977284733227
"APQ_SR,EID",1799,95.03433703116745
"PhenX_Neighborhood,EID",1779,93.97781299524564
"CGAS,EID",1778,93.92498679344955
"SDS,EID",1775,93.76650818806128
"YFAS_C,EID",1762,93.0797675647121
"PSI,EID",1751,92.4986793449551
"WISC,EID",1743,92.07606973058637
"NIH_final,EID",1694,89.48758584257791
"MFQ_SR,EID",1659,87.63866877971473
"SCARED_SR,EID",1654,87.37453777073428
"C3SR,EID",1632,86.2123613312203
"MRI_Track,EID",1621,85.63127311146329
"CCSC,EID",1618,85.47279450607502
"PPS,EID",1551,81.93343898573693
"FFQ,EID",1516,80.08452192287375
"CPIC,EID",1339,70.73428420496566
"PAQ_C,EID",1285,67.88166930797675
"NIH,EID",1274,67.30058108821976
"BIA,EID",1137,60.063391442155314
"ESPAD,EID",1110,58.63708399366085
"Audit,EID",883,46.64553618594823
"YSR,EID",836,44.16270470153196
"DrugScreen,EID",701,37.031167459059695
"ConsensusDx,EID",649,34.284204965662965
"NLES_SR,EID",648,34.23137876386688
"PhenX_SchoolRisk,EID",587,31.008980454305334
"FTQA,EID",479,25.303750660327523
"PAQ_A,EID",320,16.904384574749077
"Pregnancy,EID",260,13.734812466983623
"Quotient_Ext,EID",212,11.199154780771263
"EVT,EID",141,7.448494453248812
"PPVT,EID",141,7.448494453248812
"WAIS,EID",139,7.34284204965663
"YFAS,EID",116,6.12783940834654
"CELF_Full_9to21,EID",102,5.388272583201268
"CELF_Meta,EID",102,5.388272583201268
"WASI,EID",63,3.328050713153724
"FTND,EID",55,2.9054410987849977
"ASR,EID",52,2.7469624933967247
"CAARS,EID",52,2.7469624933967247
"Vineland,EID",43,2.271526677231907
"CELF_Full_5to8,EID",39,2.0602218700475436
"ACE,EID",36,1.9017432646592711
"STAI,EID",31,1.6376122556788169
"Quotient,EID",30,1.5847860538827259
"KBIT,EID",9,0.4754358161648178
"DigitSpan,EID",2,0.10565240359218173
"CBCL_Pre,EID",1,0.05282620179609086
"NIDA,EID",1,0.05282620179609086
"SRS_Pre,EID",0,0.0
"RANRAS,EID",0,0.0
"CELF5_Meta,EID",0,0.0
"CDI_SR,EID",0,0.0
"CDI_P,EID",0,0.0
