,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_02",2594,100.0
"PreInt_DevHx,skill_range_15",2594,100.0
"PreInt_DevHx,skill_no_05",2594,100.0
"PreInt_DevHx,skill_no_16",2594,100.0
"PreInt_DevHx,skill_range_01",2594,100.0
"PreInt_DevHx,skill_range_05",2594,100.0
"PreInt_EduHx,tvmovies",2594,100.0
"PreInt_EduHx,religion",2594,100.0
"PreInt_EduHx,reading",2594,100.0
"PreInt_EduHx,listenmusic",2594,100.0
"PreInt_EduHx,imaginativeplay",2594,100.0
"PreInt_EduHx,homework",2594,100.0
"PreInt_EduHx,grades",2594,100.0
"PreInt_DevHx,skill_range_07",2594,100.0
"PreInt_EduHx,dancing",2594,100.0
"PreInt_EduHx,crafts",2594,100.0
"PreInt_DevHx,skill_range_16",2593,99.96144949884348
"PreInt_EduHx,computerinternet",2593,99.96144949884348
"PreInt_DevHx,skill_range_03",2593,99.96144949884348
"PreInt_DevHx,skill_no_15",2593,99.96144949884348
"PreInt_EduHx,videocomputergames",2593,99.96144949884348
"PreInt_DevHx,skill_range_04",2593,99.96144949884348
"PreInt_EduHx,shopping",2593,99.96144949884348
"PreInt_EduHx,clubsorganizations",2593,99.96144949884348
"PreInt_EduHx,sports",2593,99.96144949884348
"PreInt_EduHx,instrument",2593,99.96144949884348
"PreInt_DevHx,skill_no_06",2592,99.92289899768697
"PreInt_DevHx,skill_range_11",2592,99.92289899768697
"PreInt_DevHx,skill_range_08",2592,99.92289899768697
"PreInt_DevHx,skill_range_10",2592,99.92289899768697
"PreInt_DevHx,skill_no_07",2591,99.88434849653045
"PreInt_DevHx,skill_range_09",2591,99.88434849653045
"PreInt_DevHx,skill_range_17",2591,99.88434849653045
"PreInt_DevHx,skill_range_14",2589,99.80724749421742
"PreInt_DevHx,skill_range_13",2589,99.80724749421742
"PreInt_DevHx,skill_range_12",2588,99.76869699306091
"PreInt_DevHx,skill_no_10",2585,99.65304548959136
"PreInt_EduHx,friendsout",2584,99.61449498843486
"PreInt_DevHx,skill_range_06",2584,99.61449498843486
"PreInt_DevHx,skill_no_03",2584,99.61449498843486
"PreInt_DevHx,skill_no_12",2579,99.42174248265228
"PreInt_EduHx,friendsathome",2578,99.38319198149576
"PreInt_DevHx,skill_no_14",2577,99.34464148033925
"PreInt_DevHx,skill_no_11",2568,98.99768696993061
"PreInt_DevHx,skill_no_08",2518,97.07016191210485
"PreInt_DevHx,skill_age_01",2493,96.10639938319197
"PreInt_DevHx,skill_age_09",2487,95.87509637625288
"PreInt_DevHx,skill_no_13",2482,95.68234387047032
"PreInt_DevHx,skill_age_08",2473,95.33538936006168
"PreInt_DevHx,skill_age_11",2471,95.25828835774865
"PreInt_DevHx,skill_age_10",2447,94.3330763299923
"PreInt_DevHx,skill_age_05",2440,94.06322282189669
"PreInt_DevHx,skill_age_02",2432,93.75481881264457
"PreInt_DevHx,skill_age_04",2411,92.94525828835775
"PreInt_DevHx,apgar5",2385,91.94294525828836
"PreInt_DevHx,apgar1",2374,91.5188897455667
"PreInt_DevHx,skill_age_03",2351,90.63222821896684
"ESWAN,Panic_A02",2333,89.93831919814957
"ESWAN,Panic_A03",2333,89.93831919814957
"ESWAN,Panic_A01",2331,89.86121819583654
"PreInt_DevHx,menstruation_age",2321,89.4757131842714
"PreInt_DevHx,skill_age_07",2286,88.12644564379337
"PreInt_DevHx,skill_no_09",2221,85.62066306861989
"PreInt_DevHx,skill_age_16",2095,80.763299922899
"PreInt_DevHx,menstruation",1738,67.00077101002313
