,Respondents,Assessments,N of Assessments,Last Assessment
0,2834,['PreInt_EduHx'],1,PreInt_EduHx
1,2834,"['PreInt_EduHx', 'Basic_Demos']",2,Basic_Demos
2,2834,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT']",3,PCIAT
3,2830,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ']",4,SCQ
4,2826,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx']",5,PreInt_DevHx
5,2820,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck']",6,SympChck
6,2810,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P']",7,ICU_P
7,2798,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ']",8,ASSQ
8,2793,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P']",9,ARI_P
9,2791,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS']",10,DTS
10,2776,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt']",11,Barratt
11,2750,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ']",12,SDQ
12,2698,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN']",13,SWAN
13,2668,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN']",14,ESWAN
14,2594,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL']",15,CBCL
15,2591,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS']",16,SRS
16,2486,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P']",17,APQ_P
17,2351,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P']",18,MFQ_P
18,2174,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P']",19,WHODAS_P
19,2173,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P']",20,CIS_P
20,2025,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI']",21,PSI
21,1914,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR']",22,APQ_SR
