,Respondents,Assessments,N of Assessments,Last Assessment
0,1893,['IAT'],1,IAT
1,1893,"['IAT', 'CIS_P']",2,CIS_P
2,1893,"['IAT', 'CIS_P', 'WHODAS_SR']",3,WHODAS_SR
3,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P']",4,WHODAS_P
4,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT']",5,PCIAT
5,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos']",6,Basic_Demos
6,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR']",7,CIS_SR
7,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx']",8,PreInt_DevHx
8,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx']",9,PreInt_EduHx
9,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P']",10,SCARED_P
10,1892,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ']",11,SCQ
11,1891,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P']",12,ICU_P
12,1888,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ']",13,ASSQ
13,1885,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck']",14,SympChck
14,1882,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P']",15,ARI_P
15,1882,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS']",16,DTS
16,1879,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P']",17,MFQ_P
17,1875,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN']",18,ESWAN
18,1875,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN']",19,SWAN
19,1866,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt']",20,Barratt
20,1846,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL']",21,CBCL
21,1845,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS']",22,SRS
22,1843,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ']",23,SDQ
23,1763,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS']",24,RBS
24,1682,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P']",25,APQ_P
25,1665,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR']",26,APQ_SR
26,1630,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood']",27,PhenX_Neighborhood
27,1567,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI']",28,PSI
