,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_04",1763,100.0
"PreInt_DevHx,skill_no_05",1763,100.0
"PreInt_EduHx,instrument",1763,100.0
"PreInt_EduHx,imaginativeplay",1763,100.0
"PreInt_EduHx,homework",1763,100.0
"PreInt_DevHx,skill_range_01",1763,100.0
"PreInt_EduHx,grades",1763,100.0
"PreInt_DevHx,skill_range_07",1763,100.0
"PreInt_EduHx,dancing",1763,100.0
"ESWAN,Panic_A01",1763,100.0
"PreInt_DevHx,skill_no_15",1763,100.0
"ESWAN,Panic_A02",1763,100.0
"PreInt_EduHx,crafts",1763,100.0
"PreInt_DevHx,skill_range_05",1763,100.0
"PreInt_DevHx,skill_no_16",1763,100.0
"PreInt_DevHx,skill_range_03",1763,100.0
"PreInt_DevHx,skill_range_02",1763,100.0
"PreInt_EduHx,listenmusic",1763,100.0
"ESWAN,Panic_A03",1763,100.0
"PreInt_EduHx,clubsorganizations",1763,100.0
"PreInt_EduHx,religion",1763,100.0
"PreInt_EduHx,computerinternet",1763,100.0
"PreInt_DevHx,skill_range_15",1763,100.0
"PreInt_EduHx,reading",1763,100.0
"PreInt_EduHx,videocomputergames",1763,100.0
"PreInt_DevHx,skill_range_16",1763,100.0
"PreInt_EduHx,tvmovies",1763,100.0
"PreInt_EduHx,sports",1763,100.0
"PreInt_EduHx,shopping",1763,100.0
"PreInt_DevHx,skill_range_17",1762,99.94327850255247
"PreInt_DevHx,skill_no_06",1762,99.94327850255247
"PreInt_DevHx,skill_range_10",1762,99.94327850255247
"PreInt_DevHx,skill_range_08",1761,99.88655700510493
"PreInt_DevHx,skill_no_10",1761,99.88655700510493
"PreInt_DevHx,skill_no_07",1761,99.88655700510493
"PreInt_DevHx,skill_range_11",1761,99.88655700510493
"PreInt_DevHx,skill_range_14",1760,99.8298355076574
"PreInt_DevHx,skill_range_09",1760,99.8298355076574
"PreInt_DevHx,skill_range_12",1760,99.8298355076574
"PreInt_DevHx,skill_range_13",1759,99.77311401020987
"PreInt_DevHx,skill_no_03",1757,99.6596710153148
"PreInt_DevHx,skill_no_14",1756,99.60294951786727
"PreInt_DevHx,skill_range_06",1756,99.60294951786727
"PreInt_DevHx,skill_no_12",1756,99.60294951786727
"PreInt_EduHx,friendsout",1753,99.43278502552467
"PreInt_DevHx,skill_no_11",1751,99.31934203062961
"PreInt_EduHx,friendsathome",1750,99.26262053318207
"PreInt_DevHx,skill_age_01",1728,98.01474758933637
"PreInt_DevHx,skill_no_08",1723,97.73114010209869
"PreInt_DevHx,skill_no_13",1703,96.59671015314805
"PreInt_DevHx,skill_age_11",1696,96.19965967101531
"PreInt_DevHx,skill_age_08",1690,95.85933068633013
"PreInt_DevHx,skill_age_02",1687,95.68916619398752
"PreInt_DevHx,skill_age_10",1686,95.63244469653999
"PreInt_DevHx,skill_age_05",1685,95.57572319909245
"PreInt_DevHx,skill_age_09",1684,95.51900170164492
"PreInt_DevHx,skill_age_04",1669,94.66817923993193
"PreInt_DevHx,skill_age_03",1633,92.62620533182076
"PreInt_DevHx,apgar5",1628,92.3425978445831
"PreInt_DevHx,apgar1",1621,91.94554736245037
"PreInt_DevHx,skill_no_09",1597,90.58423142370958
"PreInt_DevHx,skill_age_07",1590,90.18718094157686
"PreInt_DevHx,menstruation_age",1558,88.37209302325581
"PreInt_DevHx,skill_age_16",1438,81.56551332955189
"SRS,SRS_46",1234,69.99432785025525
"PreInt_DevHx,menstruation",1174,66.5910380034033
"PreInt_EduHx,yrs_school",1128,63.98184912081679
"PreInt_DevHx,skill_age_17",1086,61.599546228020415
"PreInt_EduHx,number_schools",1074,60.91888825865003
"CBCL,CBCL_113C",1029,58.36642087351106
"PreInt_DevHx,skill_age_13",969,54.963131026659106
"CBCL,CBCL_113B",933,52.92115711854793
"PreInt_DevHx,puberty_age",912,51.73000567214975
"PreInt_DevHx,skill_age_15",903,51.21951219512195
"PreInt_DevHx,skill_age_12",779,44.18604651162791
"CBCL,CBCL_113A",765,43.39194554736245
"PreInt_DevHx,skill_age_14",721,40.89619965967102
"PreInt_DevHx,labor_dur",599,33.976176971072036
"PreInt_EduHx,getalongkids_neighborhood",372,21.100397050482133
"PreInt_EduHx,absent_skipping",344,19.51219512195122
"PreInt_DevHx,birthweight_ozs",327,18.547929665343165
"PreInt_EduHx,absent_late",324,18.37776517300057
"PreInt_EduHx,absent_other",318,18.03743618831537
"PreInt_EduHx,absent_ill",301,17.073170731707318
"PreInt_DevHx,hospital_dur",298,16.903006239364718
"PreInt_DevHx,skill_age_06",287,16.27906976744186
"PreInt_DevHx,premature",201,11.401020986954055
"SDQ,SDQ_27",181,10.266591038003403
"SDQ,SDQ_28",175,9.926262053318208
"SDQ,SDQ_29_d",174,9.869540555870675
"PreInt_EduHx,current_religious",169,9.585933068633013
"SDQ,SDQ_29_c",168,9.52921157118548
"SDQ,SDQ_29_b",168,9.52921157118548
"SDQ,SDQ_29_a",167,9.472490073737946
"PreInt_DevHx,newborn_problems",165,9.359047078842881
"PreInt_DevHx,birthweight_lbs",161,9.132161089052751
"SDQ,SDQ_30",161,9.132161089052751
"PreInt_EduHx,number_friends",156,8.848553601815087
"PreInt_DevHx,m_birthage",99,5.615428247305728
"PreInt_DevHx,complications",96,5.445263754963131
"CBCL,CBCL_56H",85,4.821327283040272
"PreInt_EduHx,afterschoolteams",75,4.254112308564946
"WHODAS_P,WHODAS_P_Days03",73,4.14066931366988
"WHODAS_P,WHODAS_P_Days01",71,4.027226318774816
"WHODAS_P,WHODAS_P_Days02",66,3.743618831537152
"WHODAS_SR,WHODAS_SR_Days01",58,3.2898468519568915
"PreInt_EduHx,bullied",50,2.836074872376631
