,Amount missing,Persentage missing
"PreInt_DevHx,skill_no_16",1882,100.0
"PreInt_EduHx,dancing",1882,100.0
"PreInt_DevHx,skill_no_05",1882,100.0
"PreInt_DevHx,skill_no_15",1882,100.0
"PreInt_DevHx,skill_range_01",1882,100.0
"PreInt_DevHx,skill_range_02",1882,100.0
"PreInt_DevHx,skill_range_03",1882,100.0
"PreInt_DevHx,skill_range_04",1882,100.0
"PreInt_DevHx,skill_range_07",1882,100.0
"PreInt_DevHx,skill_range_15",1882,100.0
"PreInt_DevHx,skill_range_16",1882,100.0
"PreInt_EduHx,clubsorganizations",1882,100.0
"PreInt_EduHx,computerinternet",1882,100.0
"PreInt_EduHx,crafts",1882,100.0
"PreInt_DevHx,skill_range_05",1882,100.0
"PreInt_EduHx,videocomputergames",1882,100.0
"PreInt_EduHx,grades",1882,100.0
"PreInt_EduHx,homework",1882,100.0
"PreInt_EduHx,imaginativeplay",1882,100.0
"PreInt_EduHx,instrument",1882,100.0
"PreInt_EduHx,tvmovies",1882,100.0
"PreInt_EduHx,sports",1882,100.0
"PreInt_EduHx,shopping",1882,100.0
"PreInt_EduHx,religion",1882,100.0
"PreInt_EduHx,reading",1882,100.0
"PreInt_EduHx,listenmusic",1882,100.0
"PreInt_DevHx,skill_no_06",1881,99.94686503719447
"PreInt_DevHx,skill_range_17",1881,99.94686503719447
"PreInt_DevHx,skill_range_10",1881,99.94686503719447
"PreInt_DevHx,skill_no_07",1880,99.89373007438896
"PreInt_DevHx,skill_no_10",1880,99.89373007438896
"PreInt_DevHx,skill_range_08",1880,99.89373007438896
"PreInt_DevHx,skill_range_11",1880,99.89373007438896
"PreInt_DevHx,skill_range_12",1879,99.84059511158343
"PreInt_DevHx,skill_range_14",1879,99.84059511158343
"PreInt_DevHx,skill_range_09",1879,99.84059511158343
"PreInt_DevHx,skill_range_13",1878,99.7874601487779
"PreInt_DevHx,skill_no_03",1876,99.68119022316685
"PreInt_DevHx,skill_no_12",1875,99.62805526036132
"PreInt_DevHx,skill_range_06",1875,99.62805526036132
"PreInt_DevHx,skill_no_14",1875,99.62805526036132
"PreInt_EduHx,friendsout",1872,99.46865037194475
"PreInt_DevHx,skill_no_11",1870,99.36238044633369
"PreInt_EduHx,friendsathome",1868,99.25611052072264
"PreInt_DevHx,skill_no_08",1841,97.82146652497343
"PreInt_DevHx,skill_age_01",1841,97.82146652497343
"PreInt_DevHx,skill_no_13",1819,96.65249734325187
"PreInt_DevHx,skill_age_11",1807,96.01487778958555
"PreInt_DevHx,skill_age_08",1803,95.80233793836345
"PreInt_DevHx,skill_age_10",1797,95.48352816153029
"PreInt_DevHx,skill_age_09",1797,95.48352816153029
"PreInt_DevHx,skill_age_02",1797,95.48352816153029
"PreInt_DevHx,skill_age_05",1793,95.27098831030818
"PreInt_DevHx,skill_age_04",1778,94.4739638682253
"PreInt_DevHx,skill_age_03",1739,92.40170031880977
"PreInt_DevHx,apgar5",1729,91.87035069075452
"PreInt_DevHx,apgar1",1722,91.49840595111584
"PreInt_DevHx,skill_no_09",1706,90.64824654622741
"PreInt_DevHx,skill_age_07",1688,89.69181721572795
"PreInt_DevHx,menstruation_age",1648,87.56641870350691
"PreInt_DevHx,skill_age_16",1527,81.13708820403825
"PreInt_DevHx,menstruation",1246,66.20616365568544
"PreInt_EduHx,yrs_school",1170,62.16790648246546
"PreInt_DevHx,skill_age_17",1169,62.11477151965994
"PreInt_EduHx,number_schools",1120,59.51115834218916
"PreInt_DevHx,skill_age_13",1052,55.89798087141339
"PreInt_DevHx,skill_age_15",957,50.850159404888416
"PreInt_DevHx,puberty_age",956,50.79702444208289
"PreInt_DevHx,skill_age_12",854,45.377258235919236
"PreInt_DevHx,skill_age_14",769,40.86078639744952
"PreInt_DevHx,labor_dur",632,33.58129649309245
"PreInt_EduHx,getalongkids_neighborhood",392,20.828905419766205
"PreInt_EduHx,absent_skipping",362,19.234856535600425
"PreInt_DevHx,birthweight_ozs",344,18.278427205100954
"PreInt_EduHx,absent_late",338,17.959617428267798
"PreInt_EduHx,absent_other",337,17.906482465462272
"PreInt_DevHx,skill_age_06",317,16.843783209351752
"PreInt_EduHx,absent_ill",316,16.790648246546226
"PreInt_DevHx,hospital_dur",314,16.684378320935174
"PreInt_DevHx,premature",208,11.052072263549416
"PreInt_DevHx,newborn_problems",177,9.404888416578109
"PreInt_EduHx,number_friends",177,9.404888416578109
"PreInt_EduHx,current_religious",174,9.24548352816153
"PreInt_DevHx,birthweight_lbs",169,8.979808714133899
"PreInt_DevHx,m_birthage",103,5.472901168969182
"PreInt_DevHx,complications",101,5.36663124335813
"WHODAS_P,WHODAS_P_Days03",82,4.357066950053135
"PreInt_EduHx,afterschoolteams",81,4.303931987247609
"WHODAS_P,WHODAS_P_Days01",78,4.1445270988310305
"WHODAS_P,WHODAS_P_Days02",74,3.9319872476089266
"WHODAS_SR,WHODAS_SR_Days01",64,3.4006376195536663
"WHODAS_SR,WHODAS_SR_Days03",56,2.975557917109458
"PreInt_EduHx,bullied",55,2.922422954303932
"WHODAS_SR,WHODAS_SR_Days02",54,2.869287991498406
"PreInt_EduHx,getalongkids_school",47,2.497343251859724
"PreInt_EduHx,suspension",44,2.3379383634431457
