,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_16",1333,100.0
"PreInt_EduHx,tvmovies",1333,100.0
"PreInt_DevHx,skill_range_07",1333,100.0
"PreInt_DevHx,skill_range_05",1333,100.0
"PreInt_DevHx,skill_range_04",1333,100.0
"PreInt_DevHx,skill_range_03",1333,100.0
"ESWAN,Panic_A02",1333,100.0
"PreInt_DevHx,skill_range_02",1333,100.0
"PreInt_DevHx,skill_range_15",1333,100.0
"ESWAN,Panic_A03",1333,100.0
"PreInt_DevHx,skill_range_01",1333,100.0
"ESWAN,Panic_A01",1333,100.0
"PreInt_DevHx,skill_no_05",1333,100.0
"PreInt_DevHx,skill_no_16",1333,100.0
"PreInt_EduHx,videocomputergames",1333,100.0
"PreInt_EduHx,sports",1333,100.0
"PreInt_DevHx,skill_range_10",1333,100.0
"PreInt_EduHx,shopping",1333,100.0
"PreInt_DevHx,skill_no_15",1333,100.0
"PreInt_EduHx,religion",1333,100.0
"PreInt_EduHx,reading",1333,100.0
"PreInt_EduHx,listenmusic",1333,100.0
"PreInt_EduHx,instrument",1333,100.0
"PreInt_EduHx,grades",1333,100.0
"PreInt_EduHx,clubsorganizations",1333,100.0
"PreInt_EduHx,computerinternet",1333,100.0
"PreInt_EduHx,crafts",1333,100.0
"PreInt_EduHx,imaginativeplay",1333,100.0
"PreInt_EduHx,dancing",1333,100.0
"PreInt_EduHx,homework",1333,100.0
"PreInt_DevHx,skill_range_08",1332,99.92498124531133
"PreInt_DevHx,skill_no_10",1332,99.92498124531133
"PreInt_DevHx,skill_range_11",1332,99.92498124531133
"PreInt_DevHx,skill_no_07",1332,99.92498124531133
"PreInt_DevHx,skill_no_06",1332,99.92498124531133
"PreInt_DevHx,skill_range_17",1332,99.92498124531133
"PreInt_DevHx,skill_range_12",1331,99.84996249062266
"PreInt_DevHx,skill_range_14",1331,99.84996249062266
"PreInt_DevHx,skill_range_09",1330,99.77494373593399
"PreInt_DevHx,skill_range_13",1330,99.77494373593399
"PreInt_DevHx,skill_range_06",1329,99.69992498124532
"PreInt_DevHx,skill_no_03",1329,99.69992498124532
"PreInt_DevHx,skill_no_12",1329,99.69992498124532
"PreInt_DevHx,skill_no_14",1327,99.54988747186798
"PreInt_DevHx,skill_no_11",1326,99.4748687171793
"PreInt_EduHx,friendsout",1324,99.32483120780195
"PreInt_EduHx,friendsathome",1321,99.09977494373592
"PreInt_DevHx,skill_age_01",1310,98.27456864216055
"PreInt_DevHx,skill_no_08",1304,97.82445611402851
"PreInt_DevHx,skill_no_13",1292,96.92423105776444
"PreInt_DevHx,skill_age_11",1284,96.32408102025506
"PreInt_DevHx,skill_age_02",1280,96.02400600150037
"PreInt_DevHx,skill_age_10",1279,95.9489872468117
"PreInt_DevHx,skill_age_08",1278,95.87396849212303
"PreInt_DevHx,skill_age_05",1277,95.79894973743436
"PreInt_DevHx,skill_age_09",1271,95.34883720930233
"PreInt_DevHx,skill_age_04",1263,94.74868717179294
"PreInt_DevHx,skill_age_03",1240,93.02325581395348
"PreInt_DevHx,skill_no_09",1238,92.87321830457614
"PreInt_DevHx,apgar5",1229,92.1980495123781
"PreInt_DevHx,apgar1",1223,91.74793698424605
"PreInt_DevHx,skill_age_07",1202,90.17254313578394
"PreInt_DevHx,menstruation_age",1160,87.02175543885971
"PreInt_DevHx,skill_age_16",1092,81.92048012003
"SRS,SRS_46",942,70.66766691672917
"PreInt_EduHx,yrs_school",881,66.09152288072018
"PreInt_DevHx,menstruation",873,65.4913728432108
"PreInt_EduHx,number_schools",835,62.64066016504126
"PreInt_DevHx,skill_age_17",823,61.74043510877719
