coef,feature
0.3854287170550741,"CBCL,CBCL_61"
0.12778693771530175,"PSI,PSI_18"
0.08645030524219129,"SWAN,SWAN_06"
0.06284476643424033,"C3SR,C3SR_36"
0.049111832714793344,"SRS,SRS_43"
0.0343033833276744,"C3SR,C3SR_28"
0.03206100615876534,"SDQ,SDQ_29_c"
0.027102670342053516,"CCSC,CCSC_16"
0.019576379306045635,"APQ_P,APQ_P_41"
0.017377926545546075,"RBS,RBS_02"
0.016684546496783834,"PhenX_Neighborhood,PhenX_NS_02"
0.015003057342039543,"APQ_SR,APQ_SR_29"
0.01076920798238889,"RBS,RBS_35"
0.007873495737584777,"SCQ,SCQ_09"
0.00779491875748381,"APQ_SR,APQ_SR_17"
0.007330019429000633,"APQ_SR,APQ_SR_24"
0.006140144478327669,"C3SR,C3SR_38"
0.004282498809484444,"ASSQ,ASSQ_14"
0.0034607255644976097,"CBCL,CBCL_101"
0.0020642119920572517,"APQ_P,APQ_P_13"
0.0019394550875785621,"C3SR,C3SR_33"
0.00023356074023613889,"APQ_P,APQ_P_11"
-0.000145040342411891,"CBCL,CBCL_32"
-0.0024284159777899737,"SRS,SRS_32"
-0.00340463428083211,"MFQ_P,MFQ_P_07"
-0.008754511151457896,"CBCL,CBCL_58"
-0.010442745190782069,"APQ_P,APQ_P_32"
-0.016859521960096435,"C3SR,C3SR_06"
-0.019039028376410406,"CBCL,CBCL_50"
-0.019357588247134707,"PreInt_DevHx,m_birthage"
-0.021550373897426003,"CBCL,CBCL_57"
-0.02175818048813898,"Barratt,financialsupport"
-0.027065367910089174,"CBCL,CBCL_24"
