coef,feature
5.987325919820813,"Basic_Demos,Age"
1.6328139827993777,"ICU_P,ICU_P_20"
1.3699181616130254,"CBCL,CBCL_69"
1.3386264821345346,"ESWAN,DMDD_6A"
0.9592677821497085,"ICU_P,ICU_P_15"
0.7447502202581459,"SympChck,CSC_50C"
0.7438377239994737,"CBCL,CBCL_90"
0.742648542175293,"CBCL,CBCL_03"
0.7000246267975053,"SympChck,CSC_03C"
0.6725281944956175,"CBCL,CBCL_76"
0.6448055422354383,"CBCL,CBCL_04"
0.6197959578628534,"CBCL,CBCL_56C"
0.5283458164400875,"CBCL,CBCL_24"
0.5192124336822229,"PreInt_DevHx,m_birthage"
0.4887467810489527,"SympChck,CSC_08C"
0.47530101565358235,"PreInt_DevHx,puberty"
0.4744243213109155,"DTS,DTS_10"
0.4476414371211981,"ICU_P,ICU_P_07"
0.4303244026873203,"DTS,DTS_03"
0.3611192156090166,"SympChck,CSC_40C"
0.34855561108730226,"CBCL,CBCL_88"
0.31082255608876824,"SympChck,CSC_55iC"
0.2698885689371506,"ESWAN,MDD_2A"
0.26047891196801254,"SDQ,SDQ_13"
0.23307841370431565,"CBCL,CBCL_05"
0.20868350195637617,"CBCL,CBCL_28"
0.1936496889174171,"SympChck,CSC_42P"
0.1891609447730656,"DTS,DTS_05"
0.17461170596376982,"SDQ,SDQ_06"
0.153473281565296,"CBCL,CBCL_67"
0.15294684473830925,"CBCL,CBCL_102"
0.10246825414886891,"SympChck,CSC_15C"
0.1022526691122445,"SDQ,SDQ_25"
0.06939820979462509,"SympChck,CSC_01P"
0.06628761646977448,"CBCL,CBCL_89"
0.05451095795790747,"SCQ,SCQ_35"
0.05407272884006459,"DTS,DTS_01"
0.0521570157174891,"ESWAN,MDD_2B"
0.048614257002508994,"CBCL,CBCL_103"
0.036582168475773114,"CBCL,CBCL_42"
0.02855152372292799,"SCQ,SCQ_38"
0.027404388721904552,"SCQ,SCQ_34"
0.02619516562288236,"PreInt_DevHx,temp_09"
0.019635591521084492,"CBCL,CBCL_111"
0.006223275755947039,"SDQ,SDQ_03"
-0.028773729735069746,"CBCL,CBCL_108"
-0.07562153264400477,"ESWAN,Panic_A03B_WAS_MISSING"
-0.17347130828020035,"SDQ,SDQ_23"
-0.21525086816755165,"CBCL,CBCL_81"
-0.5694830192835648,"Basic_Demos,Sex"
-0.8496482813040097,"CBCL,CBCL_64"
