coef,feature
0.4141200002229415,"CBCL,CBCL_61"
0.11698162686934047,"SWAN,SWAN_06"
0.059425915949967434,"SCQ,SCQ_05"
0.05910782991206665,"CBCL,CBCL_101"
0.05345174726024385,"SympChck,CSC_21C"
0.05096362922515668,"SympChck,CSC_52P"
0.04954701805706097,"SDQ,SDQ_29_c"
0.04350512984800233,"SympChck,CSC_34C"
0.03866896212246689,"DTS,DTS_13"
0.032131003570349335,"ESWAN,MDD_8B"
0.02831322722665845,"CBCL,CBCL_108"
0.027496308557052075,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.021312491493297444,"SCQ,SCQ_24"
0.02055798603601948,"CBCL,CBCL_79"
0.020362665218266993,"SympChck,CSC_14C"
0.020349310988726544,"SDQ,SDQ_20"
0.019522325244236163,"SDQ,SDQ_09"
0.019037171509504822,"SDQ,SDQ_16"
0.0186581798692147,"SympChck,CSC_03C"
0.017490837213484847,"SWAN,SWAN_04"
0.01745824136663701,"SCQ,SCQ_09"
0.01599400353657292,"ESWAN,DMDD_9C"
0.014075206184373874,"CBCL,CBCL_39"
0.01359861766586872,"SympChck,CSC_15P"
0.01347951817000358,"ASSQ,ASSQ_22"
0.012832032847845105,"ICU_P,ICU_P_03"
0.01248406597441624,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.012316112608966335,"SympChck,CSC_53P"
0.012180447613298392,"SympChck,CSC_55eP"
0.01186829514264572,"ASSQ,ASSQ_14"
0.010979651785078462,"CBCL,CBCL_20"
0.009852852062677652,"CBCL,CBCL_30"
0.009663310922169405,"DTS,DTS_07"
0.009581144049449056,"SympChck,CSC_55gP"
0.00939789066714397,"CBCL,CBCL_72"
0.009138955255235379,"PreInt_DevHx,temp_07"
0.008635002578111384,"ICU_P,ICU_P_02"
0.008077383734300782,"SCQ,SCQ_04"
0.00781599605082721,"SCQ,SCQ_12"
0.007724816679235411,"SympChck,CSC_16P"
0.007520428568579367,"SympChck,CSC_55aP"
0.007462984000683785,"SympChck,CSC_28C"
0.005639117628463215,"SCQ,SCQ_18"
0.0044610074954686526,"ICU_P,ICU_P_05"
0.0039840278185280685,"SympChck,CSC_43P"
0.00396902409637795,"PreInt_DevHx,skill_age_06"
0.0038486314406473185,"PreInt_DevHx,temp_03"
0.0035200500617673506,"SympChck,CSC_32C"
0.0027464860675550104,"SympChck,CSC_45C"
0.0026006313484711907,"SCQ,SCQ_33"
0.0025482777458236466,"CBCL,CBCL_56G"
0.0010979464240334319,"SCQ,SCQ_03"
-0.00031402012184326885,"SympChck,CSC_47P"
-0.0004229152121326412,"CBCL,CBCL_84"
-0.0007106936476326157,"PreInt_DevHx,hospital_dur_WAS_MISSING"
-0.000974408948687864,"ASSQ,ASSQ_01"
-0.0012853329022387812,"SCQ,SCQ_21"
-0.001690257162838059,"CBCL,CBCL_110"
-0.0017196339721178542,"ESWAN,Panic_B12"
-0.0018325848569136053,"CBCL,CBCL_32"
-0.00192593537959621,"ICU_P,ICU_P_20"
-0.0019978420095719956,"SympChck,CSC_05P"
-0.004922416646763618,"CBCL,CBCL_24"
-0.005238217215858932,"SCQ,SCQ_16"
-0.006323095210653673,"CBCL,CBCL_102"
-0.006550715587874438,"CBCL,CBCL_42"
-0.006819065686690773,"SympChck,CSC_11C"
-0.006916411996704811,"CBCL,CBCL_73"
-0.007406897867647183,"SCQ,SCQ_13"
-0.00752880034917083,"ICU_P,ICU_P_24"
-0.0076729596960748835,"ASSQ,ASSQ_05"
-0.007978357056662812,"CBCL,CBCL_52"
-0.008390567824092117,"CBCL,CBCL_02"
-0.008732920662459185,"PreInt_DevHx,temp_05"
-0.009497717831913142,"ASSQ,ASSQ_18"
-0.010194476033749438,"SCQ,SCQ_28"
-0.010563458603844748,"CBCL,CBCL_56E"
-0.010758138617420313,"CBCL,CBCL_112"
-0.011096515038362545,"ASSQ,ASSQ_15"
-0.013547617259200494,"Basic_Demos,Age"
-0.014437828876144356,"CBCL,CBCL_74"
-0.016425449045415305,"SympChck,CSC_37C"
-0.017832423546221002,"CBCL,CBCL_59"
-0.019007301173290726,"SDQ,SDQ_28"
-0.01998894235536649,"SDQ,SDQ_27"
-0.020193556705280297,"CBCL,CBCL_49"
-0.020877855208279613,"ASSQ,ASSQ_02"
-0.022476671657677263,"CBCL,CBCL_57"
-0.02553159339627621,"CBCL,CBCL_56H"
-0.026402697352073855,"CBCL,CBCL_50"
-0.027167028130793393,"DTS,DTS_15"
-0.033834309191226236,"CBCL,CBCL_93"
-0.04401437776139105,"ICU_P,ICU_P_07"
-0.04422805444867195,"SympChck,CSC_27P"
-0.04942289159431044,"CBCL,CBCL_41"
-0.05176684114987671,"Barratt,financialsupport"
-0.06545896068663534,"PreInt_DevHx,m_birthage"
