coef,feature
0.4653335192377076,"Basic_Demos,Age"
0.3399866248045746,"APQ_SR,APQ_SR_32"
0.30122578451798265,"APQ_SR,APQ_SR_10"
0.28286806630255573,"PreInt_DevHx,puberty"
0.2708241695772394,"SCARED_SR,SCARED_SR_39"
0.26540344503194124,"APQ_SR,APQ_SR_08"
0.263639680070135,"APQ_SR,APQ_SR_12"
0.25669659410315826,"SCARED_SR,SCARED_SR_05"
0.2561001400549267,"C3SR,C3SR_26"
0.24861252461043656,"CCSC,CCSC_25"
0.24724649663134127,"APQ_SR,APQ_SR_24"
0.23015105197741442,"SCARED_SR,SCARED_SR_GD"
0.2214836214693918,"APQ_SR,APQ_SR_29"
0.21782137209623603,"C3SR,C3SR_34"
0.2156145610572299,"SCARED_SR,SCARED_SR_35"
0.21543980239692084,"APQ_SR,APQ_SR_36"
0.20888164424864236,"C3SR,C3SR_37"
0.20622030568434774,"SCARED_SR,SCARED_SR_30"
0.20417716684950152,"APQ_P,APQ_P_32"
0.2030975397944619,"C3SR,C3SR_05"
0.19694881344962245,"CCSC,CCSC_03"
0.19608726444269056,"APQ_SR,APQ_SR_31"
0.19136326005260026,"SympChck,CSC_26C"
0.19028019913137564,"SCARED_SR,SCARED_SR_PN"
0.18940574979568242,"SCARED_SR,SCARED_SR_14"
0.18909895562801182,"APQ_SR,APQ_SR_06"
0.18526859642457078,"C3SR,C3SR_19"
0.18489719409345443,"SCARED_SR,SCARED_SR_SC"
0.17902679080375455,"SCARED_SR,SCARED_SR_33"
0.1668959283680684,"APQ_SR,APQ_SR_30"
0.16037573248785875,"C3SR,C3SR_31"
0.15966423104869948,"C3SR,C3SR_35"
0.1582422969982436,"SCARED_SR,SCARED_SR_28"
0.15725558802662312,"C3SR,C3SR_01"
0.15467273537365853,"C3SR,C3SR_03"
0.153395137301744,"APQ_SR,APQ_SR_03"
0.14974993433719092,"CCSC,CCSC_WT"
0.14672368868313226,"SCARED_SR,SCARED_SR_10"
0.14632061720689216,"SCQ,SCQ_39"
0.14262077970715675,"CCSC,CCSC_10"
0.13782759496793182,"CCSC,CCSC_55"
0.13745461468231923,"SCARED_SR,SCARED_SR_22"
0.13496479500720626,"RBS,RBS_36"
0.13246054167105115,"SCARED_SR,SCARED_SR_17"
0.13227437859476784,"SCQ,SCQ_35"
0.13161692238302708,"SCARED_SR,SCARED_SR_34"
0.13082484564472638,"SDQ,SDQ_06"
0.12528559700026667,"C3SR,C3SR_18"
0.12374199721521684,"SCQ,SCQ_31"
0.12311769402364939,"C3SR,C3SR_04"
0.12104930749492941,"SCARED_SR,SCARED_SR_15"
0.11849583494112727,"SCARED_SR,SCARED_SR_12"
0.11804022788367939,"SCQ,SCQ_22"
0.11795641627386318,"SympChck,CSC_10P"
0.11453510313825904,"MFQ_P,MFQ_P_33"
0.11080766690342411,"CCSC,CCSC_18"
0.10741197567215782,"CCSC,CCSC_46"
0.10573563186501328,"C3SR,C3SR_16"
0.10319287464943526,"SCARED_SR,SCARED_SR_19"
0.10286292227314779,"C3SR,C3SR_22"
0.10272181709301406,"CCSC,CCSC_AC"
0.10206027461713096,"ICU_P,ICU_P_11"
0.10111087512708947,"CCSC,CCSC_52"
0.10094035305192339,"C3SR,C3SR_17"
0.09962160249636369,"C3SR,C3SR_30"
0.09811173201356913,"ICU_P,ICU_P_07"
0.09786043211737559,"SRS,SRS_23"
0.09727127607687892,"SCARED_SR,SCARED_SR_31"
0.09378820390163191,"SCARED_SR,SCARED_SR_SH"
0.0934330036160766,"SCARED_SR,SCARED_SR_40"
0.09113206511340101,"MFQ_P,MFQ_P_34"
0.09002774118707922,"SCARED_SR,SCARED_SR_07"
0.08975356289396041,"APQ_SR,APQ_SR_28"
0.0894523075988628,"SympChck,CSC_47P"
0.08908703884053297,"CBCL,CBCL_24"
0.08816657976414514,"CCSC,CCSC_34"
0.08815718263814681,"CBCL,CBCL_46"
0.0879814714538314,"APQ_SR,APQ_SR_05"
0.08780057657099641,"SDQ,SDQ_03"
0.08720548899618777,"SCARED_SR,SCARED_SR_01"
0.08577357643881843,"APQ_SR,APQ_SR_14"
0.08576329641974259,"CBCL,CBCL_90"
0.08522911748387985,"SympChck,CSC_11C"
0.08483415852888589,"SympChck,CSC_52P"
0.08440635898383338,"APQ_SR,APQ_SR_21"
0.08408149944488708,"APQ_SR,APQ_SR_14A"
0.08405226200954545,"APQ_SR,APQ_SR_01A_WAS_MISSING"
0.08390626254961948,"CBCL,CBCL_07"
0.08302499302284176,"C3SR,C3SR_09"
0.08236694812848366,"CCSC,CCSC_13"
0.08212155580056546,"SCARED_SR,SCARED_SR_09"
0.07718550957103122,"CCSC,CCSC_08"
0.0770631098937728,"SympChck,CSC_10C"
0.07632352389332654,"CBCL,CBCL_21"
0.0749273893668436,"SCARED_SR,SCARED_SR_03"
0.07422764359474923,"RBS,RBS_41"
0.07254867764567122,"APQ_SR,APQ_SR_01A"
0.07239282327355245,"CBCL,CBCL_71"
0.07209372668844664,"APQ_P,APQ_P_36"
0.07179870995029428,"RBS,RBS_32"
0.070952524854036,"SCARED_SR,SCARED_SR_21"
0.0706878161967523,"ICU_P,ICU_P_18"
0.07059722542628444,"APQ_P,APQ_P_21"
0.07024987235673182,"MFQ_P,MFQ_P_20"
0.06951165193144816,"APQ_P,APQ_P_13"
0.06907339469334295,"APQ_P,APQ_P_27"
0.06833758066856968,"PSI,PSI_16"
0.06818124503215764,"SCARED_SR,SCARED_SR_32"
0.06623836153001901,"RBS,RBS_07"
0.06596493045323956,"CBCL,CBCL_100"
0.06544933263701148,"C3SR,C3SR_14"
0.060809453125316125,"PSI,PSI_19"
0.060611222862419004,"SympChck,CSC_35P"
0.05959814465367491,"SDQ,SDQ_26"
0.05956009565513873,"SCQ,SCQ_40"
0.058359719129370734,"ICU_P,ICU_P_02"
0.05661113329943842,"PSI,PSI_13"
0.056433169585983115,"C3SR,C3SR_10"
0.055986632650617256,"CCSC,CCSC_22"
0.05528202868521804,"SCARED_SR,SCARED_SR_02"
0.05405093021054186,"SCARED_SR,SCARED_SR_26"
0.0537494900964993,"C3SR,C3SR_27"
0.05218446467215912,"SWAN,SWAN_06"
0.051462767440873455,"SCARED_SR,SCARED_SR_16"
0.05052814970301179,"C3SR,C3SR_02"
0.05011872022166265,"PreInt_DevHx,birthweight_lbs"
0.05005140255235046,"APQ_P,APQ_P_08"
0.04985449381087928,"APQ_SR,APQ_SR_09A_WAS_MISSING"
0.04941212098785533,"C3SR,C3SR_11"
0.04934539593170329,"SympChck,CSC_02C"
