coef,feature
2.2630399699670476,"Basic_Demos,Age"
1.858660626299212,"RBS,RBS_40"
1.5220243162576672,"ESWAN,DMDD_6A"
1.4551737897470043,"APQ_P,APQ_P_06"
1.1107959547902826,"APQ_SR,APQ_SR_32"
1.0096075432087779,"APQ_P,APQ_P_32"
0.9125526430080777,"APQ_P,APQ_P_22"
0.8921956825833554,"APQ_P,APQ_P_12"
0.8499000152643413,"APQ_SR,APQ_SR_21"
0.7828247923859426,"CBCL,CBCL_24"
0.7509200092475979,"ICU_P,ICU_P_20"
0.7292986574403904,"PSI,PSI_26"
0.648635336790152,"SympChck,CSC_03C"
0.6361260817411256,"APQ_SR,APQ_SR_36"
0.6132114164761422,"APQ_P,APQ_P_42"
0.6092553447382406,"CBCL,CBCL_69"
0.5990058773152894,"PreInt_DevHx,m_birthage"
0.5921780870397245,"APQ_P,APQ_P_26"
0.5756062105264027,"SympChck,CSC_01P"
0.567211488155723,"PSI,PSI_15"
0.5504011183413468,"SRS,SRS_39"
0.48186753026810364,"APQ_P,APQ_P_36"
0.47034632611283456,"RBS,RBS_10"
0.46807551536495556,"ICU_P,ICU_P_15"
0.4375090904262939,"SDQ,SDQ_13"
0.3785767272988579,"PSI,PSI_33"
0.3626409617080921,"RBS,RBS_23"
0.3526554166293075,"MFQ_P,MFQ_P_12"
0.32854100422895893,"MFQ_P,MFQ_P_32"
0.3063928186152902,"RBS,RBS_41"
0.28907243258588045,"MFQ_P,MFQ_P_11"
0.28469943856134,"PSI,PSI_29"
0.2806500867295545,"APQ_SR,APQ_SR_08"
0.273185873772766,"CBCL,CBCL_90"
0.272512916591894,"CBCL,CBCL_111"
0.2711142916680172,"APQ_P,APQ_P_19"
0.2392266990025573,"CBCL,CBCL_03"
0.23457410725477654,"CCSC,CCSC_01"
0.23012386792080072,"CBCL,CBCL_71"
0.22966909114641743,"APQ_P,APQ_P_17"
0.22212312808900794,"ICU_P,ICU_P_07"
0.2151599224791553,"C3SR,C3SR_19"
0.20850445695662773,"MFQ_P,MFQ_P_25"
0.19832179070933262,"PSI,PSI_27"
0.18712466264969213,"CBCL,CBCL_103"
0.16943619978851376,"SCQ,SCQ_35"
0.16633198998198456,"PSI,PSI_34"
0.1331553424136941,"SDQ,SDQ_28"
0.12933841690186038,"SympChck,CSC_08C"
0.10209738761204051,"SCARED_SR,SCARED_SR_05"
0.08229560595571704,"CBCL,CBCL_63"
0.07850098301871672,"ICU_P,ICU_P_23"
0.05516811456521976,"SympChck,CSC_55bC"
0.050986134507467036,"RBS,RBS_31"
0.04781157159870374,"ESWAN,MDD_2A"
0.041477071762768866,"SympChck,CSC_01C"
0.02983781303722578,"CBCL,CBCL_88"
0.02090913022409505,"CBCL,CBCL_65"
0.005718509025308225,"CBCL,CBCL_05"
0.0007713556643343993,"SympChck,CSC_25P"
-0.023568521378891667,"C3SR,C3SR_11"
-0.03205112070191865,"SympChck,CSC_08P"
-0.042850564119228406,"C3SR,C3SR_13"
-0.04984500039485306,"RBS,RBS_13"
-0.08674580459772302,"C3SR,C3SR_20"
-0.09426333839766893,"APQ_P,APQ_P_11"
-0.11747147938364878,"SympChck,CSC_55cP"
-0.14061273868749363,"SRS,SRS_52"
-0.14707969229217324,"SCQ,SCQ_19"
-0.17908444388898298,"SCQ,SCQ_37"
-0.19273429016149726,"CBCL,CBCL_82"
-0.21794604548554555,"APQ_SR,APQ_SR_23"
-0.21981240773372396,"CBCL,CBCL_108"
-0.306952052732703,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.38414318075194187,"Basic_Demos,Sex"
-0.4894224695358746,"APQ_SR,APQ_SR_37"
-0.5040711615902208,"C3SR,C3SR_36"
-0.6105236961060915,"CCSC,CCSC_45"
-0.7261710076574907,"CBCL,CBCL_64"
