coef,feature
0.5678790488342552,"APQ_SR,APQ_SR_30"
0.5118308705874715,"C3SR,C3SR_02"
0.3945959148407626,"C3SR,C3SR_18"
0.38421988754327446,"SCARED_SR,SCARED_SR_10"
0.37924848324148885,"SRS,SRS_14"
0.3722358240611979,"APQ_SR,APQ_SR_06"
0.36748859698470493,"SCARED_SR,SCARED_SR_GD"
0.3657701162158716,"C3SR,C3SR_15"
0.36343615066721074,"C3SR,C3SR_03"
0.35543420080529026,"SCARED_SR,SCARED_SR_14"
0.35370081786514834,"C3SR,C3SR_04"
0.35162073539927574,"APQ_SR,APQ_SR_42"
0.3484197147498956,"C3SR,C3SR_05"
0.34151922394726697,"SCARED_SR,SCARED_SR_17"
0.34115817008896293,"C3SR,C3SR_27"
0.33279974044281013,"SCARED_SR,SCARED_SR_21"
0.33259099432760686,"C3SR,C3SR_19"
0.3165836325950267,"SCARED_SR,SCARED_SR_36"
0.31637436743347597,"SCARED_SR,SCARED_SR_06"
0.2949971489355239,"SCARED_SR,SCARED_SR_28"
0.28664929726343574,"SRS,SRS_41"
0.285986325212489,"SCARED_SR,SCARED_SR_SC"
0.27601282112425746,"C3SR,C3SR_37"
0.259659625737535,"C3SR,C3SR_14"
0.25567902781051766,"C3SR,C3SR_34"
0.25549027600454677,"CCSC,CCSC_48"
0.25457790753368204,"PhenX_Neighborhood,PhenX_NS_01"
0.2513823456370526,"SCARED_SR,SCARED_SR_PN"
0.2496834205615948,"C3SR,C3SR_10"
0.2470046645273117,"RBS,RBS_37"
0.24630478654236618,"APQ_SR,APQ_SR_39"
0.23843509177574315,"SRS,SRS_16"
0.23511701702584917,"C3SR,C3SR_35"
0.22915315322174343,"SCARED_SR,SCARED_SR_25"
0.22528695625535172,"C3SR,C3SR_39"
0.22226564560986542,"C3SR,C3SR_30"
0.22133399204494686,"SCQ,SCQ_12"
0.2194360557992236,"SCARED_SR,SCARED_SR_15"
0.20601432933884456,"APQ_SR,APQ_SR_33"
0.202269652856927,"SCARED_SR,SCARED_SR_07"
0.20083578258391263,"RBS,RBS_03"
0.19543883116442595,"PreInt_DevHx,m_birthage"
0.19093665430746637,"SCARED_SR,SCARED_SR_22"
0.18888430311827378,"SCQ,SCQ_18"
0.1852963482684908,"CCSC,CCSC_REL"
0.1843502812885508,"C3SR,C3SR_08"
0.18041535379425952,"PreInt_DevHx,birthweight_lbs"
0.17965410655252934,"SCARED_SR,SCARED_SR_30"
0.17891877250854968,"SympChck,CSC_16P"
0.17702437844675087,"C3SR,C3SR_29"
0.17584049938698254,"SympChck,CSC_16C"
0.1682234434541752,"SympChck,CSC_29C"
0.16461110648556085,"SCARED_SR,SCARED_SR_37"
0.1645366346706315,"C3SR,C3SR_26"
0.16284649798598957,"MFQ_P,MFQ_P_26"
0.16100928474880044,"SCARED_SR,SCARED_SR_40"
0.16078574418677083,"PreInt_DevHx,lost_skills"
0.16059186510409437,"SCARED_SR,SCARED_SR_05"
0.15960931364443517,"APQ_SR,APQ_SR_35"
0.15815656668651687,"CCSC,CCSC_28"
0.1575064865193972,"SCARED_SR,SCARED_SR_SH"
0.15742516187507521,"PSI,PSI_09"
0.1544479236842199,"APQ_P,APQ_P_38"
0.15305266318464014,"CCSC,CCSC_06"
0.1485188798253295,"SCARED_SR,SCARED_SR_35"
0.14709377584645353,"CBCL,CBCL_56A"
0.1435067303579552,"SRS,SRS_19"
0.14312916716841992,"SCARED_SR,SCARED_SR_41"
0.1427910275572687,"RBS,RBS_08"
0.13897973058348254,"APQ_SR,APQ_SR_36"
0.1368405637928441,"PreInt_DevHx,delivery"
0.13565892434598575,"CBCL,CBCL_12"
0.1351594373728596,"SCARED_SR,SCARED_SR_03"
