coef,feature
0.4778701849084842,"SDQ,SDQ_13"
0.3113432682980384,"RBS,RBS_12"
0.30309383620497404,"CBCL,CBCL_23"
0.19102040852361823,"MFQ_P,MFQ_P_29"
0.1766656605786401,"MFQ_P,MFQ_P_15"
0.15551037125610487,"ESWAN,DMDD_6C"
0.13600043540951665,"ESWAN,MDD_7"
0.13357290817659948,"SWAN,SWAN_11"
0.12181307398545076,"PreInt_DevHx,labor_dur"
0.1110966261148607,"ESWAN,DMDD_10C"
0.11051790030768048,"SympChck,CSC_26C"
0.10997282410996968,"SRS,SRS_14"
0.1025048936382754,"SRS,SRS_37"
0.0944679686437448,"ASSQ,ASSQ_16"
0.09119251447814848,"SRS,SRS_31"
0.08081418765420699,"SDQ,SDQ_14"
0.07817029588037148,"SDQ,SDQ_23"
0.05792044276353567,"ESWAN,SocAnx_03"
0.05254378176637292,"SympChck,CSC_55aP"
0.052395491669589234,"ESWAN,DMDD_1B"
0.0518733167555441,"SDQ,SDQ_07"
0.04922414686297227,"SRS,SRS_57"
0.04909570229809982,"SDQ,SDQ_24"
0.042637290311849325,"SRS,SRS_28"
0.03949861225821559,"SDQ,SDQ_29_c"
0.03437577074543676,"MFQ_P,MFQ_P_01"
0.02124766356167649,"SympChck,CSC_40C"
0.017172782813146114,"CBCL,CBCL_100"
0.017083257864860188,"SDQ,SDQ_29_b"
0.011122512191652131,"SCQ,SCQ_27"
0.009330255402105254,"SRS,SRS_19"
0.007760410723514379,"SympChck,CSC_39C"
0.006087242798084702,"ESWAN,DMDD_7C"
0.005241082469087274,"SCARED_P,SCARED_P_21"
0.00438492833703986,"SCQ,SCQ_40"
0.004314208128492763,"CBCL,CBCL_14"
0.0038363502941500824,"RBS,RBS_01"
0.0005135045337510524,"CBCL,CBCL_99"
-0.008858768017884912,"SympChck,CSC_09P"
-0.011188168303394738,"RBS,RBS_44"
-0.02219348039980086,"SympChck,CSC_29P"
-0.03869682805749507,"SCARED_P,SCARED_P_01"
-0.06870288513149427,"CBCL,CBCL_81"
-0.07189261788575936,"ESWAN,MDD_3B"
-0.07608971138834804,"SCARED_P,SCARED_P_22"
-0.08411533405632524,"DTS,DTS_12"
