coef,feature
1.0131110038547797,"Basic_Demos,Age"
0.5394388750985437,"PreInt_DevHx,puberty"
0.5253888281816798,"CBCL,CBCL_90"
0.313427650191851,"SympChck,CSC_10P"
0.263319675399256,"RBS,RBS_10"
0.2505983137178871,"MFQ_P,MFQ_P_33"
0.24605895631745553,"ESWAN,MDD_4"
0.23176239784033734,"SCQ,SCQ_39"
0.2112812673499966,"PreInt_DevHx,preg_dur"
0.2021349259145352,"RBS,RBS_11"
0.19750798401791728,"MFQ_P,MFQ_P_21"
0.19685178321619623,"SCQ,SCQ_35"
0.1703855649092409,"RBS,RBS_36"
0.1616536617576689,"CBCL,CBCL_86"
0.1551012774190722,"SCQ,SCQ_22"
0.1468287184256569,"ESWAN,MDD_5"
0.13993703961810766,"CBCL,CBCL_06"
0.13504894287776145,"CBCL,CBCL_49"
0.1312692354287823,"SCARED_P,SCARED_P_02"
0.13109426974328522,"SCQ,SCQ_31"
0.12991103934419776,"SympChck,CSC_10C"
0.12697527660698948,"ICU_P,ICU_P_07"
0.10802069840188819,"RBS,RBS_14"
0.10506607502541535,"SympChck,CSC_34P"
0.10074697336108476,"CBCL,CBCL_20"
0.09624912282475191,"SDQ,SDQ_03"
0.0865397880626563,"CBCL,CBCL_22"
0.08489878636148455,"SympChck,CSC_37C"
0.08420174602438651,"SDQ,SDQ_29_c"
0.08386720678026684,"CBCL,CBCL_12"
0.08141818450943246,"ICU_P,ICU_P_09"
0.08055499841421385,"SCQ,SCQ_09"
0.07972001062924612,"SympChck,CSC_26C"
0.07705117135914911,"MFQ_P,MFQ_P_12"
0.07637170865412315,"SCARED_P,SCARED_P_12"
0.07526406285558554,"CBCL,CBCL_03"
0.07110298179724722,"CBCL,CBCL_56G"
0.06788930949284852,"SWAN,SWAN_06"
0.0664327023541343,"CBCL,CBCL_51"
0.06552796508837233,"SympChck,CSC_33P"
0.053864082314671415,"CBCL,CBCL_91"
0.052638898868147654,"SWAN,SWAN_05"
0.051928567886905044,"SympChck,CSC_24P"
0.05026484993984879,"RBS,RBS_07"
0.04942780820747058,"SDQ,SDQ_06"
0.0433738416499995,"CBCL,CBCL_28"
0.042723508148859245,"CBCL,CBCL_56A"
0.04246970691940442,"ICU_P,ICU_P_18"
0.0417471409199571,"ASSQ,ASSQ_17"
0.04063997290389019,"SRS,SRS_49"
0.03996660741381905,"RBS,RBS_41"
0.03478755416818041,"SCARED_P,SCARED_P_38"
0.034244906920010004,"RBS,RBS_12"
0.03095694009473943,"CBCL,CBCL_61"
0.02977941816598393,"MFQ_P,MFQ_P_27"
0.025917160511546047,"ESWAN,MDD_6"
0.02334407184917666,"SCARED_P,SCARED_P_19"
0.020639339057523003,"SRS,SRS_45"
0.019076870514439726,"ESWAN,DMDD_9A"
0.018427833871102008,"SDQ,SDQ_26"
0.0168626741232626,"SCARED_P,SCARED_P_11"
0.016479611031685534,"SCQ,SCQ_21"
0.011960702611231583,"MFQ_P,MFQ_P_23"
0.0119297142430496,"CBCL,CBCL_56H"
0.011295732224387449,"CBCL,CBCL_111"
0.004278692352219049,"ESWAN,MDD_2A"
0.002212367595233151,"CBCL,CBCL_24"
0.0015372579476693594,"ESWAN,MDD_3B"
0.0014156245443440272,"ICU_P,ICU_P_11"
0.0011527921195338018,"SympChck,CSC_39C"
2.3059103359479396e-05,"SympChck,CSC_55aP"
-0.005616439460308701,"PreInt_DevHx,hospital_dur"
-0.005663345797030941,"SRS,SRS_30"
-0.006289140314282514,"PreInt_DevHx,temp_03"
-0.013372492480509058,"SympChck,CSC_43C"
-0.016854089993345287,"MFQ_P,MFQ_P_14"
-0.021072175755393274,"Barratt,financialsupport"
-0.021769604125916567,"MFQ_P,MFQ_P_30"
-0.029513435808235337,"SympChck,CSC_43P"
-0.02991318632972227,"ASSQ,ASSQ_01"
-0.030249432996355814,"ASSQ,ASSQ_20"
-0.03947832761352227,"SympChck,CSC_16P"
-0.046135126893925474,"CBCL,CBCL_79"
-0.04998058836904013,"DTS,DTS_11"
-0.05237686500211579,"CBCL,CBCL_82"
-0.06814019692408858,"PreInt_DevHx,premature"
-0.07154140718911615,"RBS,RBS_33"
-0.0762796013510393,"SCQ,SCQ_11"
-0.0768916668311246,"SRS,SRS_14"
-0.09242526971769101,"CBCL,CBCL_62"
-0.09538370810648543,"CBCL,CBCL_83"
-0.20230387757912596,"Basic_Demos,Sex"
