coef,feature
0.34824556213971075,"CBCL,CBCL_61"
0.08286842467803464,"SWAN,SWAN_06"
0.06386681077584666,"SDQ,SDQ_29_c"
0.05869874847787691,"SRS,SRS_43"
0.05471797360631661,"RBS,RBS_35"
0.04202099747396359,"SRS,SRS_49"
0.039009924396070296,"MFQ_P,MFQ_P_30"
0.03390768949318853,"SympChck,CSC_34C"
0.030201530160463032,"SRS,SRS_44"
0.028533071846582866,"SCARED_P,SCARED_P_17"
0.028193472381360295,"CBCL,CBCL_82"
0.02373896084844942,"CBCL,CBCL_79"
0.02277654878077441,"SCQ,SCQ_05"
0.02202829133354235,"DTS,DTS_13"
0.020293375743955854,"SCQ,SCQ_09"
0.01982800889619363,"SDQ,SDQ_09"
0.019121216311370728,"RBS,RBS_26"
0.018810275655188644,"SCQ,SCQ_36"
0.01813434899130415,"PreInt_DevHx,dev_normal"
0.01767267002846958,"SympChck,CSC_55gP"
0.0172148860710013,"SRS,SRS_59"
0.016686469217576022,"CBCL,CBCL_39"
0.016511615641065795,"SympChck,CSC_43C"
0.016260425064468724,"SRS,SRS_05"
0.015904019626802716,"CBCL,CBCL_101"
0.014924415776587825,"PreInt_DevHx,birthweight_ozs"
0.014922082697317592,"SCARED_P,SCARED_P_41"
0.014526699183925296,"RBS,RBS_02"
0.014320567154342243,"SympChck,CSC_43P"
0.01374203574429883,"SRS,SRS_17"
0.011996354088634397,"SCARED_P,SCARED_P_09"
0.011647419751016463,"SympChck,CSC_24C"
0.011636529458687882,"MFQ_P,MFQ_P_09"
0.011462566926506691,"PreInt_DevHx,hospital_dur"
0.011251372176627668,"SympChck,CSC_21P"
0.011162087816361315,"PreInt_DevHx,lost_skills"
0.010226586598269534,"SympChck,CSC_55eP"
0.01014537573517814,"SympChck,CSC_08C"
0.010083670092572428,"RBS,RBS_23"
0.009994639647461586,"ARI_P,ARI_P_03"
0.009785163918841726,"RBS,RBS_33"
0.00954404619446839,"RBS,RBS_21"
0.009151741688220092,"PreInt_DevHx,temp_07"
0.008728993141583537,"PreInt_DevHx,skill_age_06"
0.008103334801345573,"SWAN,SWAN_09"
0.007973147751022152,"SRS,SRS_21"
0.006947657418209855,"SCQ,SCQ_40"
0.006159372690295801,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.006126658930679981,"SympChck,CSC_15C"
0.0055195692516449985,"SRS,SRS_45"
0.005428896955377619,"SCQ,SCQ_24"
0.004721838014628931,"SRS,SRS_03"
0.0037408758249821146,"ASSQ,ASSQ_19"
0.003698450617956601,"SCQ,SCQ_32"
0.0036779456625242605,"ASSQ,ASSQ_14"
0.002305655873229606,"SRS,SRS_58"
0.001665844848946616,"SCQ,SCQ_27"
