coef,feature
0.7767585897980638,"ARI_P,ARI_P_07"
0.5549359567581312,"ARI_P,ARI_P_04"
0.4808658071512818,"ARI_P,ARI_P_01"
0.4426856862460515,"ICU_P,ICU_P_20"
0.4249261776728138,"SympChck,CSC_40C"
0.41752843427445546,"ARI_P,ARI_P_02"
0.36877121574294486,"ASSQ,ASSQ_18"
0.36757211510120213,"ICU_P,ICU_P_23"
0.3472987732712669,"SympChck,CSC_02C"
0.33910635596911815,"ARI_P,ARI_P_05"
0.33371700908309543,"ICU_P,ICU_P_15"
0.3328904899886075,"ICU_P,ICU_P_09"
0.3289846751746901,"ICU_P,ICU_P_17"
0.3053860785339984,"ASSQ,ASSQ_15"
0.29804303266992543,"ASSQ,ASSQ_19"
0.29634841041382004,"ASSQ,ASSQ_08"
0.2870807064803542,"SympChck,CSC_01C"
0.2812717680161398,"ASSQ,ASSQ_17"
0.27778068047146315,"SympChck,CSC_23C"
0.2759018705328028,"ICU_P,ICU_P_16"
0.27486309870907866,"SCARED_P,SCARED_P_14"
0.26949165094870925,"ICU_P,ICU_P_11"
0.2681743968596191,"SympChck,CSC_34C"
0.2620677857305568,"SCQ,SCQ_17"
0.2618689474220525,"SCARED_P,SCARED_P_40"
0.2605837627182929,"SCARED_P,SCARED_P_23"
0.2569296042787696,"ASSQ,ASSQ_24"
0.25028227650778195,"SympChck,CSC_41C"
0.24710172103982267,"ARI_P,ARI_P_03"
0.24320633284340787,"SympChck,CSC_53C"
0.23266036678071614,"SympChck,CSC_36P"
0.22778114845090933,"ICU_P,ICU_P_01"
0.224916174822452,"SCARED_P,SCARED_P_36"
0.22130678177029628,"SCQ,SCQ_02"
0.21467832841211867,"SympChck,CSC_36C"
0.21126707674092404,"SympChck,CSC_43C"
0.21080633876132113,"SympChck,CSC_39P"
0.20498598138956584,"SCARED_P,SCARED_P_09"
0.19333761147747774,"SCQ,SCQ_16"
0.18604117364067602,"ARI_P,ARI_P_06"
0.18404971877058604,"SympChck,CSC_44C"
0.17532130540729413,"ASSQ,ASSQ_25"
0.17165045449134017,"SympChck,CSC_37P"
0.17041845164013666,"SCQ,SCQ_37"
0.1682009708731893,"SCARED_P,SCARED_P_07"
0.16791526319474362,"SympChck,CSC_49C"
0.15907967838006948,"SympChck,CSC_30P"
0.15881763319692913,"SympChck,CSC_55aP"
0.15600409109752947,"PreInt_DevHx,complications"
0.15077247964090829,"SympChck,CSC_54C"
0.14880997040471441,"SympChck,CSC_12P"
0.14807494224422882,"SympChck,CSC_55aC"
0.147234670165795,"ICU_P,ICU_P_13"
0.14648879900351808,"SympChck,CSC_30C"
0.14538921762227228,"SCARED_P,SCARED_P_06"
0.14313719106747763,"SympChck,CSC_55bP"
