coef,feature
0.2032649291707506,"SCARED_P,SCARED_P_12"
0.1849692051301708,"SCARED_P,SCARED_P_36"
0.1822160532126749,"SCARED_P,SCARED_P_21"
0.15558822695151478,"ARI_P,ARI_P_02"
0.1474904313643561,"SCARED_P,SCARED_P_37"
0.14713426284495057,"SympChck,CSC_26C"
0.14538492463677988,"SympChck,CSC_39C"
0.1143020436945715,"ICU_P,ICU_P_08"
0.1096469567766199,"SCARED_P,SCARED_P_05"
0.1065436770108118,"SCARED_P,SCARED_P_17"
0.10639852236730213,"SCQ,SCQ_15"
0.1032200399565395,"ASSQ,ASSQ_25"
0.10142428093284774,"SympChck,CSC_40C"
0.09871481970151226,"SCARED_P,SCARED_P_20"
0.0950350485480582,"ICU_P,ICU_P_17"
0.08917184839458117,"ARI_P,ARI_P_01"
0.086004744471184,"ICU_P,ICU_P_02"
0.08457972105103304,"SympChck,CSC_03C"
0.0707869455416634,"ARI_P,ARI_P_06"
0.06919502420074612,"SympChck,CSC_02C"
0.06854449517410716,"SympChck,CSC_20C"
0.06250175663339144,"SympChck,CSC_39P"
0.05726863888048577,"SympChck,CSC_37P"
0.05122427854909012,"SympChck,CSC_53C"
0.018583447972512077,"ICU_P,ICU_P_18"
0.01653539162383741,"SCARED_P,SCARED_P_39"
0.014597506386408405,"SCARED_P,SCARED_P_30"
0.010704493867123941,"SCARED_P,SCARED_P_13"
0.006580140548476044,"SympChck,CSC_38C"
0.0009663105863991916,"SCARED_P,SCARED_P_11"
-0.0033144845030246483,"PreInt_DevHx,temp_04"
-0.02115930992599861,"ASSQ,ASSQ_23"
-0.04501170024866789,"PreInt_DevHx,birthweight_lbs_WAS_MISSING"
-0.05252853007149741,"ICU_P,ICU_P_22"
-0.05432289551250356,"PreInt_DevHx,birthweight_lbs"
-0.07651521069595989,"ASSQ,ASSQ_26"
-0.08194418350452115,"SympChck,CSC_29P"
-0.09661794430066846,"ICU_P,ICU_P_10"
-0.09810413823901878,"SympChck,CSC_09P"
-0.20365026655017637,"ICU_P,ICU_P_06"
