coef,feature
1.8577987536925622,"Basic_Demos,Age"
0.7692974248437804,"PreInt_DevHx,puberty"
0.40453246155404854,"SCQ,SCQ_39"
0.31212661163686023,"SympChck,CSC_33P"
0.3063976471127566,"SympChck,CSC_37C"
0.3001461912286097,"ICU_P,ICU_P_11"
0.29809859368813657,"PreInt_DevHx,temp_01"
0.29276913484979017,"SCQ,SCQ_22"
0.28902565075464043,"ASSQ,ASSQ_17"
0.2788288459147371,"SympChck,CSC_26C"
0.27580245491921895,"ARI_P,ARI_P_05"
0.2689810703933962,"SympChck,CSC_02C"
0.2591061915918108,"SCARED_P,SCARED_P_30"
0.252874574168403,"PreInt_DevHx,temp_10"
0.23831414881331683,"ARI_P,ARI_P_04"
0.2314517881480483,"SCARED_P,SCARED_P_02"
0.21728188680972482,"SCQ,SCQ_17"
0.21683233637398178,"SCARED_P,SCARED_P_38"
0.20761700295973623,"ICU_P,ICU_P_23"
0.19017168640704551,"SCQ,SCQ_19"
0.18627690119832357,"PreInt_DevHx,preg_dur"
0.18558040002732687,"ASSQ,ASSQ_10"
0.1736180881659908,"SympChck,CSC_01C"
0.17172039818845328,"SympChck,CSC_55aP"
0.16907494370884105,"SympChck,CSC_42C"
0.1668128252509842,"SympChck,CSC_37P"
0.14606433101477787,"SCQ,SCQ_18"
0.1445918393603946,"SCQ,SCQ_31"
0.13548396544250213,"SympChck,CSC_39C"
0.12999581995277776,"ICU_P,ICU_P_14"
0.12978775207994628,"SympChck,CSC_34C"
0.12967673487026551,"SympChck,CSC_10P"
0.11361707204428838,"SCQ,SCQ_03"
0.0982553609655903,"ARI_P,ARI_P_03"
0.09707931321355612,"ICU_P,ICU_P_18"
0.08829160701759352,"ICU_P,ICU_P_07"
0.08682346948089154,"SympChck,CSC_20P"
0.0829353686217511,"PreInt_DevHx,growth_concerns"
0.08213100587908675,"SCQ,SCQ_07"
0.0817451718912466,"SCARED_P,SCARED_P_05"
0.08150201753696566,"SympChck,CSC_25C"
0.07692570915144777,"SympChck,CSC_34P"
0.06602072653557281,"SympChck,CSC_25P"
0.06516065274466909,"SCQ,SCQ_20"
0.02556495141106473,"SympChck,CSC_55gP"
0.019503067240003974,"SympChck,CSC_20C"
0.010083281174954398,"SympChck,CSC_07P"
0.008701246220937835,"SympChck,CSC_01P"
-0.00084811741173049,"SympChck,CSC_09P"
-0.002179430659595076,"SCARED_P,SCARED_P_24"
-0.017878783627629184,"SympChck,CSC_03P"
-0.027802741846542155,"PreInt_DevHx,newborn_problems"
-0.03281170264437772,"PreInt_DevHx,temp_04"
-0.04136697251776121,"SympChck,CSC_18P"
-0.04305389629570783,"PreInt_DevHx,temp_08"
-0.04903963223042863,"SympChck,CSC_31C"
-0.058765582598231406,"SympChck,CSC_45C"
-0.1006779896470853,"PreInt_DevHx,newborn_problems_WAS_MISSING"
-0.11041934358709497,"PreInt_DevHx,skill_age_06"
-0.11829801537024764,"SympChck,CSC_49P"
-0.12158789124843962,"PreInt_DevHx,labor_dur_WAS_MISSING"
-0.12326989761877964,"SympChck,CSC_43C"
-0.1808150200665048,"ASSQ,ASSQ_02"
-0.19551553859057466,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.19682304408577253,"SympChck,CSC_45P"
-0.263501439300683,"SympChck,CSC_12C"
-0.2665616030658533,"PreInt_DevHx,complications_WAS_MISSING"
-0.2801214507059766,"PreInt_DevHx,hospital_dur"
-0.28455730912769195,"SCQ,SCQ_11"
-0.3948826286455008,"SympChck,CSC_43P"
-0.6101747393456881,"Basic_Demos,Sex"
