coef,feature
0.15069791798954899,"SympChck,CSC_34C"
0.09454814721301963,"SCARED_P,SCARED_P_17"
0.0695095338985537,"SCQ,SCQ_05"
0.0686979183720923,"ARI_P,ARI_P_03"
0.06508638189278548,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.06275574783029741,"ICU_P,ICU_P_23"
0.061478777265822175,"SympChck,CSC_21C"
0.059049611205122414,"SCARED_P,SCARED_P_41"
0.05886335924162152,"SympChck,CSC_41C"
0.054479631247301964,"ICU_P,ICU_P_11"
0.04964762013785736,"SympChck,CSC_15P"
0.04852915405068957,"SCARED_P,SCARED_P_09"
0.04739491509432273,"SympChck,CSC_34P"
0.03939274312512989,"SympChck,CSC_55aP"
0.03936228427828396,"SCQ,SCQ_06"
0.03737379175773436,"PreInt_DevHx,dev_normal"
0.036897321811149505,"SCQ,SCQ_36"
0.03649915996601718,"SCQ,SCQ_32"
0.03543115243680147,"ASSQ,ASSQ_19"
0.0346114624954995,"SCQ,SCQ_18"
0.034349435574952875,"PreInt_DevHx,m_birthage_WAS_MISSING"
0.03308777389676659,"ICU_P,ICU_P_03"
0.030470892399001758,"ASSQ,ASSQ_22"
0.0261435110845057,"ICU_P,ICU_P_15"
0.025314807531109564,"SympChck,CSC_45P"
0.025279741090014265,"ASSQ,ASSQ_10"
0.024294666027153522,"SympChck,CSC_42C"
0.02406111258816659,"SympChck,CSC_08P"
0.023373539366339603,"SCARED_P,SCARED_P_19"
0.021480113908852162,"SCQ,SCQ_12"
0.018557078811585064,"SCQ,SCQ_22"
0.01799424096566536,"SCQ,SCQ_30"
0.015096869069498382,"SympChck,CSC_43P"
0.013936314710626436,"SCARED_P,SCARED_P_34"
0.013660984535430486,"SympChck,CSC_21P"
0.012762264792086843,"SympChck,CSC_26C"
0.012410894880401794,"ICU_P,ICU_P_01"
0.012195871587011508,"SympChck,CSC_03C"
0.010407997360666015,"SympChck,CSC_35C"
0.010086729512884916,"PreInt_DevHx,birthweight_ozs"
0.010083024738792069,"SCQ,SCQ_27"
0.007901572056619174,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.007769751082380931,"SympChck,CSC_52P"
0.007505948900178525,"SCARED_P,SCARED_P_03"
0.007478030899359025,"SCQ,SCQ_20"
0.007263922839094571,"SCQ,SCQ_25"
0.00679340682227269,"SympChck,CSC_28C"
0.006199461040701186,"SympChck,CSC_24C"
0.005505488966104501,"ICU_P,ICU_P_19"
0.005503031291244138,"PreInt_DevHx,temp_01"
0.00397316123104333,"SCARED_P,SCARED_P_11"
0.0024913673149843485,"SCARED_P,SCARED_P_38"
0.0016615764090416618,"SympChck,CSC_08C"
0.0014053799999132614,"SCARED_P,SCARED_P_14"
0.0012584327819426277,"SCARED_P,SCARED_P_02"
0.001249183985753271,"SCARED_P,SCARED_P_16"
0.0009869343959656722,"ICU_P,ICU_P_09"
0.0008396745284515589,"SCARED_P,SCARED_P_27"
0.00031615869573662416,"ICU_P,ICU_P_20"
-0.0010970231768565961,"SCARED_P,SCARED_P_15"
-0.0022037444930091874,"SCQ,SCQ_01"
-0.0025692187905265724,"SympChck,CSC_55iC"
-0.0029182896487323254,"ARI_P,ARI_P_01"
-0.004058936664154225,"SympChck,CSC_13C"
-0.004555584597273482,"SCQ,SCQ_38"
-0.004927620306617672,"ASSQ,ASSQ_02"
-0.0059680450701823885,"PreInt_DevHx,temp_04"
-0.00791929086965418,"ICU_P,ICU_P_12"
-0.008259118881888667,"SCQ,SCQ_28"
-0.008296842308995316,"SympChck,CSC_06P"
-0.008327787061298986,"SympChck,CSC_25P"
-0.008457633048891435,"SCARED_P,SCARED_P_10"
-0.009998895961863116,"ASSQ,ASSQ_07"
-0.010043983600682075,"SCQ,SCQ_08"
-0.010685304228757408,"SympChck,CSC_47P"
-0.01368001864884354,"SCARED_P,SCARED_P_23"
-0.014979003242910318,"ASSQ,ASSQ_05"
-0.01526208916834046,"SympChck,CSC_55dP"
-0.01527864306027596,"PreInt_DevHx,birthweight_lbs"
-0.01573117448196191,"SympChck,CSC_39P"
-0.016394583131177448,"SCARED_P,SCARED_P_21"
-0.01670900879746377,"SympChck,CSC_05P"
-0.016819947844645255,"SCQ,SCQ_21"
-0.017970675130567552,"ASSQ,ASSQ_01"
-0.018121615093856038,"PreInt_DevHx,newborn_problems"
-0.018564188117305567,"ASSQ,ASSQ_16"
-0.020414400756530424,"SCQ,SCQ_31"
-0.020959421202595533,"ASSQ,ASSQ_12"
-0.021477637914805517,"SCQ,SCQ_13"
-0.022195922265717885,"SCQ,SCQ_15"
-0.022234728357098724,"ICU_P,ICU_P_04"
-0.02261096229802466,"PreInt_DevHx,temp_05"
-0.02674473469947195,"SCARED_P,SCARED_P_40"
-0.027450157069201644,"ICU_P,ICU_P_07"
-0.028272995553004093,"SympChck,CSC_23C"
-0.030796020561739194,"SympChck,CSC_40P"
-0.03200337304979533,"SympChck,CSC_11P"
-0.033074092890455944,"SCARED_P,SCARED_P_33"
-0.03796809467082904,"ASSQ,ASSQ_15"
-0.042886743257177715,"SympChck,CSC_11C"
-0.04305220214160949,"SympChck,CSC_27P"
-0.04358758404012774,"SCARED_P,SCARED_P_26"
-0.048142312337747316,"SympChck,CSC_37P"
-0.05135594499431295,"SCQ,SCQ_16"
-0.07676212781229767,"PreInt_DevHx,m_birthage"
