coef,feature
0.4939891076074932,"PreInt_DevHx,skill_age_06"
0.4732762798534285,"ASSQ,ASSQ_18"
0.4343208986329091,"SympChck,CSC_12C"
0.4253683885773685,"SCARED_P,SCARED_P_17"
0.4039432075008097,"SympChck,CSC_34P"
0.40339006815323686,"SympChck,CSC_36P"
0.3929548184450338,"ICU_P,ICU_P_11"
0.3914180746566983,"SympChck,CSC_36C"
0.38918769742004133,"SympChck,CSC_34C"
0.377772791725128,"ICU_P,ICU_P_07"
0.37083427407200514,"ARI_P,ARI_P_04"
0.3487900271422546,"SCARED_P,SCARED_P_04"
0.34712847892295245,"SympChck,CSC_51C"
0.3436012475734932,"SympChck,CSC_21C"
0.3328075796258685,"SympChck,CSC_52C"
0.3326681176634194,"ASSQ,ASSQ_19"
0.32871423184019105,"SympChck,CSC_02C"
0.31770735022606955,"ICU_P,ICU_P_02"
0.31670920443114564,"ICU_P,ICU_P_23"
0.31406051582475,"ARI_P,ARI_P_07"
0.3119206967009618,"ASSQ,ASSQ_15"
0.3110247163888653,"SympChck,CSC_09C"
0.3061389644872502,"SympChck,CSC_01C"
0.30028480548390635,"SCARED_P,SCARED_P_26"
0.2949732623027698,"ASSQ,ASSQ_13"
0.2944259055494909,"SympChck,CSC_10C"
0.28619628077625536,"SympChck,CSC_02P"
0.2860650948509066,"SympChck,CSC_25C"
0.2845311016390611,"SympChck,CSC_21P"
0.2806685409870254,"SympChck,CSC_37C"
0.2795480835218065,"SympChck,CSC_19C"
0.276719357939042,"SympChck,CSC_03P"
0.27547790727712307,"SympChck,CSC_42P"
0.27447499593503044,"ASSQ,ASSQ_11"
0.2700095715002188,"SCQ,SCQ_05"
0.26631631254447863,"SCARED_P,SCARED_P_36"
0.2637984782556948,"ASSQ,ASSQ_25"
0.2584572536058288,"ASSQ,ASSQ_10"
0.2574646201430841,"SCQ,SCQ_20"
0.2517484235235815,"PreInt_DevHx,lost_skills"
0.2507587407452375,"SympChck,CSC_33C"
0.24791846654679076,"SCQ,SCQ_27"
0.24724719610455825,"SympChck,CSC_35C"
0.24485846480525517,"ASSQ,ASSQ_22"
0.24413510874738115,"SympChck,CSC_40C"
0.24055228881865046,"SympChck,CSC_49C"
0.2376092037983715,"SympChck,CSC_42C"
0.23621475093271607,"SympChck,CSC_35P"
0.2349257397571349,"PreInt_DevHx,premature_WAS_MISSING"
0.22657015069034864,"ASSQ,ASSQ_27"
0.22296648205832653,"SympChck,CSC_06P"
0.2208444382969307,"ICU_P,ICU_P_24"
0.22059855376318102,"SympChck,CSC_55iC"
0.2198653639397651,"SympChck,CSC_12P"
0.2183319267076832,"SCARED_P,SCARED_P_29"
0.21784411697663164,"SympChck,CSC_51P"
0.21714121828577446,"SympChck,CSC_03C"
0.21491705711852027,"ASSQ,ASSQ_17"
0.21056114266760328,"SympChck,CSC_04C"
0.21014719657517944,"SympChck,CSC_52P"
0.20896950477595996,"SympChck,CSC_09P"
0.20878819721989533,"ICU_P,ICU_P_17"
0.208578757447799,"SCARED_P,SCARED_P_08"
0.20753370131194412,"SCARED_P,SCARED_P_07"
0.20737507370493813,"SCQ,SCQ_17"
0.20086171349398968,"SympChck,CSC_55iP"
0.19923914423300654,"SympChck,CSC_30C"
0.19651787353973443,"ASSQ,ASSQ_20"
0.19052573148979549,"SympChck,CSC_48C"
0.1876681910112843,"ICU_P,ICU_P_20"
0.18633951822740616,"SympChck,CSC_45C"
0.1833374290832743,"ASSQ,ASSQ_08"
0.18186416072343084,"SCQ,SCQ_36"
0.18043105474726903,"SympChck,CSC_11C"
0.17757345977292008,"SympChck,CSC_04P"
0.1749592997624604,"Basic_Demos,Sex"
0.17322919558624858,"ASSQ,ASSQ_26"
0.17097578540228509,"ICU_P,ICU_P_15"
0.16912899307714235,"SympChck,CSC_10P"
0.1637705911044404,"SCARED_P,SCARED_P_40"
0.15981659335531964,"SympChck,CSC_50C"
0.1596082497600195,"ARI_P,ARI_P_03"
0.1583989403735558,"SCARED_P,SCARED_P_34"
0.1547040718859496,"ASSQ,ASSQ_03"
0.14258056857825702,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.1413521747808478,"SCARED_P,SCARED_P_19"
0.139850329402017,"SympChck,CSC_29C"
0.13910288017714745,"SCQ,SCQ_16"
0.1383760617462731,"SCQ,SCQ_37"
0.13829532155165444,"ICU_P,ICU_P_04"
0.13114758973605659,"PreInt_DevHx,temp_01"
0.12527112780998992,"SympChck,CSC_06C"
0.12406386260910815,"SCARED_P,SCARED_P_05"
0.12319631660530775,"ASSQ,ASSQ_16"
0.12257736725499856,"ASSQ,ASSQ_02"
0.11960794266332868,"SCQ,SCQ_15"
0.11898807765046865,"SympChck,CSC_01P"
0.11770975135852604,"SympChck,CSC_50P"
0.11408363875228733,"SCQ,SCQ_18"
0.11371208649365305,"SympChck,CSC_11P"
0.11270949752554824,"SympChck,CSC_53P"
0.11211362642312672,"SCARED_P,SCARED_P_06"
0.11006270522891068,"PreInt_DevHx,newborn_problems"
0.10957986981408444,"SympChck,CSC_13P"
0.10783818148740625,"ASSQ,ASSQ_05"
0.10659970007782889,"SympChck,CSC_33P"
0.1024098650423856,"ICU_P,ICU_P_19"
0.1017682370144659,"SympChck,CSC_17C"
0.09677539177637987,"ASSQ,ASSQ_24"
0.09652234825725334,"ICU_P,ICU_P_16"
0.09498836041970873,"SCARED_P,SCARED_P_10"
