coef,feature
0.3877803476415617,"PreInt_DevHx,skill_age_06"
0.3838569617136288,"SCQ,SCQ_19"
0.3831023008024642,"SympChck,CSC_30C"
0.34502288689580185,"SympChck,CSC_45P"
0.3422849261324725,"SCARED_P,SCARED_P_11"
0.33986557033338655,"SympChck,CSC_15P"
0.31676602133939347,"PreInt_DevHx,delivery"
0.29206459460220086,"SCQ,SCQ_07"
0.2782067313639668,"ICU_P,ICU_P_14"
0.2536499606989378,"SCARED_P,SCARED_P_17"
0.25284160504168735,"ASSQ,ASSQ_14"
0.24618853296736887,"SCARED_P,SCARED_P_36"
0.2418534784097847,"SympChck,CSC_34P"
0.23523762946524274,"SympChck,CSC_17P"
0.2344078432750837,"SCQ,SCQ_32"
0.23059154425352718,"SympChck,CSC_55aP"
0.2260162570375578,"SympChck,CSC_25P"
0.221794687122739,"SCQ,SCQ_05"
0.21894885623742041,"SympChck,CSC_53C"
0.2141880825148457,"PreInt_DevHx,lost_skills"
0.20859516213951687,"SCQ,SCQ_17"
0.20740571320022846,"SympChck,CSC_36P"
0.20156616313778916,"SCQ,SCQ_18"
0.1953186560473378,"SympChck,CSC_07P"
0.1886487250108662,"SCARED_P,SCARED_P_02"
0.18741903314609476,"SympChck,CSC_24C"
0.18459294492833161,"SCARED_P,SCARED_P_16"
0.1787532676096005,"SympChck,CSC_11C"
0.1692911165236485,"SCQ,SCQ_15"
0.16858583868466584,"SympChck,CSC_19C"
0.1681097108646189,"SympChck,CSC_39C"
0.1653487372839339,"SympChck,CSC_39P"
0.16454773735526723,"ASSQ,ASSQ_19"
0.1616711506131233,"SCQ,SCQ_40"
0.15880934229921242,"SympChck,CSC_52P"
0.14672225724699475,"SympChck,CSC_49C"
0.14671894292132842,"ASSQ,ASSQ_24"
0.13765612032554495,"SCARED_P,SCARED_P_05"
0.13739443165164728,"Basic_Demos,Sex"
0.13408692648559312,"SympChck,CSC_51P"
0.13067162391262796,"ASSQ,ASSQ_20"
0.12967728149472318,"SympChck,CSC_55gP"
0.12152986305146728,"SympChck,CSC_11P"
0.12100509508245995,"SCQ,SCQ_31"
0.1164424207202109,"SCQ,SCQ_03"
0.11634626117937841,"SympChck,CSC_03C"
0.11471858209712106,"SympChck,CSC_17C"
0.1141442278140394,"SympChck,CSC_55eP"
0.11350932565565895,"SympChck,CSC_36C"
0.11310367082845847,"SympChck,CSC_16P"
0.1128426413184273,"SympChck,CSC_04C"
0.11272603269485416,"SympChck,CSC_26C"
0.11217605770747367,"ASSQ,ASSQ_16"
0.10899804318371871,"SympChck,CSC_22C"
0.10526420931312525,"SympChck,CSC_14P"
0.1039147617283365,"ASSQ,ASSQ_25"
0.10249954677598924,"ICU_P,ICU_P_17"
