coef,feature
0.5446187623108607,"SCARED_SR,SCARED_SR_17"
0.39949533830450973,"C3SR,C3SR_17"
0.39400359745601066,"SCARED_SR,SCARED_SR_21"
0.38236844551439864,"APQ_SR,APQ_SR_39"
0.3724152128162922,"SCARED_SR,SCARED_SR_07"
0.36352913187037056,"SCARED_SR,SCARED_SR_14"
0.3554744840445291,"C3SR,C3SR_27"
0.33057247745675145,"C3SR,C3SR_18"
0.32916707180970184,"SCARED_SR,SCARED_SR_28"
0.27333148056629086,"C3SR,C3SR_34"
0.26546822742192105,"C3SR,C3SR_29"
0.2437316203911602,"SCARED_SR,SCARED_SR_23"
0.2361759807085929,"SCARED_SR,SCARED_SR_35"
0.21664822180318005,"SCARED_SR,SCARED_SR_37"
0.21660354942075036,"C3SR,C3SR_08"
0.21505325429446165,"SCARED_SR,SCARED_SR_39"
0.2101726583034482,"SCARED_SR,SCARED_SR_33"
0.201587082633612,"C3SR,C3SR_02"
0.1999875049104729,"SCARED_SR,SCARED_SR_01"
0.19479886263973414,"SCARED_SR,SCARED_SR_06"
0.193854073096959,"C3SR,C3SR_05"
0.15982859412936362,"CCSC,CCSC_46"
0.1564553624586121,"C3SR,C3SR_10"
0.15048897828287844,"APQ_SR,APQ_SR_31"
0.14976725638011798,"APQ_SR,APQ_SR_36"
0.1373301804337092,"SDQ,SDQ_13"
0.1366510773722047,"C3SR,C3SR_01"
0.1345903448524713,"SympChck,CSC_40C"
0.11843584913145899,"SCARED_SR,SCARED_SR_26"
0.11637971488431342,"RBS,RBS_35"
0.1129895300376015,"SCARED_P,SCARED_P_20"
0.11280796190486847,"SCARED_SR,SCARED_SR_30"
0.11002418790714195,"C3SR,C3SR_30"
0.10960775707605322,"C3SR,C3SR_14"
0.10624982305169098,"APQ_SR,APQ_SR_35"
0.10010366396079268,"ICU_P,ICU_P_13"
0.09810998587058639,"SympChck,CSC_53C"
0.09611635071567039,"C3SR,C3SR_03"
0.09337928874998262,"MFQ_P,MFQ_P_28"
0.09325586383431757,"SRS,SRS_08"
0.08843383252578532,"C3SR,C3SR_31"
0.08830395908629858,"C3SR,C3SR_37"
0.08668975010914896,"C3SR,C3SR_35"
0.0827888349159214,"C3SR,C3SR_16"
0.07942751842841012,"SCARED_SR,SCARED_SR_31"
0.07699477470710409,"SCARED_SR,SCARED_SR_41"
0.07535393514524233,"MFQ_P,MFQ_P_02"
0.07521151211096248,"CBCL,CBCL_65"
0.06968082327827958,"C3SR,C3SR_19"
0.06142149529992888,"SRS,SRS_18"
0.061403238154193455,"SCARED_SR,SCARED_SR_36"
0.05827855509405864,"SDQ,SDQ_16"
0.0581048767482126,"SCARED_SR,SCARED_SR_32"
0.05763927926020727,"CCSC,CCSC_03"
0.05460392591203703,"SRS,SRS_19"
0.05177053208069839,"MFQ_P,MFQ_P_16"
0.04997061505130872,"CCSC,CCSC_31"
0.04961321564006268,"RBS,RBS_12"
0.04551928172596464,"C3SR,C3SR_39"
0.042521106670676004,"SCARED_SR,SCARED_SR_02"
0.039892729803692184,"CCSC,CCSC_40"
0.037626804840287194,"SCQ,SCQ_37"
0.032884048009253916,"SCARED_P,SCARED_P_37"
0.031833655858669575,"MFQ_P,MFQ_P_06"
0.030021299183956976,"SCARED_SR,SCARED_SR_40"
0.02698680452108855,"CBCL,CBCL_99"
0.023234520322067808,"ASSQ,ASSQ_17"
0.022856467694038197,"SRS,SRS_23"
0.02177347247577358,"CBCL,CBCL_86"
0.021540066403342988,"ICU_P,ICU_P_16"
0.01936490858718368,"SympChck,CSC_02C"
0.01802233253411564,"SCQ,SCQ_40"
0.017288641526768768,"SCARED_SR,SCARED_SR_12"
0.015644949647340242,"SCARED_P,SCARED_P_10"
0.015595214824789051,"SCARED_SR,SCARED_SR_05"
0.011678105658703227,"APQ_SR,APQ_SR_08"
0.01089601448954541,"SRS,SRS_30"
0.009420768755263358,"ESWAN,DMDD_6C"
0.007163528226961002,"SDQ,SDQ_08"
0.006644479576335377,"ASSQ,ASSQ_16"
0.00591225251174812,"ESWAN,MDD_7"
0.0038295174127732094,"MFQ_P,MFQ_P_15"
0.0034758875493832633,"CBCL,CBCL_96"
0.0009355922489778049,"SCARED_SR,SCARED_SR_13"
0.0008487951651891551,"PreInt_DevHx,temp_10"
-0.0016870859203515108,"CCSC,CCSC_20"
-0.006355124099844542,"ICU_P,ICU_P_04"
-0.007960408421397457,"PSI,PSI_18"
-0.010574415999380093,"CCSC,CCSC_09"
-0.018775074354485558,"CBCL,CBCL_20"
-0.019024758878353903,"CCSC,CCSC_49"
-0.022510695826195404,"C3SR,C3SR_24"
-0.02569628141511855,"SWAN,SWAN_06"
-0.031423834713393925,"CCSC,CCSC_39"
-0.032325478304503795,"CCSC,CCSC_07"
-0.03466955020239288,"PSI,PSI_10"
-0.03515437499475137,"SympChck,CSC_15P"
-0.03869712729307474,"ICU_P,ICU_P_03"
-0.045289172556649576,"ICU_P,ICU_P_10"
-0.05810059922735244,"APQ_SR,APQ_SR_01"
-0.05908447898785595,"CCSC,CCSC_21"
-0.0619408457715462,"SRS,SRS_21"
-0.06935329578081328,"APQ_SR,APQ_SR_01A"
-0.08630453636774267,"APQ_SR,APQ_SR_13"
-0.1111084721779589,"CBCL,CBCL_81"
-0.1204139046741358,"SDQ,SDQ_17"
-0.12349001438192717,"CCSC,CCSC_11"
-0.1637942296018729,"SympChck,CSC_09P"
-0.30983748195198924,"APQ_SR,APQ_SR_02"
-0.5057413094532002,"C3SR,C3SR_25"
