coef,feature
0.22304244289347233,"CBCL,CBCL_23"
0.2105516577000874,"CBCL,CBCL_28"
0.20031436144758763,"ARI_P,ARI_P_07"
0.1943921708149309,"SDQ,SDQ_29_a"
0.1792497700236057,"PSI,PSI_33"
0.17461418718532873,"PSI,PSI_35"
0.1605448087661856,"PSI,PSI_02"
0.16003642972606585,"SRS,SRS_64"
0.15525052763760402,"PSI,PSI_26"
0.1547449984928277,"ARI_P,ARI_P_05"
0.14977736219932308,"SDQ,SDQ_13"
0.147369374912096,"CBCL,CBCL_39"
0.14540826306404186,"ICU_P,ICU_P_20"
0.14498366021057243,"CBCL,CBCL_22"
0.14458128232669026,"SDQ,SDQ_12"
0.14449186543489825,"SDQ,SDQ_07"
0.1390269536920155,"SDQ,SDQ_30"
0.13681960506518245,"ARI_P,ARI_P_04"
0.13418701786539305,"ASSQ,ASSQ_18"
0.13410507774085784,"PSI,PSI_34"
0.13273960214100095,"SympChck,CSC_43C"
0.12826795125159188,"SDQ,SDQ_26"
0.12474771132206972,"ARI_P,ARI_P_01"
0.12307918088692361,"ASSQ,ASSQ_19"
0.12218969016314522,"ARI_P,ARI_P_06"
0.11977836398944426,"CBCL,CBCL_25"
0.11904087522975605,"SRS,SRS_13"
0.11685240925673447,"PSI,PSI_28"
0.1160587206817759,"ICU_P,ICU_P_09"
0.11591655637332153,"SCARED_P,SCARED_P_36"
0.11575031814667522,"DTS,DTS_03"
0.11029758761621347,"ICU_P,ICU_P_23"
0.10981068076610191,"ESWAN,DMDD_10A"
0.1085490659685811,"MFQ_P,MFQ_P_19"
0.10782626023452078,"ESWAN,DMDD_2A"
0.10571825320698483,"ASSQ,ASSQ_27"
0.10351020351999679,"SCARED_P,SCARED_P_09"
0.10229067473897825,"ARI_P,ARI_P_02"
0.1022659456789821,"MFQ_P,MFQ_P_29"
0.10193641254525296,"SDQ,SDQ_29_d"
0.10125384831442595,"ESWAN,Panic_A02A"
0.10012136301160188,"CBCL,CBCL_103"
0.10007708197961107,"CBCL,CBCL_02"
0.09894442251254616,"ESWAN,MDD_1B"
0.0972882421250646,"SympChck,CSC_37C"
0.09607423963957497,"SCARED_P,SCARED_P_06"
0.09551493144934925,"ESWAN,DMDD_1A"
0.09505254331771135,"CBCL,CBCL_67"
0.09496103391563687,"APQ_P,APQ_P_29"
0.09445378396736098,"CBCL,CBCL_61"
0.09332452155706476,"ICU_P,ICU_P_16"
0.09319766987513356,"PSI,PSI_30"
0.08985082076241457,"ESWAN,DMDD_5A"
0.08817705017816121,"SDQ,SDQ_28"
0.08791849890162749,"ESWAN,DMDD_10C"
0.08662498468467336,"SCARED_SR,SCARED_SR_23"
0.08642345168133,"ESWAN,DMDD_7A"
0.08480976743866579,"CBCL,CBCL_41"
0.0843381912656141,"PSI,PSI_18"
0.08366781620085958,"APQ_P,APQ_P_12"
0.0836183622273746,"CBCL,CBCL_99"
0.08341511411552754,"CBCL,CBCL_03"
0.08283579933896354,"SCARED_P,SCARED_P_40"
0.08269461118102918,"CBCL,CBCL_76"
0.08184673320330471,"MFQ_P,MFQ_P_01"
0.08146094677963144,"CBCL,CBCL_94"
0.08125623040912609,"ICU_P,ICU_P_07"
0.08101621314736214,"RBS,RBS_30"
0.080413747631245,"PSI,PSI_19"
0.08035073717037568,"ARI_P,ARI_P_03"
0.08004821461369695,"CBCL,CBCL_104"
0.07962553139499402,"ICU_P,ICU_P_13"
0.07914531466476675,"PSI,PSI_36"
0.0791024971489312,"ICU_P,ICU_P_22"
0.07885086506270318,"CBCL,CBCL_37"
0.07835796553236464,"CBCL,CBCL_16"
0.07721805550265336,"ESWAN,DMDD_9A"
0.07711640734403052,"APQ_SR,APQ_SR_36"
0.07612368701434856,"CBCL,CBCL_105"
0.07604937404391521,"SCARED_P,SCARED_P_38"
0.07598366410281085,"PreInt_DevHx,growth_concerns"
0.0754858131159277,"SCARED_SR,SCARED_SR_16"
0.07497966489589544,"ASSQ,ASSQ_17"
0.0749450215008476,"CBCL,CBCL_04"
0.07472831094955308,"ICU_P,ICU_P_11"
0.07426118745610602,"SympChck,CSC_25C"
0.07381799952932228,"SympChck,CSC_40C"
0.07379416293529073,"SympChck,CSC_34C"
0.07340546677304426,"CBCL,CBCL_93"
0.07328383050814555,"SRS,SRS_27"
0.07250382804855772,"RBS,RBS_14"
0.07209544471765579,"CBCL,CBCL_35"
0.07193199678565446,"ESWAN,Panic_B08"
0.0715730731743804,"PSI,PSI_14"
0.07148775358034822,"APQ_P,APQ_P_34"
0.07107290837272962,"SRS,SRS_36"
0.07096959369389326,"ESWAN,DMDD_4A"
0.0687387608454905,"CBCL,CBCL_05"
0.06866377623089018,"SWAN,SWAN_04"
0.06857308084139709,"SCARED_P,SCARED_P_27"
0.06784383337729066,"SCQ,SCQ_29"
0.06717333964256614,"SympChck,CSC_03C"
0.06581243116472013,"SCARED_P,SCARED_P_12"
0.06563438177450802,"SRS,SRS_37"
0.06518074088680333,"SympChck,CSC_39C"
0.0643260477844318,"ICU_P,ICU_P_15"
0.06381078115447998,"CBCL,CBCL_43"
0.06366699883415859,"ICU_P,ICU_P_04"
0.06334704314913439,"PSI,PSI_29"
0.06323890073265344,"PreInt_DevHx,complications"
0.06269121320217495,"APQ_P,APQ_P_24"
0.061462640986565245,"CBCL,CBCL_18"
0.061433205954463214,"CBCL,CBCL_72"
0.06142386090426661,"CBCL,CBCL_42"
0.061285117138061826,"ICU_P,ICU_P_01"
0.060123760792413945,"SRS,SRS_39"
0.05928324374899028,"SDQ,SDQ_11"
0.05854420934460693,"CBCL,CBCL_56E"
0.05828479908351297,"SympChck,CSC_47P"
0.05734876201926938,"ESWAN,MDD_1A"
0.05720129161273656,"SCARED_SR,SCARED_SR_29"
0.05709267795947162,"CBCL,CBCL_111"
0.05688616532366501,"APQ_P,APQ_P_10"
0.05650986881321521,"CBCL,CBCL_48"
0.05629920704613528,"SCQ,SCQ_35"
0.055951686003421944,"SDQ,SDQ_29_c"
0.05547232754837569,"SRS,SRS_11"
0.053472814879404876,"SympChck,CSC_23C"
0.0533445838035994,"SCARED_P,SCARED_P_28"
0.053246453602857874,"ESWAN,MDD_2A"
0.05304999040387672,"SWAN,SWAN_05"
0.0530203203740483,"SCARED_P,SCARED_P_20"
0.05286485213557541,"ICU_P,ICU_P_12"
0.05262525146642782,"SRS,SRS_24"
0.052402645242493315,"SDQ,SDQ_29_b"
0.05230551618040486,"PSI,PSI_27"
0.05168812299899087,"SWAN,SWAN_15"
0.051354467059115214,"APQ_SR,APQ_SR_31"
0.051049295399712855,"CBCL,CBCL_20"
0.0509357235495376,"ESWAN,Panic_B12"
0.05058345905334948,"ICU_P,ICU_P_02"
0.05055044656223961,"CCSC,CCSC_49"
0.049992367269253844,"SCQ,SCQ_28"
0.04973996824577274,"MFQ_P,MFQ_P_07"
0.0496970917102993,"SympChck,CSC_44C"
0.04883997192913965,"SRS,SRS_04"
0.048064718531988196,"CBCL,CBCL_19"
0.047501724426067864,"SympChck,CSC_26C"
0.04729735259102785,"PSI,PSI_15"
0.047086375331205375,"ASSQ,ASSQ_22"
