coef,feature
0.8722408829792553,"SCARED_SR,SCARED_SR_17"
0.6105773799111296,"C3SR,C3SR_17"
0.6068656310761266,"C3SR,C3SR_27"
0.520598327907414,"APQ_SR,APQ_SR_39"
0.5080366951408981,"SCARED_SR,SCARED_SR_21"
0.4801266767024471,"SCARED_SR,SCARED_SR_14"
0.47074887039103913,"SCARED_SR,SCARED_SR_07"
0.4324984957283536,"C3SR,C3SR_18"
0.4061901388081613,"SCARED_SR,SCARED_SR_28"
0.3925779614189096,"C3SR,C3SR_34"
0.316864699935546,"C3SR,C3SR_29"
0.2743389826994779,"SCARED_SR,SCARED_SR_39"
0.25903981639005913,"SympChck,CSC_40C"
0.25849029342040536,"SCARED_SR,SCARED_SR_01"
0.25569632792715635,"C3SR,C3SR_08"
0.25006208040562244,"C3SR,C3SR_02"
0.24423341240969143,"SCARED_SR,SCARED_SR_06"
0.2230998454505811,"NIH_Scores,NIH7_Pattern"
0.20859905971566667,"SCARED_P,SCARED_P_20"
0.20463011748892787,"SCARED_SR,SCARED_SR_23"
0.19746448200298916,"CCSC,CCSC_46"
0.18418202409044013,"RBS,RBS_35"
0.18371367442370393,"SCARED_SR,SCARED_SR_35"
0.1779148021302393,"SRS,SRS_08"
0.1710313009083966,"SCARED_SR,SCARED_SR_33"
0.16380078036196688,"SCARED_SR,SCARED_SR_37"
0.16028338218779187,"APQ_SR,APQ_SR_31"
0.15794534672195762,"C3SR,C3SR_10"
0.15379143159420058,"SympChck,CSC_53C"
0.1529371459560926,"C3SR,C3SR_05"
0.13481091082240415,"APQ_SR,APQ_SR_36"
0.12785779380184303,"MFQ_P,MFQ_P_02"
0.11574293462816951,"SRS,SRS_19"
0.11456225402928268,"C3SR,C3SR_01"
0.11037592071531976,"ICU_P,ICU_P_13"
0.10372836599984832,"MFQ_P,MFQ_P_28"
0.09488624830875685,"CCSC,CCSC_31"
0.09326933090131977,"CCSC,CCSC_03"
0.08517820288241788,"CBCL,CBCL_65"
0.08424732915826856,"SRS,SRS_18"
0.0783311203398242,"SDQ,SDQ_13"
0.07490824031387282,"CCSC,CCSC_40"
0.0690710281951126,"C3SR,C3SR_31"
0.06567746910996647,"C3SR,C3SR_30"
0.05873448592550716,"SCARED_SR,SCARED_SR_26"
0.05654705960023431,"RBS,RBS_12"
0.05572074712698008,"NIH_Scores,NIH7_Card"
0.054115747476423955,"MFQ_P,MFQ_P_06"
0.05134995666081437,"SCQ,SCQ_37"
0.05062163305186421,"SDQ,SDQ_16"
0.0455463969489489,"APQ_SR,APQ_SR_35"
0.04069060426143145,"SCARED_SR,SCARED_SR_31"
0.04017614981359488,"PreInt_DevHx,temp_10"
0.03819016644531312,"SCQ,SCQ_04"
0.03179006632032093,"SCARED_SR,SCARED_SR_41"
0.024859777319468906,"SCARED_P,SCARED_P_10"
0.015954243343949587,"SCARED_P,SCARED_P_37"
0.014305285971521892,"NIH_Scores,NIH7_Pattern_P"
0.002697919531706722,"NIH_Scores,NIH7_Card_P"
0.0012502623927928217,"C3SR,C3SR_39"
-0.004406427855960601,"APQ_P,APQ_P_42"
-0.007274337491692807,"CCSC,CCSC_50"
-0.011979338241726289,"SympChck,CSC_52C"
-0.027347079761419014,"SCARED_P,SCARED_P_01"
-0.02842244888365825,"CCSC,CCSC_07"
-0.034485112046148826,"ICU_P,ICU_P_10"
-0.043909644315769734,"ICU_P,ICU_P_04"
-0.044470952009035204,"CCSC,CCSC_20"
-0.046345902851336364,"SWAN,SWAN_06"
-0.051939934140884166,"CCSC,CCSC_49"
-0.054000306515484285,"SCARED_P,SCARED_P_09"
-0.05416225973752386,"ICU_P,ICU_P_03"
-0.05494775451789758,"CCSC,CCSC_21"
-0.06442443779365399,"ESWAN,Panic_B07"
-0.0831487286838984,"APQ_SR,APQ_SR_01A"
-0.0978590967241089,"CBCL,CBCL_20"
-0.11553052666301687,"SympChck,CSC_15P"
-0.12024670086756102,"SRS,SRS_21"
-0.12301140451068185,"PSI,PSI_10"
-0.1512161470117928,"CCSC,CCSC_11"
-0.17760097683078793,"CBCL,CBCL_81"
-0.20941767475228784,"SDQ,SDQ_17"
-0.3211969958452512,"SympChck,CSC_09P"
-0.47775635132219746,"APQ_SR,APQ_SR_02"
-0.7267131575921265,"C3SR,C3SR_25"
