coef,feature
2.2487745326250366,"Basic_Demos,Age"
1.901169444316227,"RBS,RBS_40"
1.5253988128026774,"ESWAN,DMDD_6A"
1.436192663519062,"APQ_P,APQ_P_06"
1.1179753910380927,"APQ_SR,APQ_SR_32"
1.0326989094828853,"APQ_P,APQ_P_32"
0.9576578993304671,"APQ_P,APQ_P_22"
0.8955555701630609,"APQ_P,APQ_P_12"
0.8545797339641027,"APQ_SR,APQ_SR_21"
0.7938622712384751,"CBCL,CBCL_24"
0.7693949126607995,"PSI,PSI_26"
0.763878756378576,"ICU_P,ICU_P_20"
0.6753078966708957,"SympChck,CSC_03C"
0.6485671617128183,"APQ_SR,APQ_SR_36"
0.6377575247552533,"APQ_P,APQ_P_42"
0.6175353651373207,"PreInt_DevHx,m_birthage"
0.6155724306133045,"CBCL,CBCL_69"
0.6133803481421316,"APQ_P,APQ_P_26"
0.5729652981221666,"SympChck,CSC_01P"
0.5684575464882873,"SRS,SRS_39"
0.5657366967472092,"PSI,PSI_15"
0.5201151301797009,"APQ_P,APQ_P_36"
0.4982672016126398,"RBS,RBS_10"
0.47332903524812325,"ICU_P,ICU_P_15"
0.4180741141924349,"SDQ,SDQ_13"
0.36348233303614036,"PSI,PSI_33"
0.35038813414167913,"MFQ_P,MFQ_P_12"
0.3327736964823699,"RBS,RBS_23"
0.31569707236911987,"SCARED_P,SCARED_P_34"
0.3009547557292396,"MFQ_P,MFQ_P_11"
0.2975112355912495,"MFQ_P,MFQ_P_32"
0.29503186812778837,"APQ_P,APQ_P_19"
0.2917766212966539,"APQ_SR,APQ_SR_08"
0.28872762154742376,"RBS,RBS_41"
0.2699099664962779,"CBCL,CBCL_90"
0.26951707911792905,"CBCL,CBCL_111"
0.25992917153787787,"PSI,PSI_29"
0.258299512347614,"CCSC,CCSC_01"
0.2526416075237038,"C3SR,C3SR_19"
0.2379745039665855,"APQ_P,APQ_P_17"
0.2352574296066969,"ICU_P,ICU_P_07"
0.22436301585488927,"CBCL,CBCL_03"
0.2052237262151407,"PSI,PSI_27"
0.19648594458257268,"MFQ_P,MFQ_P_25"
0.19296153901701532,"CBCL,CBCL_71"
0.19184157503872354,"SCQ,SCQ_35"
0.18034103077347405,"SympChck,CSC_08C"
0.16280629754003206,"PSI,PSI_34"
0.15840390635448376,"CBCL,CBCL_103"
0.12251965253669951,"SDQ,SDQ_28"
0.12118246864973722,"SCARED_SR,SCARED_SR_05"
0.118189755373912,"SCARED_P,SCARED_P_09"
0.10581723018432898,"CBCL,CBCL_63"
0.08586632326577491,"SympChck,CSC_55bC"
0.06899835047328622,"ICU_P,ICU_P_23"
0.05135196254187717,"SympChck,CSC_01C"
0.043084486717956776,"ESWAN,MDD_2A"
0.03740351224698194,"CBCL,CBCL_65"
0.035623838038679585,"RBS,RBS_31"
0.02836416257895021,"SCARED_P,SCARED_P_28"
0.019446659097239673,"RBS,RBS_01"
0.01589663327504133,"PreInt_DevHx,puberty"
0.009992614427932396,"CBCL,CBCL_05"
0.00795892559553363,"CBCL,CBCL_88"
-0.013238463890689452,"SDQ,SDQ_22"
-0.027988661308991396,"SCQ,SCQ_32"
-0.03850348137078359,"SRS,SRS_17"
-0.04513901450681586,"C3SR,C3SR_11"
-0.04719815609456995,"C3SR,C3SR_13"
-0.07542990978622496,"SympChck,CSC_08P"
-0.1038237053006794,"APQ_P,APQ_P_11"
-0.11258925724364019,"RBS,RBS_13"
-0.11465709194776165,"C3SR,C3SR_20"
-0.1616039234570045,"SympChck,CSC_55cP"
-0.17356763014634918,"SCQ,SCQ_19"
-0.18837896295535395,"SRS,SRS_52"
-0.1999641687031838,"CBCL,CBCL_82"
-0.23514374466614346,"SCQ,SCQ_37"
-0.24933913795873136,"CBCL,CBCL_108"
-0.24980540306627605,"APQ_SR,APQ_SR_23"
-0.3266030558023108,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.42488163618548114,"Basic_Demos,Sex"
-0.5264316623817621,"APQ_SR,APQ_SR_37"
-0.5408698851896988,"C3SR,C3SR_36"
-0.6310183728240071,"CCSC,CCSC_45"
-0.7707291264302644,"CBCL,CBCL_64"
