coef,feature
0.37339532960426103,"CBCL,CBCL_61"
0.10697155138925632,"PSI,PSI_18"
0.06661407748818692,"SWAN,SWAN_06"
0.06303490226063685,"C3SR,C3SR_36"
0.046180322417212254,"SRS,SRS_43"
0.04425574805279441,"RBS,RBS_02"
0.03275130125974539,"APQ_P,APQ_P_03"
0.032746382013226716,"ASSQ,ASSQ_14"
0.032582931211310014,"APQ_P,APQ_P_41"
0.03147162843682424,"RBS,RBS_35"
0.02964581958149048,"SRS,SRS_23"
0.02939968434597473,"SDQ,SDQ_29_c"
0.02876981119663916,"SCQ,SCQ_30"
0.02823665268724427,"PhenX_Neighborhood,PhenX_NS_02"
0.0273158663564659,"ICU_P,ICU_P_15"
0.027247877882570156,"CBCL,CBCL_101"
0.026927148243396155,"SympChck,CSC_34C"
0.025803568645553682,"ARI_P,ARI_P_03"
0.02519907828567246,"SympChck,CSC_43P"
0.02297376163252112,"SCQ,SCQ_39"
0.022489896397453316,"PreInt_DevHx,dev_normal"
0.021951605534444668,"C3SR,C3SR_28"
0.02183301901784083,"CCSC,CCSC_16"
0.02182847316599795,"APQ_SR,APQ_SR_29"
0.020269251581016296,"PSI,PSI_19"
0.019527861563925362,"CBCL,CBCL_67"
0.019244120712213892,"SympChck,CSC_55aP"
0.017762464283627523,"SDQ,SDQ_09"
0.017477278806203162,"C3SR,C3SR_26"
0.01659983735307661,"APQ_SR,APQ_SR_24"
0.016277021465763535,"APQ_P,APQ_P_27"
0.015021117339842571,"SCQ,SCQ_09"
0.014843701505657517,"SWAN,SWAN_09"
0.014598329401886496,"SCARED_P,SCARED_P_17"
0.014346989069486792,"CBCL,CBCL_26"
0.013464603258896776,"SCARED_P,SCARED_P_19"
0.013004325699364256,"C3SR,C3SR_38"
0.012961462892838107,"MFQ_P,MFQ_P_30"
0.01200380388814446,"SRS,SRS_49"
0.011379308990539171,"SympChck,CSC_03C"
0.0108257431873045,"SCQ,SCQ_06"
0.010790094331291479,"APQ_P,APQ_P_13"
0.010668792628001588,"APQ_SR,APQ_SR_13"
0.010638047679745525,"CCSC,CCSC_47"
0.009662417579972011,"SCQ,SCQ_17"
0.009368166417141218,"SympChck,CSC_16P"
0.008276597505730258,"APQ_SR,APQ_SR_17"
0.00696339641536078,"APQ_SR,APQ_SR_16"
0.006557981871486151,"APQ_P,APQ_P_42"
0.0056444366308501396,"SDQ,SDQ_30"
0.005499319321972587,"SCARED_P,SCARED_P_36"
0.003933568591221426,"DTS,DTS_09"
0.0038949927686238125,"APQ_P,APQ_P_06"
0.0037993110892356884,"ESWAN,DMDD_1C"
0.003457644292833989,"CBCL,CBCL_39"
0.0028053115634986497,"SCARED_SR,SCARED_SR_38"
0.0024778672934371426,"CBCL,CBCL_82"
0.002284772908627302,"C3SR,C3SR_30"
0.0021910694436788605,"SympChck,CSC_28C"
0.0017407208370786495,"SDQ,SDQ_20"
0.0016413136605865726,"C3SR,C3SR_18"
0.0016100422810128594,"SCARED_SR,SCARED_SR_34"
0.0014596351311464207,"SRS,SRS_59"
0.0010957849146330306,"APQ_SR,APQ_SR_28"
0.0010777815593037978,"SDQ,SDQ_19"
0.0006591660901652396,"SympChck,CSC_21P"
0.0004021884271006634,"DTS,DTS_13"
0.00033870380285376685,"APQ_P,APQ_P_11"
0.0003151162879025954,"CBCL,CBCL_110"
-3.6551091863205034e-05,"CCSC,CCSC_39"
-0.00011421323466490502,"CCSC,CCSC_25"
-0.000509807804401922,"SympChck,CSC_17P"
-0.0005836403623191596,"ESWAN,Panic_B06"
-0.000740436960119084,"CBCL,CBCL_49"
-0.0010402034729773424,"CBCL,CBCL_36"
-0.0011547149968082378,"SympChck,CSC_18C"
-0.0015543136794500898,"CBCL,CBCL_40"
-0.0026928567591903607,"MFQ_P,MFQ_P_10"
-0.0035714230141895217,"ASSQ,ASSQ_02"
-0.0036657138692138738,"ASSQ,ASSQ_20"
-0.0040585974290639985,"SympChck,CSC_26P"
-0.004134489491955334,"SympChck,CSC_20P"
-0.004847867183591276,"SympChck,CSC_23P"
-0.00523582966286163,"CBCL,CBCL_56E"
-0.006321028825766146,"MFQ_P,MFQ_P_01"
-0.006711000085955895,"PreInt_DevHx,birthweight_lbs"
-0.007239069046855838,"MFQ_P,MFQ_P_17"
