coef,feature
1.4217391618364503,"NIH_Scores,NIH7_Pattern"
1.2606278020229982,"NIH_Scores,NIH7_Flanker"
1.1731001257489442,"Basic_Demos,Sex"
1.1682941049678917,"NIH_Scores,NIH7_Pattern_P"
1.1225358908225485,"NIH_Scores,NIH7_Card"
0.9284967510193168,"NIH_Scores,NIH7_List_P"
0.6932590189527224,"NIH_Scores,NIH7_Flanker_P"
0.6924035258392397,"NIH_Scores,NIH7_Card_P"
0.6388402344856583,"NIH_Scores,NIH7_List"
0.47140860667856166,"C3SR,C3SR_04"
0.38681908580709895,"SCARED_SR,SCARED_SR_11"
0.3536451675007832,"MFQ_P,MFQ_P_34"
0.344978026245601,"SDQ,SDQ_03"
0.33809705093680376,"ICU_P,ICU_P_22"
0.31734121197631543,"SCARED_P,SCARED_P_20"
0.298934348431032,"APQ_SR,APQ_SR_07A"
0.27863184923010803,"APQ_SR,APQ_SR_36"
0.2691490084426743,"RBS,RBS_33"
0.2690611248610306,"CBCL,CBCL_49"
0.2678698058306038,"APQ_SR,APQ_SR_40"
0.2648824882254347,"SCARED_SR,SCARED_SR_21"
0.25046529183777105,"ICU_P,ICU_P_13"
0.24847178391227973,"ESWAN,MDD_3A"
0.23623958259986047,"CCSC,CCSC_20"
0.22812669567803107,"APQ_SR,APQ_SR_33"
0.22716381596830043,"APQ_P,APQ_P_36"
0.2124654111836589,"C3SR,C3SR_23"
0.2119798683440783,"SCARED_P,SCARED_P_33"
0.2028530562352032,"APQ_SR,APQ_SR_22"
0.19462571781287905,"CCSC,CCSC_19"
0.19274022779388678,"SCARED_SR,SCARED_SR_31"
0.18480160577986235,"SCARED_SR,SCARED_SR_19"
0.1845964079053001,"CBCL,CBCL_44"
0.18414255642879207,"CBCL,CBCL_56F"
0.18020886806692368,"ASSQ,ASSQ_23"
0.1697762158214312,"APQ_P,APQ_P_06"
0.16634533034692417,"APQ_SR,APQ_SR_39"
0.16417146298550783,"SRS,SRS_01"
0.16223459693306644,"CCSC,CCSC_10"
0.15941780841719855,"RBS,RBS_43"
0.15454283027362423,"SDQ,SDQ_18"
0.15181990267765513,"SympChck,CSC_36C"
0.1469816559531139,"SCARED_SR,SCARED_SR_37"
0.14676829266269284,"ESWAN,MDD_1A"
0.1439287345823812,"SCARED_SR,SCARED_SR_06"
0.1348733230541676,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.12920526404347069,"ARI_P,ARI_P_01"
0.12342551623355731,"PSI,PSI_04"
0.12148896550736105,"SCARED_P,SCARED_P_22"
0.12130606693022286,"CBCL,CBCL_03"
0.1163077520489566,"CCSC,CCSC_15"
0.10979159869537933,"APQ_SR,APQ_SR_11A"
0.1096530662762523,"SCARED_SR,SCARED_SR_38"
0.10565714478165114,"CBCL,CBCL_47"
0.09421315255933622,"SCQ,SCQ_19"
0.09055449963227406,"SympChck,CSC_36P"
0.08891800830341014,"SympChck,CSC_55cC"
0.08658136769879411,"SRS,SRS_25"
0.08581790269190787,"SCQ,SCQ_26"
0.0833011140314887,"SWAN,SWAN_13"
0.08153629868786659,"C3SR,C3SR_22"
0.07910266796577956,"APQ_SR,APQ_SR_15"
0.0777935040124894,"ESWAN,DMDD_3C"
0.06745329509833763,"SympChck,CSC_01P"
0.06535115550278707,"APQ_P,APQ_P_24"
0.06394994812827046,"APQ_SR,APQ_SR_32"
0.06212669169208651,"SympChck,CSC_03P"
0.061913467953990636,"SympChck,CSC_30P"
0.060585818764856025,"SympChck,CSC_41P"
0.059618124131722884,"APQ_SR,APQ_SR_23"
0.05736494074561727,"PreInt_DevHx,hospital_dur_WAS_MISSING"
0.05680736409384862,"SCARED_P,SCARED_P_09"
0.05677530070040253,"ICU_P,ICU_P_06"
0.054358689250936225,"SDQ,SDQ_28_WAS_MISSING"
0.05421962018597994,"APQ_P,APQ_P_39"
0.05413712292510396,"CBCL,CBCL_110"
0.05069658110547091,"CBCL,CBCL_74"
0.04759113214364945,"Barratt,financialsupport"
0.04469372782965011,"SDQ,SDQ_29_a_WAS_MISSING"
0.04458520920100411,"ESWAN,DMDD_2A"
0.04227242546245488,"SCARED_P,SCARED_P_31"
0.03229824634202682,"ICU_P,ICU_P_21"
0.030598554593757366,"SRS,SRS_40"
0.02533657076839559,"SDQ,SDQ_13"
0.023262005005327893,"SCARED_P,SCARED_P_16"
0.022615826765467285,"ASSQ,ASSQ_12"
0.021736146883535725,"ESWAN,DMDD_2C"
0.020091708646984032,"CBCL,CBCL_73"
0.01995997163995637,"CBCL,CBCL_35"
0.01972057013223463,"CBCL,CBCL_92"
0.017562453269545048,"ESWAN,Panic_B10"
0.015390523628688028,"SympChck,CSC_04P"
0.015015534359031763,"SympChck,CSC_25P"
0.014030139321807309,"ESWAN,Panic_B02"
0.013863186119139202,"PreInt_DevHx,labor_dur_WAS_MISSING"
0.013279092412241109,"ESWAN,DMDD_4C"
0.01167903154471735,"ESWAN,MDD_9"
0.010867790314401089,"APQ_SR,APQ_SR_29"
0.010109788328052637,"SDQ,SDQ_29_d_WAS_MISSING"
0.008771691490966944,"ASSQ,ASSQ_13"
0.007770854317379017,"CBCL,CBCL_69"
0.0012119863495638687,"ICU_P,ICU_P_02"
-0.00012619776840392256,"SympChck,CSC_05C"
-0.0006705077163391476,"SympChck,CSC_38C"
-0.0021535210850451626,"RBS,RBS_44"
-0.002725228791491416,"CCSC,CCSC_37"
-0.005225846948771514,"PSI,PSI_19"
-0.007401063794928218,"ASSQ,ASSQ_22"
-0.011407000790247531,"SympChck,CSC_47P"
-0.016994837476641045,"SympChck,CSC_08P"
-0.018553508035448325,"CCSC,CCSC_12"
-0.019317177309854223,"APQ_SR,APQ_SR_28"
-0.019751389747705596,"DTS,DTS_06"
-0.020633315251981407,"SCQ,SCQ_40"
-0.02147912519479155,"SympChck,CSC_50P"
-0.021894061898577385,"ASSQ,ASSQ_03"
-0.022236416423811512,"PSI,PSI_09"
-0.02974122186136663,"SDQ,SDQ_04"
-0.030823469355695132,"SCARED_P,SCARED_P_17"
-0.031257928225387976,"CBCL,CBCL_21"
-0.03162053687070131,"SCQ,SCQ_25"
-0.03283102545595062,"SRS,SRS_11"
-0.03480372599514828,"APQ_P,APQ_P_26"
-0.037845174044604926,"SympChck,CSC_21P"
-0.041764652993277404,"PreInt_DevHx,m_birthage"
-0.042036622962894704,"ASSQ,ASSQ_09"
-0.04872203246302138,"APQ_P,APQ_P_03"
-0.05033018385808554,"SCQ,SCQ_22"
-0.05090438677933988,"RBS,RBS_13"
-0.05272919026957146,"APQ_P,APQ_P_32"
-0.053164822500455865,"APQ_P,APQ_P_29"
-0.05680678610491805,"ESWAN,MDD_8A"
-0.057107756314174286,"SympChck,CSC_32P"
-0.05909527029681887,"APQ_P,APQ_P_42"
-0.06480475625139033,"MFQ_P,MFQ_P_30"
-0.06928845307640943,"CBCL,CBCL_85"
-0.07008430819129008,"SympChck,CSC_34C"
-0.07392848163725846,"ASSQ,ASSQ_20"
-0.08460237812990405,"SWAN,SWAN_08"
-0.08636848866665187,"C3SR,C3SR_28"
-0.0881615681595387,"PhenX_Neighborhood,PhenX_NS_03"
-0.08968219141554205,"SDQ,SDQ_29_c"
-0.09436685921826106,"CBCL,CBCL_51"
-0.09737672591332695,"SCARED_P,SCARED_P_38"
-0.10785927429925805,"SCQ,SCQ_24"
-0.115003169453319,"SympChck,CSC_28P"
-0.11784822799116852,"SRS,SRS_28"
-0.12053715450811438,"C3SR,C3SR_14"
-0.12220615595910977,"APQ_SR,APQ_SR_06"
-0.12242993093151422,"SWAN,SWAN_04"
-0.13096367656162045,"APQ_P,APQ_P_27"
-0.1328404303789243,"SCQ,SCQ_05"
-0.13654806466410824,"C3SR,C3SR_03"
-0.13717898976344034,"SWAN,SWAN_09"
-0.13867361535207248,"SympChck,CSC_09P"
-0.1393510455910444,"SCQ,SCQ_03"
-0.14426221072595796,"C3SR,C3SR_18"
-0.14880427343529148,"CCSC,CCSC_55"
-0.15459173350387767,"APQ_SR,APQ_SR_11"
-0.15468298533376504,"SympChck,CSC_07C"
-0.16231255277300255,"SCQ,SCQ_32"
-0.17014305367618107,"CBCL,CBCL_90"
-0.1801707550762492,"CCSC,CCSC_26"
-0.1856001276444704,"SDQ,SDQ_27"
-0.19751031584596257,"CBCL,CBCL_06"
-0.19838795557262492,"C3SR,C3SR_39"
-0.21081834887093207,"ASSQ,ASSQ_01"
-0.21231955533164004,"SWAN,SWAN_05"
-0.22016184107596123,"C3SR,C3SR_32"
-0.22028338734864192,"C3SR,C3SR_09"
-0.2227073721723638,"PreInt_DevHx,skill_age_06"
-0.22311436334374551,"SRS,SRS_03"
-0.22680210116125,"RBS,RBS_22"
-0.2271111824004305,"SympChck,CSC_21C"
-0.2559800471480356,"CCSC,CCSC_43"
-0.2627250249170803,"CCSC,CCSC_28"
-0.2630685161395252,"PreInt_DevHx,temp_06"
-0.2699771305451349,"CBCL,CBCL_108"
-0.270980342939148,"SCQ,SCQ_20"
-0.2745902231509074,"SRS,SRS_65"
-0.2776526457696223,"APQ_P,APQ_P_40"
-0.2801431263502973,"C3SR,C3SR_38"
-0.29099483343222965,"SympChck,CSC_29P"
-0.3068763099708274,"PreInt_DevHx,temp_11"
-0.31037223972704636,"SCQ,SCQ_13"
-0.31544273429149283,"SRS,SRS_49"
-0.3217917823945405,"PreInt_DevHx,puberty"
-0.34500337268353903,"C3SR,C3SR_36"
-0.3608109501667843,"CCSC,CCSC_45"
-0.36222181244940416,"APQ_P,APQ_P_22"
-0.3870761737871346,"SympChck,CSC_34P"
-0.38874150384703454,"PSI,PSI_20"
-0.456327011701824,"CBCL,CBCL_80"
-0.4831214323720829,"SCQ,SCQ_39"
-0.6841284858783313,"SWAN,SWAN_06"
-0.8858450279167521,"Basic_Demos,Age"
-1.0676480048306018,"PSI,PSI_18"
