coef,feature
0.244,"CBCL,CBCL_23"
0.239,"PSI,PSI_33"
0.229,"SDQ,SDQ_07"
0.219,"CBCL,CBCL_28"
0.195,"SDQ,SDQ_29_a"
0.190,"ASSQ,ASSQ_19"
0.189,"PSI,PSI_26"
0.179,"ARI_P,ARI_P_07"
0.176,"SRS,SRS_64"
0.163,"CBCL,CBCL_39"
0.156,"CBCL,CBCL_22"
0.152,"ARI_P,ARI_P_05"
0.150,"ARI_P,ARI_P_02"
0.147,"SDQ,SDQ_12"
0.144,"ARI_P,ARI_P_01"
0.141,"PSI,PSI_28"
0.139,"PSI,PSI_35"
0.135,"ARI_P,ARI_P_06"
0.130,"CBCL,CBCL_02"
0.130,"ICU_P,ICU_P_12"
0.129,"PreInt_DevHx,temp_08"
0.127,"SWAN,SWAN_04"
0.123,"DTS,DTS_03"
0.122,"MFQ_P,MFQ_P_12"
0.121,"ASSQ,ASSQ_17"
0.121,"ESWAN,DMDD_10A"
0.119,"SCARED_P,SCARED_P_40"
0.119,"ICU_P,ICU_P_16"
0.118,"ICU_P,ICU_P_09"
0.118,"APQ_SR,APQ_SR_36"
0.117,"PSI,PSI_02"
0.117,"CBCL,CBCL_103"
0.116,"CBCL,CBCL_34"
0.114,"SympChck,CSC_43C"
0.113,"SDQ,SDQ_29_c"
0.112,"MFQ_P,MFQ_P_29"
0.112,"ESWAN,DMDD_2A"
0.111,"SDQ,SDQ_26"
0.110,"ESWAN,DMDD_10C"
0.109,"MFQ_P,MFQ_P_08"
0.109,"SRS,SRS_13"
0.109,"SWAN,SWAN_18"
0.108,"CBCL,CBCL_25"
0.108,"PSI,PSI_14"
0.107,"ASSQ,ASSQ_08"
0.107,"SDQ,SDQ_13"
0.106,"SRS,SRS_18"
0.105,"PSI,PSI_19"
0.105,"APQ_P,APQ_P_12"
0.104,"ICU_P,ICU_P_02"
0.103,"CBCL,CBCL_16"
0.102,"MFQ_P,MFQ_P_31"
0.102,"SRS,SRS_54"
0.101,"ICU_P,ICU_P_20"
0.100,"SWAN,SWAN_09"
0.099,"CBCL,CBCL_111"
0.099,"CBCL,CBCL_41"
0.098,"ASSQ,ASSQ_18"
0.098,"SCQ,SCQ_31"
0.097,"ESWAN,MDD_7"
0.097,"PSI,PSI_36"
0.097,"SCARED_P,SCARED_P_39"
0.096,"CBCL,CBCL_20"
0.095,"SDQ,SDQ_30"
0.093,"SRS,SRS_36"
0.093,"ARI_P,ARI_P_04"
0.093,"ICU_P,ICU_P_15"
0.091,"SDQ,SDQ_29_d"
0.091,"SCARED_P,SCARED_P_06"
0.090,"ESWAN,DMDD_7A"
0.090,"CBCL,CBCL_05"
0.090,"CBCL,CBCL_109"
0.089,"SympChck,CSC_23C"
0.089,"SCARED_P,SCARED_P_20"
0.089,"ESWAN,DMDD_1A"
0.088,"PSI,PSI_18"
0.088,"ESWAN,DMDD_5A"
0.088,"ASSQ,ASSQ_27"
0.087,"ESWAN,Panic_B08"
0.087,"SympChck,CSC_54C"
0.086,"ICU_P,ICU_P_22"
0.086,"SWAN,SWAN_05"
0.084,"SCARED_P,SCARED_P_14"
0.084,"MFQ_P,MFQ_P_28"
0.083,"CBCL,CBCL_61"
0.082,"ESWAN,Panic_A02A"
0.082,"ASSQ,ASSQ_22"
0.081,"CBCL,CBCL_03"
0.081,"CBCL,CBCL_37"
0.081,"SWAN,SWAN_15"
0.079,"PSI,PSI_34"
0.079,"SRS,SRS_22"
0.079,"MFQ_P,MFQ_P_01"
0.079,"CBCL,CBCL_45"
0.079,"SympChck,CSC_03C"
0.078,"CBCL,CBCL_33"
0.078,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
0.078,"SCARED_P,SCARED_P_27"
0.078,"ESWAN,DMDD_4A"
0.076,"SympChck,CSC_40C"
0.076,"SWAN,SWAN_01"
0.075,"SCARED_P,SCARED_P_07"
0.075,"ICU_P,ICU_P_01"
0.075,"SympChck,CSC_26C"
0.074,"CBCL,CBCL_04"
0.074,"PSI,PSI_30"
0.074,"ICU_P,ICU_P_11"
0.073,"C3SR,C3SR_08"
0.073,"PSI,PSI_23"
0.073,"CBCL,CBCL_68"
0.072,"ESWAN,Panic_A01A"
0.072,"SRS,SRS_23"
0.072,"SympChck,CSC_50C"
0.072,"SRS,SRS_14"
0.072,"NIH_Scores,NIH7_Card"
0.072,"CBCL,CBCL_56H"
0.071,"MFQ_P,MFQ_P_19"
0.071,"C3SR,C3SR_04"
0.071,"SDQ,SDQ_19"
0.071,"CBCL,CBCL_86"
0.070,"SRS,SRS_61"
0.070,"NIH_Scores,NIH7_List_P"
0.070,"ASSQ,ASSQ_09"
0.070,"CBCL,CBCL_38"
0.070,"MFQ_P,MFQ_P_16"
0.069,"SRS,SRS_47"
0.069,"SRS,SRS_63"
0.068,"MFQ_P,MFQ_P_30"
0.068,"SympChck,CSC_55bP"
0.067,"PSI,PSI_32"
0.067,"SympChck,CSC_13C"
0.067,"CBCL,CBCL_97"
0.067,"CBCL,CBCL_27"
0.066,"APQ_SR,APQ_SR_31"
0.066,"CBCL,CBCL_30"
0.066,"CBCL,CBCL_50"
0.065,"SRS,SRS_04"
0.064,"APQ_P,APQ_P_42"
0.064,"SCARED_P,SCARED_P_21"
0.064,"PreInt_DevHx,dev_normal"
0.063,"SRS,SRS_01"
0.063,"PSI,PSI_29"
0.063,"SDQ,SDQ_29_b"
0.063,"RBS,RBS_30"
0.063,"PSI,PSI_17"
0.062,"PSI,PSI_27"
0.062,"C3SR,C3SR_15"
0.062,"CBCL,CBCL_102"
0.062,"CBCL,CBCL_104"
0.062,"ESWAN,MDD_2A"
0.060,"SympChck,CSC_08C"
0.060,"SWAN,SWAN_07"
0.059,"APQ_SR,APQ_SR_32"
0.059,"SympChck,CSC_37C"
0.059,"SCARED_P,SCARED_P_36"
0.059,"ICU_P,ICU_P_23"
0.059,"SCARED_P,SCARED_P_16"
0.058,"PreInt_DevHx,temp_09"
0.058,"PSI,PSI_21"
0.058,"SRS,SRS_37"
0.057,"SCQ,SCQ_21"
0.057,"ASSQ,ASSQ_07"
0.057,"RBS,RBS_14"
0.056,"ICU_P,ICU_P_21"
0.056,"CBCL,CBCL_31"
0.056,"CBCL,CBCL_94"
0.055,"SCARED_P,SCARED_P_12"
0.055,"CBCL,CBCL_48"
0.055,"APQ_P,APQ_P_16"
0.054,"ESWAN,MDD_8A"
0.054,"SRS,SRS_39"
0.054,"ICU_P,ICU_P_17"
0.054,"CBCL,CBCL_107"
0.054,"PSI,PSI_07"
0.053,"SCQ,SCQ_17"
0.052,"ASSQ,ASSQ_15"
0.052,"APQ_SR,APQ_SR_25"
0.052,"SympChck,CSC_39C"
0.052,"SWAN,SWAN_11"
0.051,"SympChck,CSC_47P"
0.051,"ASSQ,ASSQ_16"
0.051,"SCARED_P,SCARED_P_15"
0.050,"SCQ,SCQ_28"
0.050,"ICU_P,ICU_P_05"
0.050,"ESWAN,SocAnx_05"
0.050,"PreInt_DevHx,temp_06"
0.050,"ASSQ,ASSQ_20"
0.050,"PSI,PSI_15"
0.049,"DTS,DTS_11"
0.049,"SAS,SAS_04"
0.049,"RBS,RBS_18"
0.049,"NIH_Scores,NIH7_Card_P"
0.048,"DTS,DTS_02"
0.048,"CBCL,CBCL_56D"
0.048,"APQ_P,APQ_P_26"
0.047,"SRS,SRS_11"
0.047,"CBCL,CBCL_58"
0.047,"MFQ_P,MFQ_P_15"
0.047,"SDQ,SDQ_24"
0.047,"MFQ_P,MFQ_P_11"
0.047,"MFQ_P,MFQ_P_22"
0.046,"SCQ,SCQ_38"
0.046,"CBCL,CBCL_106"
0.046,"SCARED_P,SCARED_P_13"
0.046,"APQ_P,APQ_P_32"
0.045,"ASSQ,ASSQ_25"
0.045,"SDQ,SDQ_11"
0.045,"CBCL,CBCL_47"
0.045,"SCQ,SCQ_15"
0.044,"SCARED_P,SCARED_P_05"
0.044,"ESWAN,Panic_B12"
0.044,"ICU_P,ICU_P_19"
0.043,"CBCL,CBCL_21"
0.043,"ESWAN,MDD_1B"
0.043,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.043,"SDQ,SDQ_23"
0.042,"SWAN,SWAN_06"
0.042,"PreInt_DevHx,complications"
0.041,"SympChck,CSC_07P"
0.040,"SDQ,SDQ_28"
0.040,"APQ_P,APQ_P_29"
0.040,"CBCL,CBCL_72"
0.040,"ASSQ,ASSQ_24"
0.040,"CBCL,CBCL_93"
0.039,"SDQ,SDQ_25"
0.039,"SDQ,SDQ_02"
0.039,"NIH_Scores,NIH7_List"
0.038,"SCARED_P,SCARED_P_26"
0.038,"APQ_SR,APQ_SR_11"
0.037,"SympChck,CSC_12P"
0.037,"ESWAN,Panic_A02B"
0.037,"PreInt_DevHx,birthweight_lbs"
0.036,"SWAN,SWAN_02"
0.036,"ESWAN,DMDD_7C"
0.036,"DTS,DTS_09"
0.036,"CBCL,CBCL_95"
0.036,"CBCL,CBCL_67"
0.036,"SympChck,CSC_32C"
0.036,"SympChck,CSC_42P"
0.036,"CBCL,CBCL_15"
0.035,"SCARED_P,SCARED_P_30"
0.035,"SRS,SRS_57"
0.035,"RBS,RBS_07"
0.035,"SympChck,CSC_12C"
0.035,"RBS,RBS_37"
0.035,"CBCL,CBCL_76"
0.034,"RBS,RBS_08"
0.034,"SympChck,CSC_39P"
0.034,"ESWAN,DMDD_6A"
0.034,"CBCL,CBCL_62"
0.033,"ESWAN,DMDD_9A"
0.033,"SWAN,SWAN_08"
0.033,"CBCL,CBCL_35"
0.033,"MFQ_P,MFQ_P_05"
0.032,"C3SR,C3SR_36"
0.031,"ICU_P,ICU_P_13"
0.031,"MFQ_P,MFQ_P_04"
0.031,"CBCL,CBCL_42"
0.031,"ASSQ,ASSQ_26"
0.031,"SWAN,SWAN_10"
0.031,"SympChck,CSC_44C"
0.030,"PreInt_DevHx,newborn_problems"
0.029,"SympChck,CSC_55cC"
0.029,"SympChck,CSC_10P"
0.029,"SCARED_P,SCARED_P_24"
0.028,"SRS,SRS_30"
0.028,"ICU_P,ICU_P_03"
0.028,"CBCL,CBCL_56B"
0.027,"SDQ,SDQ_05"
0.027,"SRS,SRS_59"
0.027,"SCQ,SCQ_06"
0.027,"SRS,SRS_53"
0.026,"SRS,SRS_24"
0.026,"CBCL,CBCL_40"
0.026,"SRS,SRS_56"
0.026,"ICU_P,ICU_P_04"
0.025,"SCQ,SCQ_35"
0.025,"DTS,DTS_07"
0.025,"SCQ,SCQ_11"
0.025,"APQ_SR,APQ_SR_04"
0.025,"SWAN,SWAN_16"
0.024,"CBCL,CBCL_77"
0.024,"CBCL,CBCL_70"
0.024,"Barratt,financialsupport"
0.023,"SDQ,SDQ_27"
0.023,"ARI_P,ARI_P_03"
0.023,"PreInt_DevHx,temp_01"
0.023,"SympChck,CSC_25C"
0.023,"PreInt_DevHx,birthweight_lbs_WAS_MISSING"
0.023,"RBS,RBS_04"
0.023,"RBS,RBS_01"
0.022,"MFQ_P,MFQ_P_20"
0.022,"ASSQ,ASSQ_12"
0.022,"MFQ_P,MFQ_P_34"
0.022,"DTS,DTS_08"
0.022,"RBS,RBS_29"
0.022,"RBS,RBS_34"
0.022,"SCQ,SCQ_16"
0.022,"DTS,DTS_01"
0.021,"SympChck,CSC_45P"
0.021,"ESWAN,Panic_A01B"
0.021,"ESWAN,SocAnx_01"
0.021,"SDQ,SDQ_22"
0.021,"APQ_SR,APQ_SR_26A"
0.021,"CBCL,CBCL_43"
0.021,"SympChck,CSC_03P"
0.021,"PreInt_DevHx,growth_concerns"
0.020,"CBCL,CBCL_24"
0.020,"SCARED_P,SCARED_P_01"
0.019,"DTS,DTS_12"
0.019,"PreInt_DevHx,premature"
0.019,"SRS,SRS_42"
0.019,"ESWAN,MDD_8B"
0.019,"SympChck,CSC_55bC"
0.019,"CBCL,CBCL_18"
0.018,"APQ_SR,APQ_SR_26"
0.018,"SCARED_P,SCARED_P_33"
0.018,"CBCL,CBCL_44"
0.018,"C3SR,C3SR_12"
0.018,"ESWAN,DMDD_8A"
0.018,"MFQ_P,MFQ_P_17"
0.017,"SympChck,CSC_44P"
0.017,"RBS,RBS_03"
0.017,"CBCL,CBCL_79"
0.017,"C3SR,C3SR_05"
0.017,"DTS,DTS_04"
0.016,"SRS,SRS_29"
0.016,"SRS,SRS_03"
0.016,"SWAN,SWAN_17"
0.016,"SCARED_P,SCARED_P_18"
0.016,"RBS,RBS_12"
0.015,"SRS,SRS_31"
0.015,"SympChck,CSC_37P"
0.015,"PSI,PSI_16"
0.015,"SympChck,CSC_25P"
0.015,"PreInt_DevHx,premature_WAS_MISSING"
0.015,"ESWAN,DMDD_6C"
0.015,"PSI,PSI_01"
0.015,"APQ_P,APQ_P_05"
0.015,"CBCL,CBCL_65"
0.015,"RBS,RBS_41"
0.015,"PSI,PSI_20"
0.015,"SympChck,CSC_02C"
0.014,"SCQ,SCQ_19"
0.014,"PreInt_DevHx,labor_dur_WAS_MISSING"
0.013,"MFQ_P,MFQ_P_10"
0.013,"SympChck,CSC_17P"
0.013,"CBCL,CBCL_71"
0.013,"SCARED_P,SCARED_P_11"
0.013,"SRS,SRS_65"
0.012,"SympChck,CSC_07C"
0.012,"APQ_P,APQ_P_08"
0.012,"SympChck,CSC_50P"
0.012,"APQ_P,APQ_P_34"
0.012,"SRS,SRS_27"
0.012,"PreInt_DevHx,skill_age_06"
0.012,"CBCL,CBCL_108"
0.012,"SWAN,SWAN_03"
0.012,"ESWAN,MDD_2B"
0.012,"C3SR,C3SR_17"
0.011,"SDQ,SDQ_10"
0.011,"SympChck,CSC_05P"
0.011,"SCQ,SCQ_20"
0.011,"ESWAN,MDD_1A"
0.011,"SRS,SRS_44"
0.010,"SDQ,SDQ_21"
0.010,"SCARED_P,SCARED_P_17"
0.010,"APQ_SR,APQ_SR_42"
0.009,"SRS,SRS_10"
0.009,"SympChck,CSC_45C"
0.009,"CBCL,CBCL_110"
0.008,"ESWAN,SocAnx_02"
0.008,"SCQ,SCQ_02"
0.008,"CBCL,CBCL_82"
0.008,"ASSQ,ASSQ_13"
0.007,"C3SR,C3SR_26"
0.007,"CBCL,CBCL_10"
0.007,"SympChck,CSC_36P"
0.007,"PSI,PSI_05"
0.007,"SCQ,SCQ_29"
0.007,"NIH_Scores,NIH7_Pattern_P"
0.007,"C3SR,C3SR_14"
0.007,"SCARED_P,SCARED_P_10"
0.006,"ESWAN,DMDD_4C"
0.006,"PreInt_DevHx,hospital_dur_WAS_MISSING"
0.006,"APQ_SR,APQ_SR_07"
0.006,"ESWAN,Panic_A03B"
0.005,"RBS,RBS_02"
0.005,"CBCL,CBCL_84"
0.005,"RBS,RBS_28"
0.005,"ESWAN,SocAnx_03"
0.005,"ESWAN,Panic_B13"
0.005,"CBCL,CBCL_98"
0.005,"SAS,SAS_07"
0.005,"CBCL,CBCL_74"
0.005,"CBCL,CBCL_92"
0.005,"MFQ_P,MFQ_P_13"
0.004,"SympChck,CSC_36C"
0.004,"RBS,RBS_09"
0.004,"APQ_SR,APQ_SR_20"
0.003,"SympChck,CSC_26P"
0.003,"C3SR,C3SR_34"
0.003,"SCQ,SCQ_40"
0.002,"SCARED_P,SCARED_P_38"
0.002,"PSI,PSI_25"
0.002,"C3SR,C3SR_21"
0.002,"SympChck,CSC_41C"
0.002,"CBCL,CBCL_88"
0.001,"CBCL,CBCL_09"
0.001,"APQ_P,APQ_P_22"
0.001,"C3SR,C3SR_13"
0.001,"RBS,RBS_17"
0.001,"SCARED_P,SCARED_P_28"
0.001,"SWAN,SWAN_14"
0.001,"RBS,RBS_42"
0.000,"APQ_P,APQ_P_15"
-0.000,"ESWAN,SocAnx_04A"
-0.000,"APQ_P,APQ_P_38"
-0.001,"MFQ_P,MFQ_P_26"
-0.001,"SCARED_P,SCARED_P_19"
-0.001,"SympChck,CSC_11P"
-0.001,"RBS,RBS_36"
-0.001,"CBCL,CBCL_56E"
-0.001,"SAS,SAS_09"
-0.001,"PreInt_DevHx,preg_dur"
-0.002,"ESWAN,Panic_B02"
-0.002,"SDQ,SDQ_03"
-0.002,"SDQ,SDQ_29_c_WAS_MISSING"
-0.002,"ESWAN,Panic_B01"
-0.003,"APQ_SR,APQ_SR_06"
-0.003,"SympChck,CSC_31C"
-0.003,"SympChck,CSC_18P"
-0.004,"ESWAN,DMDD_7B"
-0.004,"RBS,RBS_44"
-0.004,"ESWAN,DMDD_2B"
-0.004,"APQ_SR,APQ_SR_15"
-0.005,"CBCL,CBCL_73"
-0.005,"SympChck,CSC_16P"
-0.005,"SCQ,SCQ_09"
-0.005,"APQ_SR,APQ_SR_37"
-0.005,"CBCL,CBCL_29"
-0.005,"SAS,SAS_03"
-0.006,"APQ_SR,APQ_SR_17"
-0.006,"SAS,SAS_05"
-0.006,"SympChck,CSC_21C"
-0.006,"CBCL,CBCL_07"
-0.006,"PreInt_DevHx,hospital_dur"
-0.006,"SCARED_P,SCARED_P_04"
-0.006,"PreInt_DevHx,temp_11"
-0.006,"APQ_SR,APQ_SR_27"
-0.007,"APQ_SR,APQ_SR_21"
-0.007,"MFQ_P,MFQ_P_21"
-0.007,"APQ_P,APQ_P_14"
-0.007,"SympChck,CSC_29C"
-0.008,"CBCL,CBCL_96"
-0.008,"MFQ_P,MFQ_P_06"
-0.008,"SDQ,SDQ_09"
-0.009,"SRS,SRS_25"
-0.009,"SympChck,CSC_27P"
-0.009,"SRS,SRS_38"
-0.009,"APQ_SR,APQ_SR_14A_WAS_MISSING"
-0.009,"SCARED_P,SCARED_P_34"
-0.009,"APQ_SR,APQ_SR_04A_WAS_MISSING"
-0.010,"SWAN,SWAN_12"
-0.010,"SDQ,SDQ_27_WAS_MISSING"
-0.010,"APQ_SR,APQ_SR_09A"
-0.010,"SympChck,CSC_31P"
-0.010,"APQ_SR,APQ_SR_22"
-0.010,"APQ_P,APQ_P_31"
-0.011,"PreInt_DevHx,puberty"
-0.011,"RBS,RBS_40"
-0.011,"SympChck,CSC_46P"
-0.011,"PreInt_DevHx,labor_dur"
-0.011,"SCARED_P,SCARED_P_03"
-0.011,"SympChck,CSC_28P"
-0.012,"SCQ,SCQ_07"
-0.012,"APQ_SR,APQ_SR_38"
-0.012,"APQ_SR,APQ_SR_04A"
-0.012,"SympChck,CSC_19C"
-0.012,"ICU_P,ICU_P_18"
-0.012,"SAS,SAS_06"
-0.012,"SAS,SAS_10"
-0.013,"APQ_SR,APQ_SR_11A_WAS_MISSING"
-0.013,"APQ_SR,APQ_SR_07A_WAS_MISSING"
-0.013,"APQ_P,APQ_P_21"
-0.013,"APQ_SR,APQ_SR_09A_WAS_MISSING"
-0.015,"CBCL,CBCL_69"
-0.015,"SRS,SRS_19"
-0.015,"APQ_P,APQ_P_35"
-0.015,"SWAN,SWAN_13"
-0.016,"RBS,RBS_20"
-0.016,"SCARED_P,SCARED_P_22"
-0.016,"C3SR,C3SR_16"
-0.017,"APQ_SR,APQ_SR_26A_WAS_MISSING"
-0.017,"APQ_SR,APQ_SR_15A_WAS_MISSING"
-0.017,"SympChck,CSC_51C"
-0.018,"ESWAN,MDD_9"
-0.018,"SRS,SRS_07"
-0.018,"ESWAN,MDD_4"
-0.018,"CBCL,CBCL_81"
-0.018,"MFQ_P,MFQ_P_33"
-0.018,"SCARED_P,SCARED_P_09"
-0.019,"ASSQ,ASSQ_05"
-0.019,"APQ_SR,APQ_SR_10"
-0.019,"SCQ,SCQ_23"
-0.020,"PhenX_Neighborhood,PhenX_NS_02"
-0.020,"SympChck,CSC_53C"
-0.020,"SRS,SRS_52"
-0.021,"CBCL,CBCL_12"
-0.021,"MFQ_P,MFQ_P_03"
-0.022,"PreInt_DevHx,temp_05"
-0.022,"SympChck,CSC_14C"
