coef,feature
0.499,"APQ_SR,APQ_SR_39"
0.470,"C3SR,C3SR_17"
0.469,"C3SR,C3SR_05"
0.438,"C3SR,C3SR_27"
0.374,"C3SR,C3SR_35"
0.358,"C3SR,C3SR_01"
0.341,"C3SR,C3SR_18"
0.321,"C3SR,C3SR_37"
0.306,"C3SR,C3SR_02"
0.300,"C3SR,C3SR_31"
0.292,"C3SR,C3SR_08"
0.291,"C3SR,C3SR_29"
0.283,"APQ_SR,APQ_SR_36"
0.223,"APQ_SR,APQ_SR_22"
0.210,"CBCL,CBCL_86"
0.207,"RBS,RBS_12"
0.196,"C3SR,C3SR_39"
0.189,"C3SR,C3SR_16"
0.176,"CBCL,CBCL_99"
0.171,"C3SR,C3SR_26"
0.169,"C3SR,C3SR_14"
0.160,"MFQ_P,MFQ_P_15"
0.159,"APQ_SR,APQ_SR_33"
0.159,"SympChck,CSC_26C"
0.149,"APQ_SR,APQ_SR_35"
0.127,"SRS,SRS_38"
0.125,"SympChck,CSC_03C"
0.112,"APQ_P,APQ_P_11"
0.110,"C3SR,C3SR_34"
0.105,"SCARED_P,SCARED_P_21"
0.087,"MFQ_P,MFQ_P_29"
0.086,"APQ_SR,APQ_SR_31"
0.085,"ESWAN,MDD_2B"
0.083,"SDQ,SDQ_13"
0.081,"CBCL,CBCL_47"
0.079,"SympChck,CSC_02C"
0.078,"C3SR,C3SR_03"
0.072,"MFQ_P,MFQ_P_08"
0.071,"ICU_P,ICU_P_16"
0.071,"NIH_Scores,NIH7_Card"
0.062,"APQ_P,APQ_P_05"
0.061,"SympChck,CSC_11P"
0.059,"NIH_Scores,NIH7_Card_P"
0.057,"C3SR,C3SR_10"
0.057,"SDQ,SDQ_16"
0.048,"SCARED_P,SCARED_P_37"
0.048,"SRS,SRS_30"
0.046,"ESWAN,MDD_2A"
0.043,"SCARED_P,SCARED_P_39"
0.041,"RBS,RBS_02"
0.039,"APQ_SR,APQ_SR_34"
0.029,"C3SR,C3SR_38"
0.023,"APQ_SR,APQ_SR_41"
0.021,"SCARED_P,SCARED_P_36"
0.019,"SWAN,SWAN_15"
0.016,"RBS,RBS_37"
0.015,"SympChck,CSC_31P"
0.015,"RBS,RBS_08"
0.013,"CBCL,CBCL_65"
0.012,"MFQ_P,MFQ_P_09"
0.011,"ASSQ,ASSQ_16"
0.011,"SCARED_P,SCARED_P_05"
0.010,"MFQ_P,MFQ_P_34"
0.009,"APQ_SR,APQ_SR_37"
0.007,"APQ_SR,APQ_SR_03"
0.007,"ICU_P,ICU_P_17"
0.007,"C3SR,C3SR_04"
0.006,"ASSQ,ASSQ_15"
0.004,"ESWAN,DMDD_6C"
0.002,"APQ_SR,APQ_SR_12"
-0.004,"APQ_SR,APQ_SR_02"
-0.008,"ASSQ,ASSQ_04"
-0.010,"ICU_P,ICU_P_21"
-0.012,"SCARED_P,SCARED_P_22"
-0.013,"CBCL,CBCL_08"
-0.037,"SympChck,CSC_33C"
-0.042,"RBS,RBS_13"
-0.046,"CBCL,CBCL_81"
-0.047,"APQ_SR,APQ_SR_01A"
-0.050,"RBS,RBS_44"
-0.050,"APQ_SR,APQ_SR_07"
-0.070,"PreInt_DevHx,temp_09"
-0.071,"APQ_P,APQ_P_42"
-0.074,"APQ_P,APQ_P_35"
-0.123,"C3SR,C3SR_20"
-0.191,"ICU_P,ICU_P_03"
-0.206,"C3SR,C3SR_21"
-0.292,"CBCL,CBCL_83"
-0.673,"C3SR,C3SR_25"
