coef,feature
1.648,"Basic_Demos,Age"
1.126,"APQ_P,APQ_P_06"
0.734,"RBS,RBS_40"
0.723,"APQ_SR,APQ_SR_32"
0.665,"PSI,PSI_14"
0.591,"CBCL,CBCL_24"
0.578,"APQ_P,APQ_P_32"
0.550,"CBCL,CBCL_69"
0.505,"APQ_P,APQ_P_12"
0.467,"MFQ_P,MFQ_P_12"
0.423,"MFQ_P,MFQ_P_34"
0.421,"PSI,PSI_33"
0.413,"APQ_P,APQ_P_22"
0.386,"APQ_P,APQ_P_08"
0.380,"CBCL,CBCL_05"
0.378,"SympChck,CSC_03C"
0.369,"CBCL,CBCL_26"
0.366,"RBS,RBS_41"
0.362,"ICU_P,ICU_P_20"
0.349,"SympChck,CSC_08C"
0.337,"SCQ,SCQ_35"
0.317,"PSI,PSI_32"
0.317,"CBCL,CBCL_56C"
0.308,"MFQ_P,MFQ_P_11"
0.297,"CBCL,CBCL_28"
0.283,"APQ_P,APQ_P_36"
0.275,"ICU_P,ICU_P_06"
0.274,"APQ_P,APQ_P_19"
0.269,"MFQ_P,MFQ_P_01"
0.259,"MFQ_P,MFQ_P_20"
0.257,"SRS,SRS_39"
0.252,"PSI,PSI_27"
0.252,"CBCL,CBCL_111"
0.242,"ESWAN,DMDD_6A"
0.236,"APQ_P,APQ_P_24"
0.226,"SympChck,CSC_40C"
0.215,"ARI_P,ARI_P_05"
0.210,"ESWAN,MDD_2A"
0.203,"MFQ_P,MFQ_P_33"
0.200,"PSI,PSI_35"
0.200,"CBCL,CBCL_22"
0.195,"PSI,PSI_29"
0.181,"PSI,PSI_34"
0.169,"ICU_P,ICU_P_15"
0.161,"CBCL,CBCL_56A"
0.161,"CBCL,CBCL_88"
0.159,"CBCL,CBCL_03"
0.158,"APQ_SR,APQ_SR_36"
0.157,"CBCL,CBCL_90"
0.154,"SDQ,SDQ_06"
0.144,"ESWAN,MDD_2B"
0.139,"APQ_SR,APQ_SR_21"
0.138,"SDQ,SDQ_13"
0.124,"ICU_P,ICU_P_22"
0.109,"RBS,RBS_10"
0.091,"APQ_P,APQ_P_42"
0.079,"CBCL,CBCL_65"
0.074,"MFQ_P,MFQ_P_27"
0.068,"CBCL,CBCL_09"
0.066,"PSI,PSI_19"
0.061,"SCQ,SCQ_31"
0.060,"ARI_P,ARI_P_06"
0.056,"APQ_P,APQ_P_31"
0.055,"SRS,SRS_32"
0.047,"APQ_P,APQ_P_30"
0.044,"PSI,PSI_15"
0.042,"ESWAN,DMDD_8A"
0.040,"SympChck,CSC_03P"
0.037,"CBCL,CBCL_42"
0.036,"RBS,RBS_31"
0.034,"CBCL,CBCL_31"
0.029,"APQ_P,APQ_P_10"
0.022,"SympChck,CSC_42C"
0.020,"PSI,PSI_13"
0.014,"ESWAN,DMDD_1A"
0.001,"PSI,PSI_03"
-0.005,"CBCL,CBCL_64"
-0.062,"CBCL,CBCL_108"
-0.104,"SCQ,SCQ_19"
-0.128,"SDQ,SDQ_20"
-0.292,"Basic_Demos,Sex"
-0.347,"C3SR,C3SR_36"
-0.350,"APQ_P,APQ_P_11"
-0.381,"APQ_SR,APQ_SR_41"
