coef,feature
0.524,"ASSQ,ASSQ_13"
0.485,"CBCL,CBCL_85"
0.436,"ESWAN,SocAnx_05"
0.431,"SympChck,CSC_30C"
0.409,"SRS,SRS_36"
0.409,"SDQ,SDQ_29_b"
0.406,"RBS,RBS_37"
0.392,"CBCL,CBCL_67"
0.388,"SRS,SRS_33"
0.381,"SRS,SRS_32"
0.371,"SRS,SRS_01"
0.364,"MFQ_P,MFQ_P_06"
0.351,"CBCL,CBCL_04"
0.345,"SRS,SRS_14"
0.340,"CBCL,CBCL_38"
0.333,"SWAN,SWAN_02"
0.325,"SRS,SRS_09"
0.324,"SRS,SRS_49"
0.317,"SRS,SRS_43"
0.315,"SRS,SRS_44"
0.310,"PSI,PSI_20"
0.298,"CBCL,CBCL_24"
0.287,"RBS,RBS_41"
0.267,"PSI,PSI_16"
0.260,"MFQ_P,MFQ_P_13"
0.258,"SRS,SRS_57"
0.249,"MFQ_P,MFQ_P_05"
0.242,"SDQ,SDQ_29_d"
0.241,"CBCL,CBCL_08"
0.239,"CBCL,CBCL_71"
0.229,"PSI,PSI_26"
0.225,"SRS,SRS_03"
0.222,"SDQ,SDQ_19"
0.219,"SCARED_P,SCARED_P_08"
0.215,"SRS,SRS_29"
0.214,"SympChck,CSC_09C"
0.209,"MFQ_P,MFQ_P_21"
0.207,"ASSQ,ASSQ_18"
0.207,"SRS,SRS_30"
0.206,"SDQ,SDQ_29_c"
0.205,"CBCL,CBCL_102"
0.205,"CBCL,CBCL_31"
0.204,"RBS,RBS_20"
0.204,"SCARED_P,SCARED_P_36"
0.201,"PSI,PSI_31"
0.200,"SympChck,CSC_13P"
0.200,"PSI,PSI_03"
0.198,"SympChck,CSC_12C"
0.197,"ICU_P,ICU_P_20"
0.197,"ASSQ,ASSQ_05"
0.190,"SDQ,SDQ_28"
0.179,"APQ_P,APQ_P_15"
0.178,"SympChck,CSC_19C"
0.178,"SympChck,CSC_21P"
0.177,"SDQ,SDQ_24"
0.174,"SRS,SRS_10"
0.173,"SympChck,CSC_31C"
0.173,"SDQ,SDQ_15"
0.168,"SCQ,SCQ_37"
0.166,"ICU_P,ICU_P_07"
0.166,"SDQ,SDQ_26"
0.165,"CBCL,CBCL_29"
0.162,"PSI,PSI_28"
0.159,"SWAN,SWAN_01"
0.155,"RBS,RBS_31"
0.153,"SympChck,CSC_55iP"
0.151,"ESWAN,MDD_8A"
0.151,"SWAN,SWAN_04"
0.146,"ICU_P,ICU_P_17"
0.146,"CBCL,CBCL_52"
0.146,"SympChck,CSC_55iC"
0.144,"PreInt_DevHx,lost_skills"
0.144,"SympChck,CSC_33C"
0.144,"SympChck,CSC_01C"
0.143,"CBCL,CBCL_13"
0.134,"MFQ_P,MFQ_P_26"
0.133,"RBS,RBS_34"
0.133,"SympChck,CSC_10C"
0.127,"SCARED_P,SCARED_P_26"
0.126,"ICU_P,ICU_P_02"
0.126,"APQ_P,APQ_P_26"
0.125,"SCARED_P,SCARED_P_15"
0.124,"SRS,SRS_37"
0.123,"ICU_P,ICU_P_11"
0.122,"SDQ,SDQ_14"
0.119,"SDQ,SDQ_25"
0.112,"SCQ,SCQ_20"
0.109,"SRS,SRS_22"
0.105,"CBCL,CBCL_41"
0.105,"SRS,SRS_41"
0.103,"CBCL,CBCL_83"
0.100,"SympChck,CSC_30P"
0.100,"MFQ_P,MFQ_P_03"
0.096,"PreInt_DevHx,growth_concerns"
0.095,"SRS,SRS_34"
0.094,"ESWAN,DMDD_7C"
0.092,"APQ_SR,APQ_SR_12"
0.090,"ESWAN,DMDD_5C"
0.089,"SympChck,CSC_21C"
0.088,"CBCL,CBCL_06"
0.088,"SDQ,SDQ_29_a"
0.086,"SRS,SRS_63"
0.085,"C3SR,C3SR_39"
0.084,"SRS,SRS_56"
0.082,"PSI,PSI_33"
0.082,"PreInt_DevHx,skill_age_06"
0.081,"SRS,SRS_24"
0.081,"SCQ,SCQ_18"
0.080,"APQ_SR,APQ_SR_13"
0.077,"SCQ,SCQ_05"
0.077,"C3SR,C3SR_04"
0.076,"SympChck,CSC_34P"
0.073,"PreInt_DevHx,hospital_dur"
0.070,"SCQ,SCQ_16"
0.070,"CBCL,CBCL_16"
0.067,"ASSQ,ASSQ_27"
0.065,"SRS,SRS_58"
0.064,"PSI,PSI_02"
0.061,"APQ_SR,APQ_SR_15"
0.061,"C3SR,C3SR_28"
0.059,"ASSQ,ASSQ_25"
0.058,"CBCL,CBCL_22"
0.057,"APQ_SR,APQ_SR_16"
0.057,"SRS,SRS_64"
0.055,"SRS,SRS_07"
0.054,"SWAN,SWAN_07"
0.053,"RBS,RBS_01"
0.052,"PSI,PSI_15"
0.051,"APQ_P,APQ_P_04"
0.051,"APQ_P,APQ_P_14"
0.047,"SCARED_P,SCARED_P_06"
0.047,"ESWAN,DMDD_6C"
0.046,"PreInt_DevHx,hospital_dur_WAS_MISSING"
0.046,"APQ_SR,APQ_SR_02"
0.044,"CBCL,CBCL_80"
0.043,"APQ_SR,APQ_SR_40"
0.043,"PSI,PSI_21"
0.040,"SDQ,SDQ_10"
0.038,"CBCL,CBCL_57"
0.038,"SCARED_P,SCARED_P_01"
0.037,"APQ_P,APQ_P_05"
0.035,"SympChck,CSC_52C"
0.030,"SympChck,CSC_55bC"
0.030,"CBCL,CBCL_94"
0.029,"SympChck,CSC_17P"
0.025,"RBS,RBS_16"
0.024,"RBS,RBS_30"
0.024,"MFQ_P,MFQ_P_29"
0.023,"SWAN,SWAN_18"
0.020,"PSI,PSI_07"
0.020,"CBCL,CBCL_62"
0.020,"CBCL,CBCL_37"
0.019,"SDQ,SDQ_30"
0.018,"APQ_SR,APQ_SR_22"
0.016,"SRS,SRS_62"
0.014,"PSI,PSI_18"
0.013,"SCARED_P,SCARED_P_13"
0.013,"ESWAN,MDD_5"
0.012,"SympChck,CSC_18C"
0.012,"CBCL,CBCL_77"
0.011,"SCQ,SCQ_24"
0.010,"SDQ,SDQ_12"
0.008,"CBCL,CBCL_56H"
0.008,"SympChck,CSC_33P"
0.007,"SCQ,SCQ_38"
0.007,"SRS,SRS_13"
0.007,"RBS,RBS_28"
0.007,"SympChck,CSC_18P"
0.005,"MFQ_P,MFQ_P_20"
0.004,"MFQ_P,MFQ_P_32"
0.004,"ICU_P,ICU_P_24"
0.004,"ESWAN,Panic_B11"
0.004,"SWAN,SWAN_03"
0.003,"ESWAN,Panic_B08"
0.002,"APQ_SR,APQ_SR_11"
0.001,"CBCL,CBCL_81"
-0.000,"CBCL,CBCL_105"
-0.007,"CBCL,CBCL_93"
-0.008,"ARI_P,ARI_P_05"
-0.013,"SympChck,CSC_28P"
-0.032,"CBCL,CBCL_47"
-0.039,"CBCL,CBCL_56B"
-0.052,"C3SR,C3SR_01"
-0.055,"APQ_P,APQ_P_10"
-0.060,"PreInt_DevHx,m_birthage_WAS_MISSING"
-0.066,"CBCL,CBCL_58"
-0.070,"DTS,DTS_13"
-0.091,"SRS,SRS_21"
