coef,feature
0.715,"C3SR,C3SR_03"
0.654,"C3SR,C3SR_29"
0.619,"C3SR,C3SR_02"
0.601,"APQ_SR,APQ_SR_42"
0.572,"C3SR,C3SR_18"
0.524,"C3SR,C3SR_15"
0.485,"C3SR,C3SR_34"
0.483,"APQ_SR,APQ_SR_06"
0.469,"APQ_SR,APQ_SR_30"
0.466,"CBCL,CBCL_12"
0.465,"C3SR,C3SR_05"
0.445,"C3SR,C3SR_10"
0.432,"APQ_SR,APQ_SR_39"
0.406,"CBCL,CBCL_110"
0.402,"C3SR,C3SR_14"
0.399,"C3SR,C3SR_35"
0.398,"C3SR,C3SR_33"
0.359,"RBS,RBS_03"
0.350,"C3SR,C3SR_16"
0.334,"SympChck,CSC_48P"
0.305,"C3SR,C3SR_19"
0.279,"C3SR,C3SR_04"
0.264,"SRS,SRS_16"
0.262,"APQ_SR,APQ_SR_24"
0.248,"PreInt_DevHx,temp_02"
0.245,"C3SR,C3SR_36"
0.241,"C3SR,C3SR_27"
0.238,"MFQ_P,MFQ_P_29"
0.236,"SCARED_P,SCARED_P_20"
0.230,"APQ_SR,APQ_SR_36"
0.222,"APQ_SR,APQ_SR_31"
0.221,"SympChck,CSC_11C"
0.220,"CBCL,CBCL_40"
0.214,"RBS,RBS_12"
0.211,"SympChck,CSC_14C"
0.211,"C3SR,C3SR_30"
0.210,"SCARED_P,SCARED_P_21"
0.209,"PSI,PSI_21"
0.208,"ICU_P,ICU_P_07"
0.208,"PreInt_DevHx,temp_05"
0.201,"RBS,RBS_13"
0.199,"PSI,PSI_11"
0.198,"SDQ,SDQ_28"
0.192,"RBS,RBS_37"
0.186,"PhenX_Neighborhood,PhenX_NS_01"
0.180,"ASSQ,ASSQ_11"
0.177,"C3SR,C3SR_28"
0.174,"C3SR,C3SR_08"
0.173,"SympChck,CSC_30C"
0.170,"ICU_P,ICU_P_14"
0.169,"CBCL,CBCL_56A"
0.163,"PSI,PSI_31"
0.160,"SRS,SRS_29"
0.155,"APQ_P,APQ_P_13"
0.154,"SRS,SRS_30"
0.152,"SympChck,CSC_55bP"
0.150,"CBCL,CBCL_64"
0.150,"C3SR,C3SR_22"
0.145,"CBCL,CBCL_93"
0.140,"C3SR,C3SR_13"
0.130,"CBCL,CBCL_54"
0.129,"MFQ_P,MFQ_P_26"
0.127,"SDQ,SDQ_19"
0.122,"SympChck,CSC_15P"
0.115,"PSI,PSI_20"
0.112,"SRS,SRS_44"
0.111,"C3SR,C3SR_09"
0.110,"APQ_SR,APQ_SR_07A_WAS_MISSING"
0.110,"APQ_SR,APQ_SR_04A_WAS_MISSING"
0.106,"APQ_SR,APQ_SR_40"
0.104,"RBS,RBS_21"
0.102,"SympChck,CSC_29C"
0.097,"MFQ_P,MFQ_P_27"
0.097,"SCQ,SCQ_19"
0.096,"SCARED_P,SCARED_P_36"
0.095,"PSI,PSI_10"
0.094,"ESWAN,MDD_1A"
0.092,"ASSQ,ASSQ_05"
0.090,"CBCL,CBCL_53"
0.089,"CBCL,CBCL_101"
0.087,"SCQ,SCQ_12"
0.087,"PSI,PSI_23"
0.087,"CBCL,CBCL_09"
0.086,"C3SR,C3SR_26"
0.086,"SympChck,CSC_45P"
0.083,"CBCL,CBCL_52"
0.082,"CBCL,CBCL_28"
0.081,"C3SR,C3SR_38"
0.080,"ESWAN,DMDD_10C"
0.078,"C3SR,C3SR_01"
0.076,"SRS,SRS_01"
0.076,"PreInt_DevHx,complications"
0.074,"SRS,SRS_18"
0.072,"APQ_SR,APQ_SR_01A_WAS_MISSING"
0.071,"SympChck,CSC_50P"
0.070,"SympChck,CSC_51P"
0.066,"APQ_SR,APQ_SR_35"
0.066,"PhenX_Neighborhood,PhenX_NS_02"
0.062,"SRS,SRS_45"
0.062,"PreInt_DevHx,delivery"
0.061,"SRS,SRS_50"
0.058,"SCQ,SCQ_02"
0.057,"ASSQ,ASSQ_20"
0.056,"PreInt_DevHx,preg_dur"
0.056,"CBCL,CBCL_51"
0.056,"CBCL,CBCL_42"
0.056,"APQ_SR,APQ_SR_11A_WAS_MISSING"
0.054,"DTS,DTS_15"
0.053,"SWAN,SWAN_12"
0.052,"APQ_SR,APQ_SR_09A_WAS_MISSING"
0.051,"SympChck,CSC_48C"
0.051,"SRS,SRS_14"
0.050,"SympChck,CSC_11P"
0.049,"SympChck,CSC_03C"
0.047,"SCQ,SCQ_32"
0.047,"SympChck,CSC_16P"
0.046,"SympChck,CSC_50C"
