coef,feature
1.296,"NIH_Scores,NIH7_Pattern"
1.100,"NIH_Scores,NIH7_Pattern_P"
1.041,"NIH_Scores,NIH7_Flanker"
0.936,"NIH_Scores,NIH7_Card"
0.888,"Basic_Demos,Sex"
0.741,"NIH_Scores,NIH7_Card_P"
0.706,"NIH_Scores,NIH7_List"
0.638,"NIH_Scores,NIH7_List_P"
0.602,"NIH_Scores,NIH7_Flanker_P"
0.525,"SDQ,SDQ_03"
0.522,"C3SR,C3SR_04"
0.367,"SympChck,CSC_04P"
0.302,"APQ_SR,APQ_SR_36"
0.287,"CBCL,CBCL_47"
0.257,"SCARED_P,SCARED_P_20"
0.249,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.237,"ICU_P,ICU_P_13"
0.229,"APQ_SR,APQ_SR_33"
0.228,"APQ_P,APQ_P_06"
0.221,"ICU_P,ICU_P_06"
0.215,"SDQ,SDQ_18"
0.209,"SCQ,SCQ_26"
0.203,"CBCL,CBCL_36"
0.200,"APQ_SR,APQ_SR_15"
0.193,"SympChck,CSC_36P"
0.185,"APQ_SR,APQ_SR_07A"
0.163,"APQ_SR,APQ_SR_23"
0.154,"CBCL,CBCL_44"
0.150,"SDQ,SDQ_08"
0.148,"ICU_P,ICU_P_22"
0.134,"CBCL,CBCL_93"
0.134,"APQ_SR,APQ_SR_22"
0.132,"PreInt_DevHx,temp_05"
0.129,"PSI,PSI_24"
0.122,"SympChck,CSC_41P"
0.121,"ICU_P,ICU_P_16"
0.120,"PSI,PSI_32"
0.119,"CBCL,CBCL_100"
0.115,"CBCL,CBCL_83"
0.114,"APQ_SR,APQ_SR_07"
0.114,"CBCL,CBCL_27"
0.108,"APQ_SR,APQ_SR_01"
0.101,"SRS,SRS_56"
0.101,"SympChck,CSC_40P"
0.099,"PSI,PSI_33"
0.098,"CBCL,CBCL_56F"
0.096,"Barratt,financialsupport"
0.095,"CBCL,CBCL_16"
0.092,"APQ_SR,APQ_SR_05"
0.081,"ESWAN,Panic_B05"
0.081,"C3SR,C3SR_15"
0.081,"MFQ_P,MFQ_P_26"
0.079,"PreInt_DevHx,dev_normal"
0.075,"APQ_SR,APQ_SR_39"
0.072,"APQ_P,APQ_P_35"
0.070,"APQ_SR,APQ_SR_12"
0.070,"SCARED_P,SCARED_P_35"
0.065,"CBCL,CBCL_56C"
0.065,"PSI,PSI_05"
0.060,"PSI,PSI_17"
0.059,"SDQ,SDQ_22"
0.058,"APQ_SR,APQ_SR_11A"
0.058,"PSI,PSI_03"
0.049,"SCARED_P,SCARED_P_22"
0.048,"ASSQ,ASSQ_12"
0.047,"APQ_SR,APQ_SR_20A"
0.047,"PreInt_DevHx,hospital_dur"
0.043,"CBCL,CBCL_56B"
0.040,"ICU_P,ICU_P_17"
0.039,"SympChck,CSC_06P"
0.038,"APQ_P,APQ_P_36"
0.032,"SympChck,CSC_11P"
0.030,"CBCL,CBCL_104"
0.029,"PreInt_DevHx,premature"
0.025,"CBCL,CBCL_74"
0.022,"CBCL,CBCL_68"
0.022,"ARI_P,ARI_P_05"
0.022,"APQ_SR,APQ_SR_35"
0.022,"SCQ,SCQ_01"
0.019,"ESWAN,Panic_B06"
0.015,"CBCL,CBCL_03"
0.015,"ESWAN,DMDD_2A"
0.013,"SCQ,SCQ_11"
0.013,"ESWAN,Panic_B01"
0.011,"SAS,SAS_09"
0.010,"SympChck,CSC_36C"
0.010,"SCARED_P,SCARED_P_33"
0.007,"SDQ,SDQ_21"
0.005,"APQ_P,APQ_P_24"
0.003,"CBCL,CBCL_35"
0.003,"SWAN,SWAN_13"
-0.001,"APQ_P,APQ_P_33"
-0.002,"RBS,RBS_02"
-0.003,"SCARED_P,SCARED_P_38"
-0.005,"CBCL,CBCL_17"
-0.007,"APQ_P,APQ_P_28"
-0.008,"SCARED_P,SCARED_P_17"
-0.009,"APQ_SR,APQ_SR_24"
-0.011,"PreInt_DevHx,birthweight_ozs"
-0.011,"C3SR,C3SR_14"
-0.013,"SCQ,SCQ_03"
-0.014,"SWAN,SWAN_09"
-0.015,"SRS,SRS_53"
-0.019,"SWAN,SWAN_08"
-0.024,"SRS,SRS_23"
-0.026,"APQ_SR,APQ_SR_11"
-0.027,"ASSQ,ASSQ_02"
-0.029,"PreInt_DevHx,lost_skills"
-0.030,"SCARED_P,SCARED_P_29"
-0.031,"SympChck,CSC_50C"
-0.032,"MFQ_P,MFQ_P_20"
-0.035,"SRS,SRS_21"
-0.037,"SRS,SRS_49"
-0.039,"SympChck,CSC_21C"
-0.039,"ESWAN,MDD_8A"
-0.044,"APQ_P,APQ_P_03"
-0.044,"CBCL,CBCL_77"
-0.047,"SympChck,CSC_20C"
-0.047,"C3SR,C3SR_13"
-0.048,"APQ_P,APQ_P_05"
-0.051,"APQ_SR,APQ_SR_17"
-0.052,"SRS,SRS_22"
-0.053,"SympChck,CSC_32P"
-0.053,"PreInt_DevHx,temp_08"
-0.054,"ASSQ,ASSQ_01"
-0.057,"PreInt_DevHx,temp_06"
-0.059,"C3SR,C3SR_37"
-0.060,"SCQ,SCQ_18"
-0.060,"SympChck,CSC_05C"
-0.060,"SDQ,SDQ_23"
-0.063,"SCQ,SCQ_40"
-0.063,"SRS,SRS_05"
-0.064,"CBCL,CBCL_13"
-0.069,"C3SR,C3SR_38"
-0.069,"SCQ,SCQ_09"
-0.075,"MFQ_P,MFQ_P_30"
-0.079,"SCQ,SCQ_35"
-0.079,"ASSQ,ASSQ_09"
-0.080,"ASSQ,ASSQ_05"
-0.080,"CBCL,CBCL_63"
-0.083,"APQ_P,APQ_P_22"
-0.086,"PreInt_DevHx,puberty"
-0.087,"DTS,DTS_05"
-0.087,"ASSQ,ASSQ_22"
-0.090,"PhenX_Neighborhood,PhenX_NS_01"
-0.100,"SRS,SRS_43"
-0.100,"SWAN,SWAN_05"
-0.101,"SCQ,SCQ_15"
-0.105,"SRS,SRS_31"
-0.106,"RBS,RBS_44"
-0.109,"SCQ,SCQ_24"
-0.109,"C3SR,C3SR_18"
-0.117,"SympChck,CSC_50P"
-0.117,"SRS,SRS_28"
-0.117,"SCQ,SCQ_25"
-0.127,"ASSQ,ASSQ_03"
-0.136,"RBS,RBS_08"
-0.136,"RBS,RBS_13"
-0.144,"CBCL,CBCL_90"
-0.145,"RBS,RBS_18"
-0.152,"APQ_P,APQ_P_40"
-0.161,"APQ_SR,APQ_SR_06"
-0.180,"SWAN,SWAN_04"
-0.183,"RBS,RBS_22"
-0.184,"SCQ,SCQ_05"
-0.193,"CBCL,CBCL_108"
-0.194,"CBCL,CBCL_51"
-0.208,"SympChck,CSC_34C"
-0.214,"APQ_P,APQ_P_16"
-0.222,"ESWAN,Panic_A03B"
-0.226,"SRS,SRS_63"
-0.227,"APQ_P,APQ_P_27"
-0.239,"SCQ,SCQ_39"
-0.269,"PreInt_DevHx,skill_age_06"
-0.274,"DTS,DTS_06"
-0.286,"CBCL,CBCL_79"
-0.293,"APQ_SR,APQ_SR_26"
-0.297,"C3SR,C3SR_09"
-0.310,"SCQ,SCQ_13"
-0.330,"SRS,SRS_65"
-0.331,"APQ_P,APQ_P_29"
-0.343,"PreInt_DevHx,temp_11"
-0.347,"PSI,PSI_20"
-0.383,"C3SR,C3SR_33"
-0.418,"SympChck,CSC_34P"
-0.485,"C3SR,C3SR_36"
-0.543,"CBCL,CBCL_80"
-0.567,"Basic_Demos,Age"
-0.584,"SWAN,SWAN_06"
-0.598,"PSI,PSI_18"
