coef,feature
0.659,"CBCL,CBCL_25"
0.575,"CBCL,CBCL_23"
0.509,"CBCL,CBCL_28"
0.490,"SympChck,CSC_05C"
0.466,"ESWAN,DMDD_7A"
0.445,"ICU_P,ICU_P_15"
0.425,"CBCL,CBCL_41"
0.418,"ESWAN,DMDD_10A"
0.408,"MFQ_P,MFQ_P_01"
0.377,"ICU_P,ICU_P_20"
0.369,"SCARED_P,SCARED_P_07"
0.355,"CBCL,CBCL_103"
0.336,"SympChck,CSC_54C"
0.335,"ESWAN,DMDD_2A"
0.315,"ICU_P,ICU_P_11"
0.312,"CBCL,CBCL_50"
0.288,"SCQ,SCQ_19"
0.266,"SympChck,CSC_43C"
0.259,"CBCL,CBCL_104"
0.256,"SCARED_P,SCARED_P_36"
0.255,"CBCL,CBCL_03"
0.249,"SCARED_P,SCARED_P_40"
0.246,"ESWAN,Panic_B12"
0.240,"SWAN,SWAN_04"
0.239,"MFQ_P,MFQ_P_11"
0.228,"CBCL,CBCL_38"
0.226,"SCARED_P,SCARED_P_33"
0.223,"CBCL,CBCL_88"
0.223,"ICU_P,ICU_P_17"
0.220,"SympChck,CSC_43P"
0.213,"CBCL,CBCL_22"
0.198,"SWAN,SWAN_05"
0.197,"SCARED_P,SCARED_P_24"
0.193,"CBCL,CBCL_35"
0.189,"ICU_P,ICU_P_16"
0.179,"SympChck,CSC_01C"
0.176,"ICU_P,ICU_P_02"
0.174,"SympChck,CSC_02C"
0.169,"SCQ,SCQ_31"
0.169,"SCQ,SCQ_02"
0.167,"CBCL,CBCL_111"
0.163,"ICU_P,ICU_P_09"
0.150,"CBCL,CBCL_67"
0.149,"ESWAN,MDD_7"
0.145,"SWAN,SWAN_18"
0.142,"SCARED_P,SCARED_P_23"
0.140,"SCQ,SCQ_29"
0.131,"ESWAN,Panic_B08"
0.127,"SympChck,CSC_23C"
0.119,"SCQ,SCQ_11"
0.116,"CBCL,CBCL_42"
0.115,"CBCL,CBCL_95"
0.113,"CBCL,CBCL_62"
0.110,"CBCL,CBCL_39"
0.109,"ICU_P,ICU_P_07"
0.099,"ICU_P,ICU_P_12"
0.095,"SCQ,SCQ_08"
0.095,"CBCL,CBCL_04"
0.091,"PreInt_DevHx,premature_WAS_MISSING"
0.090,"CBCL,CBCL_02"
0.089,"ICU_P,ICU_P_23"
0.088,"SCARED_P,SCARED_P_20"
0.081,"MFQ_P,MFQ_P_16"
0.075,"CBCL,CBCL_16"
0.074,"CBCL,CBCL_83"
0.073,"MFQ_P,MFQ_P_29"
0.072,"SCARED_P,SCARED_P_05"
0.071,"ICU_P,ICU_P_22"
0.071,"CBCL,CBCL_48"
0.069,"CBCL,CBCL_86"
0.067,"SCARED_P,SCARED_P_39"
0.067,"PreInt_DevHx,skill_age_14_WAS_MISSING"
0.065,"SympChck,CSC_39P"
0.065,"SCQ,SCQ_17"
0.065,"MFQ_P,MFQ_P_31"
0.063,"SympChck,CSC_26C"
0.062,"CBCL,CBCL_57"
0.061,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
0.058,"ESWAN,MDD_1B"
0.054,"SWAN,SWAN_15"
0.053,"CBCL,CBCL_24"
0.053,"CBCL,CBCL_79"
0.051,"SCARED_P,SCARED_P_26"
0.044,"SympChck,CSC_38C"
0.043,"SympChck,CSC_01P"
0.040,"SympChck,CSC_55dP"
0.039,"SympChck,CSC_55bP"
0.037,"CBCL,CBCL_05"
0.034,"CBCL,CBCL_45"
0.034,"CBCL,CBCL_101"
0.032,"ESWAN,DMDD_10C"
0.032,"CBCL,CBCL_10"
0.025,"CBCL,CBCL_09"
0.021,"CBCL,CBCL_27"
0.021,"CBCL,CBCL_91"
0.020,"SCQ,SCQ_27"
0.018,"CBCL,CBCL_94"
0.017,"SCQ,SCQ_20"
0.017,"SWAN,SWAN_03"
0.015,"PreInt_DevHx,birthweight_lbs_WAS_MISSING"
0.015,"SCARED_P,SCARED_P_12"
0.015,"ESWAN,DMDD_9A"
0.014,"SWAN,SWAN_02"
0.011,"CBCL,CBCL_76"
0.009,"PreInt_DevHx,birthweight_ozs"
0.003,"SympChck,CSC_50C"
0.001,"SympChck,CSC_52C"
-0.000,"SympChck,CSC_06P"
-0.004,"CBCL,CBCL_55"
-0.009,"CBCL,CBCL_12"
-0.020,"SCQ,SCQ_24"
-0.020,"SCARED_P,SCARED_P_02"
-0.020,"CBCL,CBCL_06"
-0.025,"CBCL,CBCL_66"
-0.033,"CBCL,CBCL_40"
-0.048,"SympChck,CSC_13P"
-0.051,"SympChck,CSC_11C"
-0.053,"SympChck,CSC_49P"
-0.064,"ESWAN,MDD_3A"
-0.067,"SCQ,SCQ_12"
-0.077,"SCARED_P,SCARED_P_08"
-0.080,"ESWAN,Panic_B05"
-0.083,"NIH_Scores,NIH7_Complete"
-0.089,"PreInt_DevHx,temp_07"
-0.094,"CBCL,CBCL_56F"
-0.102,"CBCL,CBCL_32"
-0.109,"SCQ,SCQ_14"
-0.113,"CBCL,CBCL_96"
-0.119,"SympChck,CSC_14P"
-0.119,"CBCL,CBCL_106"
-0.145,"SCQ,SCQ_10"
-0.183,"ESWAN,MDD_3B"
-0.202,"SympChck,CSC_14C"
-0.229,"ESWAN,Panic_B06"
-0.292,"CBCL,CBCL_60"
-0.403,"SympChck,CSC_53P"
