coef,feature
0.124,"SympChck,CSC_55aP"
0.119,"CBCL,CBCL_91"
0.115,"SympChck,CSC_01C"
0.112,"ICU_P,ICU_P_08"
0.110,"SympChck,CSC_26C"
0.099,"ICU_P,ICU_P_17"
0.096,"SWAN,SWAN_11"
0.094,"ICU_P,ICU_P_18"
0.092,"MFQ_P,MFQ_P_15"
0.087,"SWAN,SWAN_13"
0.087,"SympChck,CSC_08C"
0.086,"ESWAN,MDD_7"
0.086,"SympChck,CSC_39C"
0.085,"CBCL,CBCL_96"
0.085,"ICU_P,ICU_P_05"
0.085,"SympChck,CSC_20C"
0.084,"PreInt_DevHx,temp_07"
0.082,"SympChck,CSC_02C"
0.081,"SympChck,CSC_38C"
0.081,"MFQ_P,MFQ_P_19"
0.078,"SCQ,SCQ_15"
0.077,"CBCL,CBCL_10"
0.077,"CBCL,CBCL_22"
0.075,"MFQ_P,MFQ_P_01"
0.075,"CBCL,CBCL_23"
0.074,"SympChck,CSC_43P"
0.074,"ESWAN,DMDD_10C"
0.073,"SWAN,SWAN_14"
0.072,"ESWAN,DMDD_6C"
0.072,"SCQ,SCQ_05"
0.072,"CBCL,CBCL_14"
0.071,"CBCL,CBCL_103"
0.071,"NIH_Scores,NIH7_Flanker"
0.071,"CBCL,CBCL_33"
0.069,"ESWAN,MDD_2B"
0.068,"ESWAN,DMDD_7C"
0.068,"SCARED_P,SCARED_P_38"
0.067,"SympChck,CSC_27C"
0.067,"SCARED_P,SCARED_P_07"
0.066,"SCARED_P,SCARED_P_36"
0.065,"ESWAN,DMDD_1B"
0.065,"MFQ_P,MFQ_P_06"
0.061,"SympChck,CSC_40C"
0.061,"MFQ_P,MFQ_P_29"
0.060,"MFQ_P,MFQ_P_17"
0.060,"SCARED_P,SCARED_P_20"
0.060,"SympChck,CSC_19C"
0.058,"ESWAN,MDD_2A"
0.058,"MFQ_P,MFQ_P_02"
0.058,"ESWAN,DMDD_8C"
0.058,"ESWAN,Panic_A01B"
0.057,"ICU_P,ICU_P_13"
0.057,"MFQ_P,MFQ_P_24"
0.056,"ICU_P,ICU_P_16"
0.055,"ESWAN,DMDD_9C"
0.053,"MFQ_P,MFQ_P_18"
0.053,"SympChck,CSC_48C"
0.053,"CBCL,CBCL_61"
0.052,"SCARED_P,SCARED_P_11"
0.052,"MFQ_P,MFQ_P_08"
0.052,"MFQ_P,MFQ_P_16"
0.051,"SCARED_P,SCARED_P_13"
0.051,"MFQ_P,MFQ_P_09"
0.051,"ESWAN,SocAnx_04B"
0.050,"CBCL,CBCL_28"
0.050,"ESWAN,MDD_1A"
0.050,"PreInt_DevHx,labor_dur"
0.049,"SCARED_P,SCARED_P_25"
0.048,"ICU_P,ICU_P_24"
0.048,"SympChck,CSC_36C"
0.048,"SympChck,CSC_10C"
0.048,"SympChck,CSC_11C"
0.047,"ESWAN,SocAnx_03"
0.047,"SCARED_P,SCARED_P_39"
0.047,"SCQ,SCQ_08"
0.046,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.046,"CBCL,CBCL_86"
0.045,"CBCL,CBCL_102"
0.045,"SCARED_P,SCARED_P_31"
0.044,"SCQ,SCQ_29"
0.044,"SCARED_P,SCARED_P_12"
0.043,"ESWAN,DMDD_5C"
0.043,"SCQ,SCQ_19"
0.043,"SCQ,SCQ_40"
0.043,"CBCL,CBCL_34"
0.043,"SCQ,SCQ_28"
0.042,"SympChck,CSC_14C"
0.042,"ESWAN,MDD_9"
0.042,"SympChck,CSC_42C"
0.041,"ESWAN,DMDD_2B"
0.041,"SCARED_P,SCARED_P_33"
0.041,"SympChck,CSC_31C"
0.041,"MFQ_P,MFQ_P_30"
0.041,"SympChck,CSC_38P"
0.040,"ESWAN,DMDD_1A"
0.040,"CBCL,CBCL_12"
0.040,"SympChck,CSC_39P"
0.040,"MFQ_P,MFQ_P_22"
0.040,"SympChck,CSC_53C"
0.039,"SCQ,SCQ_27"
0.039,"SympChck,CSC_55aC"
0.039,"ESWAN,DMDD_9B"
0.038,"ESWAN,Panic_A02A"
0.038,"SympChck,CSC_03C"
0.037,"CBCL,CBCL_88"
0.037,"ESWAN,MDD_3A"
0.037,"CBCL,CBCL_75"
0.037,"CBCL,CBCL_03"
0.036,"CBCL,CBCL_90"
0.036,"SWAN,SWAN_10"
0.035,"MFQ_P,MFQ_P_34"
0.035,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.035,"ESWAN,DMDD_9A"
0.035,"SympChck,CSC_48P"
0.034,"SCARED_P,SCARED_P_05"
0.034,"SympChck,CSC_18C"
0.033,"MFQ_P,MFQ_P_10"
0.033,"SWAN,SWAN_12"
0.033,"PreInt_DevHx,premature"
