coef,feature
1.474,"Basic_Demos,Age"
1.042,"PreInt_DevHx,puberty"
0.793,"CBCL,CBCL_90"
0.744,"CBCL,CBCL_88"
0.574,"CBCL,CBCL_91"
0.538,"CBCL,CBCL_22"
0.489,"CBCL,CBCL_42"
0.437,"SympChck,CSC_20P"
0.411,"SCQ,SCQ_22"
0.410,"SympChck,CSC_37P"
0.405,"SCARED_P,SCARED_P_36"
0.392,"CBCL,CBCL_03"
0.367,"ICU_P,ICU_P_07"
0.365,"ICU_P,ICU_P_11"
0.353,"CBCL,CBCL_23"
0.335,"SCARED_P,SCARED_P_12"
0.325,"SWAN,SWAN_07"
0.323,"CBCL,CBCL_97"
0.323,"MFQ_P,MFQ_P_08"
0.317,"MFQ_P,MFQ_P_18"
0.306,"PreInt_DevHx,preg_dur"
0.269,"SympChck,CSC_17P"
0.257,"SympChck,CSC_34P"
0.251,"SympChck,CSC_02C"
0.249,"SCQ,SCQ_18"
0.230,"SCQ,SCQ_17"
0.212,"NIH_Scores,NIH7_Pattern"
0.210,"SCQ,SCQ_20"
0.209,"SCQ,SCQ_03"
0.201,"MFQ_P,MFQ_P_33"
0.196,"ICU_P,ICU_P_23"
0.186,"CBCL,CBCL_96"
0.185,"SCQ,SCQ_15"
0.181,"SympChck,CSC_20C"
0.173,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.172,"SCQ,SCQ_39"
0.172,"CBCL,CBCL_103"
0.171,"CBCL,CBCL_04"
0.170,"SympChck,CSC_39C"
0.164,"ESWAN,DMDD_9A"
0.162,"SCARED_P,SCARED_P_21"
0.158,"CBCL,CBCL_76"
0.151,"SWAN,SWAN_06"
0.144,"MFQ_P,MFQ_P_21"
0.143,"PreInt_DevHx,growth_concerns"
0.142,"ICU_P,ICU_P_02"
0.140,"MFQ_P,MFQ_P_16"
0.137,"ICU_P,ICU_P_18"
0.131,"PreInt_DevHx,temp_11"
0.130,"CBCL,CBCL_86"
0.130,"SCARED_P,SCARED_P_14"
0.130,"ESWAN,Panic_A03A"
0.128,"SympChck,CSC_26C"
0.126,"ESWAN,MDD_8B"
0.126,"CBCL,CBCL_61"
0.113,"PreInt_DevHx,temp_06"
0.108,"SympChck,CSC_16C"
0.107,"CBCL,CBCL_63"
0.105,"SympChck,CSC_51P"
0.104,"CBCL,CBCL_75"
0.088,"ESWAN,MDD_4"
0.085,"SympChck,CSC_10P"
0.084,"CBCL,CBCL_110"
0.081,"CBCL,CBCL_101"
0.080,"CBCL,CBCL_71"
0.077,"CBCL,CBCL_28"
0.077,"SympChck,CSC_23P"
0.065,"CBCL,CBCL_65"
0.060,"SympChck,CSC_21P"
0.055,"SCQ,SCQ_25"
0.053,"SCARED_P,SCARED_P_30"
0.049,"ESWAN,MDD_3B"
0.047,"PreInt_DevHx,temp_10"
0.045,"PreInt_DevHx,temp_05"
0.042,"SympChck,CSC_37C"
0.042,"SympChck,CSC_15P"
0.042,"SympChck,CSC_53C"
0.041,"PreInt_DevHx,temp_01"
0.038,"SCQ,SCQ_35"
0.037,"SympChck,CSC_03C"
0.034,"SCARED_P,SCARED_P_41"
0.034,"MFQ_P,MFQ_P_25"
0.034,"CBCL,CBCL_56H"
0.033,"CBCL,CBCL_18"
0.031,"CBCL,CBCL_107"
0.025,"CBCL,CBCL_70"
0.025,"SCQ,SCQ_04"
0.025,"CBCL,CBCL_56A"
0.024,"SympChck,CSC_42P"
0.024,"ESWAN,MDD_6"
0.022,"CBCL,CBCL_69"
0.021,"CBCL,CBCL_30"
0.020,"ESWAN,MDD_9"
0.016,"SCQ,SCQ_32"
0.016,"PreInt_DevHx,skill_age_14_WAS_MISSING"
0.010,"CBCL,CBCL_09"
-0.002,"ESWAN,DMDD_3C"
-0.004,"PreInt_DevHx,premature"
-0.007,"SWAN,SWAN_01"
-0.009,"ICU_P,ICU_P_17"
-0.014,"SWAN,SWAN_02"
-0.020,"MFQ_P,MFQ_P_13"
-0.027,"SympChck,CSC_45P"
-0.027,"SympChck,CSC_32P"
-0.029,"PreInt_DevHx,temp_04"
-0.031,"PreInt_DevHx,newborn_problems_WAS_MISSING"
-0.033,"ESWAN,DMDD_1B"
-0.040,"SympChck,CSC_31C"
-0.041,"SCQ,SCQ_02"
-0.042,"SympChck,CSC_49C"
-0.043,"CBCL,CBCL_62"
-0.046,"CBCL,CBCL_108"
-0.056,"ICU_P,ICU_P_19"
-0.059,"CBCL,CBCL_27"
-0.066,"MFQ_P,MFQ_P_05"
-0.066,"ESWAN,Panic_B01"
-0.067,"CBCL,CBCL_29"
-0.070,"MFQ_P,MFQ_P_31"
-0.076,"CBCL,CBCL_48"
-0.078,"CBCL,CBCL_26"
-0.085,"PreInt_DevHx,skill_age_06"
-0.087,"NIH_Scores,NIH7_Complete"
-0.108,"ESWAN,Panic_B02"
-0.113,"SympChck,CSC_12C"
-0.115,"CBCL,CBCL_60"
-0.130,"NIH_Scores,NIH7_List"
-0.132,"CBCL,CBCL_05"
-0.142,"SCARED_P,SCARED_P_22"
-0.144,"CBCL,CBCL_47"
-0.147,"ESWAN,Panic_B11"
-0.147,"SympChck,CSC_55eP"
-0.149,"PreInt_DevHx,labor_dur_WAS_MISSING"
-0.153,"SympChck,CSC_13P"
-0.158,"CBCL,CBCL_82"
-0.162,"MFQ_P,MFQ_P_04"
-0.162,"PreInt_DevHx,newborn_problems"
-0.178,"SympChck,CSC_09P"
-0.186,"SympChck,CSC_45C"
-0.234,"SCQ,SCQ_01"
-0.247,"SCARED_P,SCARED_P_28"
-0.255,"ESWAN,DMDD_4A"
-0.257,"SCQ,SCQ_33"
-0.278,"ESWAN,DMDD_4B"
-0.281,"SCARED_P,SCARED_P_26"
-0.284,"CBCL,CBCL_31"
-0.295,"CBCL,CBCL_32"
-0.298,"MFQ_P,MFQ_P_32"
-0.301,"SCQ,SCQ_11"
-0.303,"CBCL,CBCL_78"
-0.319,"PreInt_DevHx,temp_08"
-0.347,"PreInt_DevHx,temp_03"
-0.348,"CBCL,CBCL_79"
-0.358,"SympChck,CSC_03P"
-0.365,"SympChck,CSC_43P"
-0.389,"SympChck,CSC_43C"
-0.394,"SympChck,CSC_46P"
-0.420,"MFQ_P,MFQ_P_30"
-0.421,"PreInt_DevHx,hospital_dur"
-0.431,"ICU_P,ICU_P_20"
-0.449,"ESWAN,DMDD_2A"
-0.586,"Basic_Demos,Sex"
-0.667,"CBCL,CBCL_64"
-0.740,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
