coef,feature
2.237,"Basic_Demos,Age"
0.845,"CBCL,CBCL_90"
0.728,"CBCL,CBCL_69"
0.652,"CBCL,CBCL_05"
0.584,"PreInt_DevHx,puberty"
0.564,"CBCL,CBCL_42"
0.551,"MFQ_P,MFQ_P_12"
0.531,"CBCL,CBCL_24"
0.512,"ICU_P,ICU_P_20"
0.508,"CBCL,CBCL_03"
0.448,"ESWAN,MDD_2B"
0.445,"ICU_P,ICU_P_07"
0.433,"ICU_P,ICU_P_15"
0.410,"SCQ,SCQ_35"
0.399,"ICU_P,ICU_P_11"
0.394,"SCQ,SCQ_39"
0.390,"ESWAN,DMDD_6A"
0.376,"SympChck,CSC_40C"
0.375,"CBCL,CBCL_28"
0.369,"CBCL,CBCL_04"
0.348,"SympChck,CSC_01C"
0.338,"SympChck,CSC_50C"
0.311,"MFQ_P,MFQ_P_05"
0.298,"MFQ_P,MFQ_P_34"
0.292,"MFQ_P,MFQ_P_11"
0.291,"ICU_P,ICU_P_18"
0.285,"ESWAN,DMDD_1A"
0.280,"ESWAN,MDD_2A"
0.265,"NIH_Scores,NIH7_Pattern"
0.265,"SWAN,SWAN_05"
0.262,"SympChck,CSC_03C"
0.251,"CBCL,CBCL_22"
0.251,"ICU_P,ICU_P_06"
0.232,"CBCL,CBCL_54"
0.228,"SCQ,SCQ_21"
0.227,"SympChck,CSC_39C"
0.224,"PreInt_DevHx,m_birthage"
0.220,"CBCL,CBCL_102"
0.210,"SympChck,CSC_01P"
0.193,"SympChck,CSC_24P"
0.193,"CBCL,CBCL_96"
0.188,"CBCL,CBCL_94"
0.178,"ICU_P,ICU_P_23"
0.178,"SWAN,SWAN_09"
0.172,"SympChck,CSC_10C"
0.161,"CBCL,CBCL_101"
0.154,"CBCL,CBCL_56C"
0.150,"SympChck,CSC_03P"
0.139,"ICU_P,ICU_P_02"
0.135,"ICU_P,ICU_P_04"
0.133,"NIH_Scores,NIH7_List"
0.121,"ESWAN,MDD_3B"
0.115,"SCQ,SCQ_22"
0.113,"SCQ,SCQ_25"
0.109,"CBCL,CBCL_67"
0.106,"CBCL,CBCL_09"
0.101,"SympChck,CSC_55iP"
0.101,"MFQ_P,MFQ_P_03"
0.087,"SCARED_P,SCARED_P_15"
0.079,"CBCL,CBCL_111"
0.077,"SCQ,SCQ_30"
0.076,"SCQ,SCQ_34"
0.070,"SCQ,SCQ_29"
0.069,"SympChck,CSC_02P"
0.053,"SympChck,CSC_10P"
0.047,"MFQ_P,MFQ_P_33"
0.045,"CBCL,CBCL_76"
0.042,"SympChck,CSC_42C"
0.036,"CBCL,CBCL_56F"
0.032,"SympChck,CSC_50P"
0.032,"MFQ_P,MFQ_P_32"
0.032,"MFQ_P,MFQ_P_16"
0.028,"CBCL,CBCL_07"
0.025,"CBCL,CBCL_65"
0.023,"ESWAN,MDD_6"
0.023,"ICU_P,ICU_P_12"
0.020,"CBCL,CBCL_88"
0.018,"SympChck,CSC_55aC"
0.018,"ESWAN,DMDD_8A"
0.016,"SympChck,CSC_34P"
0.016,"PreInt_DevHx,skill_age_14"
0.012,"CBCL,CBCL_68"
0.010,"SCQ,SCQ_24"
0.010,"ESWAN,MDD_4"
0.010,"SCQ,SCQ_10"
0.007,"ESWAN,MDD_5"
0.005,"SympChck,CSC_55iC"
-0.002,"CBCL,CBCL_11"
-0.007,"ESWAN,DMDD_7C"
-0.011,"SympChck,CSC_53C"
-0.024,"SympChck,CSC_14C"
-0.036,"ESWAN,Panic_A03B"
-0.037,"CBCL,CBCL_83"
-0.046,"SCQ,SCQ_37"
-0.054,"PreInt_DevHx,skill_age_06"
-0.073,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.092,"ESWAN,SocAnx_01"
-0.132,"SCQ,SCQ_18"
-0.183,"SCARED_P,SCARED_P_08"
-0.192,"PreInt_DevHx,temp_07"
-0.195,"CBCL,CBCL_64"
-0.229,"SCARED_P,SCARED_P_25"
-0.238,"PreInt_DevHx,lost_skills"
-0.308,"CBCL,CBCL_48"
-0.626,"Basic_Demos,Sex"
