coef,feature
0.415,"CBCL,CBCL_61"
0.113,"SWAN,SWAN_06"
0.060,"SCQ,SCQ_05"
0.051,"MFQ_P,MFQ_P_30"
0.047,"SympChck,CSC_34C"
0.047,"SCARED_P,SCARED_P_17"
0.043,"SympChck,CSC_24C"
0.040,"PreInt_DevHx,skill_age_06_WAS_MISSING"
0.039,"SCARED_P,SCARED_P_06"
0.037,"SympChck,CSC_43C"
0.033,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.029,"SCQ,SCQ_27"
0.027,"SympChck,CSC_21C"
0.027,"SWAN,SWAN_04"
0.025,"SympChck,CSC_52P"
0.025,"SympChck,CSC_55aP"
0.023,"SCARED_P,SCARED_P_34"
0.022,"SCARED_P,SCARED_P_09"
0.021,"SympChck,CSC_15P"
0.019,"PreInt_DevHx,dev_normal"
0.018,"SCARED_P,SCARED_P_38"
0.018,"ESWAN,MDD_8B"
0.015,"SCQ,SCQ_39"
0.015,"CBCL,CBCL_79"
0.013,"ICU_P,ICU_P_05"
0.011,"SympChck,CSC_55eP"
0.010,"CBCL,CBCL_110"
0.010,"SCQ,SCQ_22"
0.010,"CBCL,CBCL_82"
0.008,"PreInt_DevHx,puberty"
0.008,"SympChck,CSC_41C"
0.007,"SympChck,CSC_08C"
0.007,"CBCL,CBCL_39"
0.006,"SympChck,CSC_24P"
0.006,"SCQ,SCQ_36"
0.005,"SympChck,CSC_45C"
0.004,"SympChck,CSC_33P"
0.004,"CBCL,CBCL_21"
0.004,"SCQ,SCQ_23"
0.003,"SCQ,SCQ_10"
0.003,"PreInt_DevHx,birthweight_ozs"
0.003,"ICU_P,ICU_P_19"
0.003,"PreInt_DevHx,premature_WAS_MISSING"
0.003,"SCQ,SCQ_40"
0.002,"ESWAN,DMDD_9C"
0.002,"CBCL,CBCL_108"
0.002,"SCQ,SCQ_25"
0.002,"PreInt_DevHx,skill_age_14_WAS_MISSING"
0.002,"CBCL,CBCL_20"
0.002,"SCARED_P,SCARED_P_19"
0.002,"PreInt_DevHx,temp_03"
0.000,"SCQ,SCQ_20"
0.000,"PreInt_DevHx,birthweight_lbs_WAS_MISSING"
-0.000,"SCARED_P,SCARED_P_30"
-0.001,"MFQ_P,MFQ_P_23"
-0.001,"SympChck,CSC_22C"
-0.002,"SympChck,CSC_29C"
-0.002,"SCARED_P,SCARED_P_01"
-0.004,"ESWAN,DMDD_6A"
-0.004,"SympChck,CSC_11P"
-0.005,"SCARED_P,SCARED_P_18"
-0.005,"SCQ,SCQ_16"
-0.007,"MFQ_P,MFQ_P_21"
-0.008,"MFQ_P,MFQ_P_27"
-0.008,"CBCL,CBCL_24"
-0.009,"ESWAN,Panic_B08"
-0.009,"CBCL,CBCL_58"
-0.009,"SCARED_P,SCARED_P_35"
-0.010,"ESWAN,DMDD_10A"
-0.010,"CBCL,CBCL_50"
-0.010,"CBCL,CBCL_84"
-0.011,"CBCL,CBCL_04"
-0.013,"SympChck,CSC_27P"
-0.014,"SCQ,SCQ_13"
-0.015,"CBCL,CBCL_109"
-0.015,"SCARED_P,SCARED_P_24"
-0.017,"SympChck,CSC_05P"
-0.017,"CBCL,CBCL_56H"
-0.017,"SympChck,CSC_55dP"
-0.018,"SympChck,CSC_40P"
-0.018,"CBCL,CBCL_59"
-0.020,"SympChck,CSC_37P"
-0.022,"CBCL,CBCL_19"
-0.023,"SCQ,SCQ_37"
-0.024,"SympChck,CSC_53P"
-0.024,"NIH_Scores,NIH7_Card"
-0.029,"SCARED_P,SCARED_P_40"
-0.029,"NIH_Scores,NIH7_Pattern"
-0.029,"CBCL,CBCL_42"
-0.033,"MFQ_P,MFQ_P_07"
-0.033,"CBCL,CBCL_93"
-0.039,"CBCL,CBCL_71"
-0.049,"SWAN,SWAN_18"
-0.059,"PreInt_DevHx,m_birthage"
-0.129,"NIH_Scores,NIH7_List"
