coef,feature
0.497,"CBCL,CBCL_62"
0.392,"CBCL,CBCL_38"
0.389,"SympChck,CSC_52C"
0.387,"SCQ,SCQ_20"
0.349,"CBCL,CBCL_67"
0.333,"SympChck,CSC_52P"
0.317,"PreInt_DevHx,lost_skills"
0.310,"ESWAN,SocAnx_05"
0.308,"SWAN,SWAN_08"
0.307,"CBCL,CBCL_04"
0.307,"SWAN,SWAN_07"
0.295,"MFQ_P,MFQ_P_06"
0.293,"SCARED_P,SCARED_P_04"
0.293,"SympChck,CSC_12C"
0.293,"MFQ_P,MFQ_P_05"
0.288,"MFQ_P,MFQ_P_30"
0.287,"CBCL,CBCL_25"
0.274,"SympChck,CSC_09C"
0.269,"ICU_P,ICU_P_07"
0.269,"SCQ,SCQ_40"
0.266,"SympChck,CSC_21C"
0.265,"CBCL,CBCL_29"
0.261,"CBCL,CBCL_08"
0.258,"CBCL,CBCL_64"
0.255,"ESWAN,MDD_8B"
0.254,"CBCL,CBCL_13"
0.252,"SWAN,SWAN_02"
0.249,"MFQ_P,MFQ_P_21"
0.248,"SCQ,SCQ_14"
0.243,"CBCL,CBCL_111"
0.242,"CBCL,CBCL_42"
0.237,"ICU_P,ICU_P_17"
0.235,"CBCL,CBCL_05"
0.234,"SCARED_P,SCARED_P_36"
0.231,"SympChck,CSC_51P"
0.227,"SympChck,CSC_12P"
0.225,"SympChck,CSC_50P"
0.213,"SympChck,CSC_18C"
0.207,"SympChck,CSC_55iP"
0.205,"SympChck,CSC_11P"
0.202,"CBCL,CBCL_01"
0.202,"CBCL,CBCL_48"
0.201,"SympChck,CSC_04C"
0.199,"SCARED_P,SCARED_P_40"
0.192,"SympChck,CSC_50C"
0.191,"SCARED_P,SCARED_P_26"
0.191,"SympChck,CSC_19C"
0.191,"CBCL,CBCL_30"
0.189,"SCQ,SCQ_06"
0.188,"SCQ,SCQ_18"
0.187,"SWAN,SWAN_04"
0.185,"SympChck,CSC_51C"
0.185,"CBCL,CBCL_102"
0.178,"MFQ_P,MFQ_P_13"
0.175,"SympChck,CSC_36C"
0.173,"PreInt_DevHx,premature_WAS_MISSING"
0.172,"CBCL,CBCL_56H"
0.161,"CBCL,CBCL_37"
0.160,"ESWAN,DMDD_7C"
0.160,"SWAN,SWAN_05"
0.159,"SympChck,CSC_49C"
0.156,"SCARED_P,SCARED_P_38"
0.154,"ESWAN,DMDD_6C"
0.154,"ICU_P,ICU_P_04"
0.152,"SCQ,SCQ_37"
0.152,"CBCL,CBCL_80"
0.149,"Basic_Demos,Sex"
0.149,"SympChck,CSC_48P"
0.146,"SympChck,CSC_20C"
0.143,"MFQ_P,MFQ_P_31"
0.140,"MFQ_P,MFQ_P_25"
0.136,"ESWAN,MDD_5"
0.136,"MFQ_P,MFQ_P_33"
0.134,"SCQ,SCQ_17"
0.134,"CBCL,CBCL_83"
0.134,"SWAN,SWAN_14"
0.133,"CBCL,CBCL_11"
0.131,"SWAN,SWAN_09"
0.130,"CBCL,CBCL_85"
0.129,"SympChck,CSC_34P"
0.129,"SCQ,SCQ_11"
0.128,"SWAN,SWAN_15"
0.127,"MFQ_P,MFQ_P_27"
0.127,"SympChck,CSC_36P"
0.126,"SCQ,SCQ_38"
0.124,"MFQ_P,MFQ_P_10"
0.124,"ICU_P,ICU_P_02"
0.124,"MFQ_P,MFQ_P_07"
0.123,"SympChck,CSC_55iC"
0.123,"CBCL,CBCL_70"
0.119,"SCQ,SCQ_02"
0.118,"CBCL,CBCL_06"
0.118,"SympChck,CSC_48C"
0.117,"SCARED_P,SCARED_P_17"
0.116,"SCQ,SCQ_19"
0.116,"SympChck,CSC_37P"
0.116,"SCQ,SCQ_32"
0.113,"CBCL,CBCL_84"
0.112,"SCQ,SCQ_27"
0.112,"PreInt_DevHx,temp_06"
0.110,"SympChck,CSC_04P"
0.107,"CBCL,CBCL_17"
0.106,"CBCL,CBCL_65"
0.106,"SympChck,CSC_18P"
0.105,"CBCL,CBCL_24"
0.103,"ICU_P,ICU_P_08"
0.103,"ESWAN,DMDD_10B"
0.100,"SCQ,SCQ_15"
0.098,"SympChck,CSC_03C"
0.098,"SCQ,SCQ_26"
0.096,"SCARED_P,SCARED_P_34"
0.096,"SympChck,CSC_31C"
0.096,"SympChck,CSC_55bC"
0.094,"MFQ_P,MFQ_P_08"
0.090,"SCQ,SCQ_04"
0.089,"SympChck,CSC_06C"
0.088,"MFQ_P,MFQ_P_14"
0.088,"PreInt_DevHx,newborn_problems"
0.087,"SWAN,SWAN_17"
0.086,"ESWAN,SocAnx_02"
0.085,"ICU_P,ICU_P_24"
0.080,"ESWAN,DMDD_7B"
0.079,"CBCL,CBCL_79"
0.078,"SCQ,SCQ_13"
0.077,"SCARED_P,SCARED_P_01"
0.077,"ESWAN,DMDD_5C"
0.077,"ESWAN,SocAnx_01"
0.077,"SympChck,CSC_33C"
0.075,"CBCL,CBCL_31"
0.074,"ESWAN,SocAnx_04B"
0.073,"SCQ,SCQ_07"
0.073,"CBCL,CBCL_09"
0.073,"SympChck,CSC_15C"
0.071,"SCARED_P,SCARED_P_06"
0.071,"SCQ,SCQ_24"
0.069,"ICU_P,ICU_P_21"
0.068,"SympChck,CSC_55eP"
0.064,"SCARED_P,SCARED_P_03"
0.062,"CBCL,CBCL_49"
0.060,"SCARED_P,SCARED_P_08"
0.059,"SympChck,CSC_22C"
0.059,"SympChck,CSC_17P"
0.056,"CBCL,CBCL_55"
0.056,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.056,"MFQ_P,MFQ_P_29"
0.054,"SympChck,CSC_11C"
0.054,"SCQ,SCQ_08"
0.054,"SympChck,CSC_34C"
0.054,"SCARED_P,SCARED_P_25"
0.054,"MFQ_P,MFQ_P_20"
0.054,"SympChck,CSC_21P"
0.054,"MFQ_P,MFQ_P_16"
0.053,"SWAN,SWAN_12"
0.053,"MFQ_P,MFQ_P_02"
0.052,"CBCL,CBCL_78"
0.051,"SympChck,CSC_35C"
0.050,"CBCL,CBCL_10"
0.049,"CBCL,CBCL_51"
0.048,"CBCL,CBCL_61"
0.047,"SCQ,SCQ_16"
0.046,"SympChck,CSC_09P"
0.046,"CBCL,CBCL_57"
0.046,"ESWAN,DMDD_6A"
0.045,"SCQ,SCQ_05"
0.045,"ESWAN,SocAnx_04A"
0.045,"SympChck,CSC_37C"
0.043,"SCARED_P,SCARED_P_30"
0.042,"PreInt_DevHx,birthweight_ozs"
0.042,"ESWAN,MDD_8A"
0.041,"CBCL,CBCL_28"
0.038,"ESWAN,DMDD_6B"
0.038,"SCQ,SCQ_39"
0.035,"MFQ_P,MFQ_P_03"
0.033,"ESWAN,MDD_6"
0.033,"CBCL,CBCL_60"
0.033,"CBCL,CBCL_52"
0.031,"CBCL,CBCL_22"
0.030,"CBCL,CBCL_88"
0.030,"ESWAN,Panic_B08"
0.029,"PreInt_DevHx,skill_age_06"
0.028,"SympChck,CSC_17C"
0.028,"SWAN,SWAN_06"
0.028,"PreInt_DevHx,temp_08"
0.028,"SCARED_P,SCARED_P_13"
0.027,"ICU_P,ICU_P_11"
0.027,"ICU_P,ICU_P_20"
0.027,"SCARED_P,SCARED_P_37"
0.027,"PreInt_DevHx,hospital_dur"
0.027,"ICU_P,ICU_P_16"
0.027,"SympChck,CSC_32P"
0.026,"PreInt_DevHx,temp_05"
0.025,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
0.023,"SympChck,CSC_38P"
0.020,"ESWAN,DMDD_7A"
0.020,"MFQ_P,MFQ_P_28"
0.018,"CBCL,CBCL_23"
0.017,"CBCL,CBCL_50"
0.015,"SympChck,CSC_10C"
0.015,"CBCL,CBCL_43"
0.015,"SympChck,CSC_43P"
0.015,"SCARED_P,SCARED_P_10"
0.014,"SCARED_P,SCARED_P_29"
0.014,"CBCL,CBCL_45"
0.014,"SCQ,SCQ_36"
0.013,"ESWAN,DMDD_9B"
0.012,"SCQ,SCQ_31"
0.012,"PreInt_DevHx,growth_concerns"
0.012,"ESWAN,Panic_B11"
0.011,"CBCL,CBCL_56C"
0.010,"CBCL,CBCL_107"
0.010,"SCQ,SCQ_09"
0.008,"CBCL,CBCL_59"
0.008,"CBCL,CBCL_36"
0.008,"SympChck,CSC_31P"
0.008,"CBCL,CBCL_66"
0.005,"SWAN,SWAN_18"
0.004,"SCARED_P,SCARED_P_32"
0.002,"CBCL,CBCL_54"
0.001,"CBCL,CBCL_14"
0.001,"SympChck,CSC_28C"
0.000,"SympChck,CSC_55bP"
0.000,"PreInt_DevHx,birthweight_lbs"
-0.002,"SympChck,CSC_41P"
-0.007,"PreInt_DevHx,m_birthage"
-0.007,"ESWAN,MDD_2A"
-0.011,"CBCL,CBCL_03"
-0.017,"PreInt_DevHx,skill_age_14"
-0.017,"SympChck,CSC_24P"
-0.021,"PreInt_DevHx,temp_09"
-0.024,"ESWAN,Panic_B10"
-0.025,"ICU_P,ICU_P_13"
-0.035,"CBCL,CBCL_91"
-0.036,"NIH_Scores,NIH7_Card"
-0.041,"SympChck,CSC_29P"
-0.049,"NIH_Scores,NIH7_Pattern"
-0.051,"SympChck,CSC_41C"
-0.058,"SCQ,SCQ_28"
-0.059,"CBCL,CBCL_07"
-0.063,"ESWAN,Panic_A02B"
-0.065,"ESWAN,MDD_2B"
-0.067,"PreInt_DevHx,skill_age_06_WAS_MISSING"
-0.074,"ESWAN,MDD_7"
-0.080,"CBCL,CBCL_96"
-0.087,"CBCL,CBCL_63"
-0.102,"Basic_Demos,Age"
-0.107,"NIH_Scores,NIH7_Flanker"
-0.115,"PreInt_DevHx,puberty"
-0.132,"NIH_Scores,NIH7_List"
-0.145,"PreInt_DevHx,dev_normal"
-0.154,"PreInt_DevHx,labor_dur"
-0.158,"ESWAN,Panic_B05"
