coef,feature
0.350,"ESWAN,DMDD_10C"
0.340,"MFQ_P,MFQ_P_29"
0.279,"CBCL,CBCL_12"
0.263,"SympChck,CSC_16C"
0.206,"SympChck,CSC_20C"
0.193,"SCARED_P,SCARED_P_11"
0.169,"SCQ,SCQ_15"
0.141,"CBCL,CBCL_33"
0.141,"PreInt_DevHx,temp_07"
0.134,"MFQ_P,MFQ_P_26"
0.126,"ESWAN,SocAnx_03"
0.124,"ESWAN,DMDD_9C"
0.123,"SympChck,CSC_30C"
0.120,"CBCL,CBCL_70"
0.114,"CBCL,CBCL_23"
0.114,"SympChck,CSC_34P"
0.105,"SympChck,CSC_49C"
0.102,"SympChck,CSC_15P"
0.100,"CBCL,CBCL_56F"
0.098,"CBCL,CBCL_56C"
0.094,"ESWAN,DMDD_2C"
0.092,"SympChck,CSC_51P"
0.087,"SWAN,SWAN_12"
0.086,"CBCL,CBCL_56A"
0.084,"ESWAN,MDD_7"
0.083,"PreInt_DevHx,temp_05"
0.081,"ESWAN,DMDD_9B"
0.077,"PreInt_DevHx,birthweight_lbs"
0.075,"CBCL,CBCL_41"
0.074,"CBCL,CBCL_14"
0.063,"SympChck,CSC_15C"
0.059,"SympChck,CSC_48P"
0.054,"ESWAN,DMDD_8C"
0.054,"CBCL,CBCL_93"
0.036,"SympChck,CSC_35P"
0.035,"ESWAN,DMDD_2B"
0.033,"ESWAN,DMDD_1B"
0.031,"SCQ,SCQ_07"
0.031,"SCQ,SCQ_05"
0.028,"SWAN,SWAN_10"
0.028,"MFQ_P,MFQ_P_25"
0.023,"SympChck,CSC_37C"
0.021,"SCQ,SCQ_04"
0.016,"SympChck,CSC_11C"
0.014,"SympChck,CSC_34C"
0.013,"SympChck,CSC_14P"
0.013,"CBCL,CBCL_05"
0.013,"ESWAN,DMDD_1C"
0.010,"MFQ_P,MFQ_P_28"
0.009,"SympChck,CSC_10C"
0.009,"ESWAN,SocAnx_02"
0.006,"SCQ,SCQ_08"
0.006,"CBCL,CBCL_19"
0.005,"CBCL,CBCL_08"
0.003,"SympChck,CSC_50C"
-0.017,"NIH_Scores,NIH7_Card"
-0.048,"ICU_P,ICU_P_19"
-0.062,"Basic_Demos,Age"
-0.136,"PreInt_DevHx,birthweight_lbs_WAS_MISSING"
-0.138,"PreInt_DevHx,newborn_problems"
-0.231,"NIH_Scores,NIH7_List"
