coef,feature
0.376,"SDQ,SDQ_13"
0.369,"ARI_P,ARI_P_07"
0.343,"SDQ,SDQ_29_a"
0.337,"CBCL,CBCL_23"
0.307,"ICU_P,ICU_P_20"
0.256,"SDQ,SDQ_07"
0.253,"SDQ,SDQ_26"
0.238,"ARI_P,ARI_P_01"
0.231,"CBCL,CBCL_28"
0.224,"SDQ,SDQ_12"
0.220,"ASSQ,ASSQ_17"
0.210,"PSI,PSI_33"
0.208,"ARI_P,ARI_P_04"
0.206,"PSI,PSI_35"
0.200,"SCARED_P,SCARED_P_40"
0.200,"CBCL,CBCL_25"
0.198,"PSI,PSI_28"
0.186,"SRS,SRS_64"
0.180,"ARI_P,ARI_P_05"
0.179,"CBCL,CBCL_103"
0.179,"ESWAN,DMDD_7A"
0.179,"CBCL,CBCL_50"
0.178,"CBCL,CBCL_22"
0.174,"CBCL,CBCL_02"
0.173,"SRS,SRS_36"
0.173,"ESWAN,Panic_B08"
0.170,"ESWAN,DMDD_10A"
0.162,"MFQ_P,MFQ_P_24"
0.154,"CBCL,CBCL_03"
0.153,"PSI,PSI_02"
0.151,"DTS,DTS_03"
0.149,"ESWAN,DMDD_1A"
0.146,"ARI_P,ARI_P_02"
0.145,"MFQ_P,MFQ_P_29"
0.143,"CBCL,CBCL_20"
0.142,"SWAN,SWAN_04"
0.137,"MFQ_P,MFQ_P_01"
0.134,"ICU_P,ICU_P_09"
0.134,"PSI,PSI_14"
0.131,"SRS,SRS_61"
0.130,"ICU_P,ICU_P_15"
0.123,"CBCL,CBCL_39"
0.122,"ASSQ,ASSQ_18"
0.122,"CBCL,CBCL_111"
0.118,"CBCL,CBCL_21"
0.118,"SWAN,SWAN_15"
0.117,"ICU_P,ICU_P_16"
0.116,"APQ_P,APQ_P_29"
0.113,"RBS,RBS_04"
0.111,"RBS,RBS_30"
0.110,"CBCL,CBCL_97"
0.108,"SDQ,SDQ_29_d"
0.106,"MFQ_P,MFQ_P_15"
0.106,"DTS,DTS_07"
0.104,"ESWAN,MDD_1B"
0.104,"CBCL,CBCL_94"
0.104,"PSI,PSI_26"
0.102,"APQ_P,APQ_P_12"
0.100,"SWAN,SWAN_05"
0.097,"ESWAN,MDD_2A"
0.096,"SRS,SRS_22"
0.096,"CBCL,CBCL_61"
0.096,"SympChck,CSC_43C"
