coef,feature
0.993,"APQ_SR,APQ_SR_39"
0.705,"APQ_SR,APQ_SR_35"
0.684,"APQ_SR,APQ_SR_12"
0.584,"SDQ,SDQ_13"
0.540,"APQ_SR,APQ_SR_33"
0.528,"APQ_SR,APQ_SR_31"
0.485,"ASSQ,ASSQ_21"
0.453,"SCARED_P,SCARED_P_36"
0.347,"APQ_SR,APQ_SR_36"
0.346,"CBCL,CBCL_23"
0.334,"APQ_SR,APQ_SR_20"
0.315,"CBCL,CBCL_47"
0.310,"APQ_P,APQ_P_41"
0.254,"APQ_SR,APQ_SR_38"
0.253,"RBS,RBS_01"
0.239,"APQ_SR,APQ_SR_37"
0.219,"MFQ_P,MFQ_P_16"
0.211,"CBCL,CBCL_86"
0.194,"CBCL,CBCL_96"
0.193,"ESWAN,DMDD_10C"
0.175,"CBCL,CBCL_84"
0.172,"CBCL,CBCL_99"
0.168,"SRS,SRS_19"
0.161,"CBCL,CBCL_29"
0.151,"ESWAN,MDD_1A"
0.142,"SCARED_P,SCARED_P_17"
0.141,"SDQ,SDQ_07"
0.139,"ESWAN,MDD_7"
0.131,"CBCL,CBCL_42"
0.124,"MFQ_P,MFQ_P_10"
0.113,"APQ_SR,APQ_SR_24"
0.090,"RBS,RBS_12"
0.086,"ESWAN,MDD_2A"
0.079,"SRS,SRS_23"
0.070,"SympChck,CSC_11C"
0.062,"APQ_SR,APQ_SR_22"
0.061,"SRS,SRS_11"
0.061,"RBS,RBS_25"
0.056,"CBCL,CBCL_63"
0.054,"ICU_P,ICU_P_08"
0.054,"SWAN,SWAN_12"
0.051,"SRS,SRS_18"
0.037,"SWAN,SWAN_11"
0.035,"SDQ,SDQ_14"
0.025,"ASSQ,ASSQ_17"
0.014,"SRS,SRS_08"
0.014,"RBS,RBS_36"
0.011,"SRS,SRS_37"
0.011,"ICU_P,ICU_P_17"
0.005,"SCARED_P,SCARED_P_10"
0.004,"MFQ_P,MFQ_P_19"
-0.001,"SCARED_P,SCARED_P_09"
-0.008,"SympChck,CSC_13P"
-0.009,"APQ_SR,APQ_SR_14A_WAS_MISSING"
-0.013,"SRS,SRS_32"
-0.014,"CBCL,CBCL_26"
-0.025,"DTS,DTS_12"
-0.029,"APQ_SR,APQ_SR_13"
-0.033,"APQ_P,APQ_P_14"
-0.051,"CBCL,CBCL_24"
-0.058,"APQ_SR,APQ_SR_01A"
-0.059,"CBCL,CBCL_11"
-0.075,"APQ_P,APQ_P_02"
-0.094,"Basic_Demos,Age"
-0.098,"ASSQ,ASSQ_26"
-0.105,"CBCL,CBCL_09"
-0.107,"SympChck,CSC_33C"
-0.115,"SympChck,CSC_29P"
-0.117,"PSI,PSI_10"
-0.126,"APQ_SR,APQ_SR_07"
-0.130,"ESWAN,MDD_3B"
-0.138,"PSI,PSI_19"
-0.179,"SympChck,CSC_52P"
-0.188,"ESWAN,Panic_B05"
-0.191,"PreInt_DevHx,newborn_problems"
-0.210,"APQ_SR,APQ_SR_07A"
-0.220,"CBCL,CBCL_83"
-0.227,"CBCL,CBCL_39"
-0.243,"APQ_SR,APQ_SR_01"
-0.371,"APQ_SR,APQ_SR_15"
-0.398,"SympChck,CSC_41C"
-0.491,"APQ_SR,APQ_SR_02"
