coef,feature
1.890,"Basic_Demos,Age"
1.552,"APQ_SR,APQ_SR_24"
0.978,"APQ_SR,APQ_SR_08"
0.912,"APQ_SR,APQ_SR_14"
0.751,"APQ_P,APQ_P_36"
0.723,"APQ_SR,APQ_SR_12"
0.619,"CBCL,CBCL_88"
0.610,"MFQ_P,MFQ_P_33"
0.558,"APQ_SR,APQ_SR_05"
0.518,"APQ_SR,APQ_SR_10"
0.477,"APQ_SR,APQ_SR_39"
0.456,"PreInt_DevHx,puberty"
0.443,"APQ_SR,APQ_SR_32"
0.435,"APQ_SR,APQ_SR_31"
0.429,"PhenX_Neighborhood,PhenX_NS_02"
0.335,"SRS,SRS_51"
0.333,"SDQ,SDQ_06"
0.302,"MFQ_P,MFQ_P_12"
0.249,"SCARED_P,SCARED_P_05"
0.243,"SCARED_P,SCARED_P_12"
0.233,"RBS,RBS_07"
0.223,"APQ_P,APQ_P_08"
0.220,"ESWAN,MDD_3B"
0.205,"CBCL,CBCL_56A"
0.202,"ESWAN,MDD_8A"
0.168,"MFQ_P,MFQ_P_24"
0.166,"SympChck,CSC_52P"
0.142,"APQ_SR,APQ_SR_01A"
0.118,"SDQ,SDQ_19"
0.114,"ESWAN,DMDD_9A"
0.105,"SympChck,CSC_17C"
0.072,"SDQ,SDQ_03"
0.070,"APQ_SR,APQ_SR_03"
0.068,"APQ_SR,APQ_SR_25"
0.050,"SympChck,CSC_17P"
0.050,"APQ_P,APQ_P_18"
0.047,"SCARED_P,SCARED_P_14"
0.021,"APQ_SR,APQ_SR_28"
0.015,"MFQ_P,MFQ_P_25"
0.007,"CBCL,CBCL_101"
0.003,"SDQ,SDQ_08"
0.001,"CBCL,CBCL_90"
-0.035,"SympChck,CSC_43P"
-0.087,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.105,"RBS,RBS_33"
-0.107,"ESWAN,DMDD_2A"
-0.145,"SCQ,SCQ_11"
-0.149,"SympChck,CSC_45C"
-0.206,"PSI,PSI_36"
-0.703,"Basic_Demos,Sex"
