coef,feature
1.652,"Basic_Demos,Age"
0.918,"APQ_SR,APQ_SR_32"
0.851,"APQ_P,APQ_P_06"
0.784,"APQ_P,APQ_P_32"
0.726,"CBCL,CBCL_69"
0.706,"APQ_P,APQ_P_12"
0.681,"CBCL,CBCL_24"
0.591,"MFQ_P,MFQ_P_12"
0.587,"RBS,RBS_40"
0.585,"APQ_P,APQ_P_19"
0.583,"SCQ,SCQ_35"
0.569,"APQ_SR,APQ_SR_21"
0.443,"ICU_P,ICU_P_20"
0.393,"SRS,SRS_39"
0.390,"APQ_SR,APQ_SR_08"
0.380,"SRS,SRS_40"
0.378,"SCQ,SCQ_39"
0.372,"APQ_P,APQ_P_22"
0.367,"DTS,DTS_10"
0.344,"CBCL,CBCL_90"
0.334,"NIH_Scores,NIH7_Pattern"
0.331,"SWAN,SWAN_05"
0.326,"SympChck,CSC_08C"
0.325,"CBCL,CBCL_28"
0.323,"APQ_P,APQ_P_10"
0.314,"SympChck,CSC_03C"
0.312,"SDQ,SDQ_06"
0.309,"CBCL,CBCL_09"
0.307,"ESWAN,MDD_2B"
0.305,"RBS,RBS_10"
0.296,"CBCL,CBCL_88"
0.292,"CBCL,CBCL_04"
0.292,"CBCL,CBCL_03"
0.288,"RBS,RBS_41"
0.285,"PSI,PSI_32"
0.280,"PSI,PSI_34"
0.276,"PSI,PSI_26"
0.274,"ESWAN,MDD_2A"
0.270,"APQ_SR,APQ_SR_14A"
0.257,"CBCL,CBCL_05"
0.255,"ESWAN,MDD_3B"
0.249,"CBCL,CBCL_40"
0.248,"MFQ_P,MFQ_P_34"
0.235,"ESWAN,DMDD_6A"
0.231,"SCARED_P,SCARED_P_31"
0.223,"RBS,RBS_31"
0.222,"PSI,PSI_33"
0.222,"CBCL,CBCL_56C"
0.213,"PSI,PSI_15"
0.200,"APQ_P,APQ_P_42"
0.191,"APQ_SR,APQ_SR_14"
0.191,"PSI,PSI_14"
0.188,"MFQ_P,MFQ_P_11"
0.168,"SCARED_P,SCARED_P_14"
0.163,"MFQ_P,MFQ_P_27"
0.159,"PSI,PSI_35"
0.153,"CBCL,CBCL_22"
0.152,"PreInt_DevHx,temp_04"
0.148,"PreInt_DevHx,puberty"
0.146,"PSI,PSI_08"
0.143,"CBCL,CBCL_67"
0.138,"PSI,PSI_03"
0.138,"CBCL,CBCL_89"
0.136,"SympChck,CSC_30C"
0.136,"ICU_P,ICU_P_07"
0.134,"CBCL,CBCL_42"
0.134,"APQ_P,APQ_P_36"
0.134,"APQ_SR,APQ_SR_06"
0.128,"SympChck,CSC_41C"
0.125,"ICU_P,ICU_P_15"
0.120,"SCARED_P,SCARED_P_20"
0.116,"PSI,PSI_27"
0.105,"APQ_P,APQ_P_20"
0.101,"CBCL,CBCL_16"
0.100,"MFQ_P,MFQ_P_33"
0.096,"SRS,SRS_32"
0.094,"CBCL,CBCL_20"
0.092,"SympChck,CSC_50C"
0.089,"APQ_SR,APQ_SR_36"
0.088,"ICU_P,ICU_P_11"
0.075,"MFQ_P,MFQ_P_32"
0.072,"PreInt_DevHx,m_birthage"
0.071,"SDQ,SDQ_28"
0.066,"SympChck,CSC_09P"
0.063,"APQ_SR,APQ_SR_26"
0.062,"APQ_P,APQ_P_24"
0.061,"DTS,DTS_12"
0.060,"SympChck,CSC_55bC"
0.060,"PSI,PSI_07"
0.060,"APQ_P,APQ_P_08"
0.056,"ICU_P,ICU_P_22"
0.056,"ESWAN,MDD_4"
0.051,"SympChck,CSC_55cC"
0.051,"SympChck,CSC_55aC"
0.051,"DTS,DTS_15"
0.048,"CBCL,CBCL_21"
0.048,"NIH_Scores,NIH7_List"
0.047,"APQ_P,APQ_P_27"
0.047,"APQ_SR,APQ_SR_30"
0.041,"CBCL,CBCL_101"
0.039,"SCQ,SCQ_10"
0.034,"CBCL,CBCL_76"
0.032,"DTS,DTS_01"
0.030,"ESWAN,MDD_5"
0.030,"SympChck,CSC_40P"
0.027,"ESWAN,MDD_3A"
0.026,"MFQ_P,MFQ_P_20"
0.024,"APQ_P,APQ_P_05"
0.024,"ASSQ,ASSQ_05"
0.023,"ICU_P,ICU_P_04"
0.019,"APQ_SR,APQ_SR_26A"
0.015,"CBCL,CBCL_43"
0.013,"APQ_P,APQ_P_17"
0.013,"MFQ_P,MFQ_P_02"
0.011,"SympChck,CSC_40C"
0.001,"SDQ,SDQ_30"
0.000,"CBCL,CBCL_94"
-0.016,"SCQ,SCQ_02"
-0.029,"SCQ,SCQ_16"
-0.041,"APQ_P,APQ_P_11"
-0.053,"SCARED_P,SCARED_P_25"
-0.060,"APQ_SR,APQ_SR_23"
-0.063,"SCQ,SCQ_18"
-0.067,"PreInt_DevHx,temp_07"
-0.079,"SRS,SRS_26"
-0.080,"CBCL,CBCL_108"
-0.083,"SympChck,CSC_14C"
-0.125,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.149,"APQ_SR,APQ_SR_34"
-0.156,"RBS,RBS_33"
-0.271,"APQ_SR,APQ_SR_41"
-0.321,"Basic_Demos,Sex"
