coef,feature
0.367,"CBCL,CBCL_61"
0.190,"PSI,PSI_18"
0.058,"SRS,SRS_43"
0.055,"APQ_P,APQ_P_42"
0.053,"SWAN,SWAN_06"
0.050,"MFQ_P,MFQ_P_33"
0.048,"RBS,RBS_21"
0.041,"SDQ,SDQ_29_c"
0.039,"SympChck,CSC_55aP"
0.038,"PreInt_DevHx,birthweight_ozs"
0.037,"CBCL,CBCL_75"
0.034,"RBS,RBS_09"
0.033,"APQ_SR,APQ_SR_24"
0.030,"RBS,RBS_02"
0.029,"APQ_SR,APQ_SR_42"
0.029,"ICU_P,ICU_P_18"
0.027,"SCARED_P,SCARED_P_19"
0.026,"PreInt_DevHx,dev_normal"
0.026,"APQ_P,APQ_P_03"
0.026,"ICU_P,ICU_P_10"
0.025,"SympChck,CSC_15C"
0.024,"SympChck,CSC_45C"
0.023,"APQ_SR,APQ_SR_39"
0.023,"SympChck,CSC_24C"
0.022,"SympChck,CSC_55eP"
0.022,"SDQ,SDQ_09"
0.020,"ASSQ,ASSQ_14"
0.020,"DTS,DTS_13"
0.018,"SympChck,CSC_43P"
0.017,"CBCL,CBCL_43"
0.015,"SympChck,CSC_08C"
0.015,"SCQ,SCQ_40"
0.014,"SympChck,CSC_21C"
0.014,"SCARED_P,SCARED_P_03"
0.014,"SAS,SAS_10"
0.013,"SDQ,SDQ_13"
0.013,"MFQ_P,MFQ_P_30"
0.012,"CBCL,CBCL_79"
0.012,"SCQ,SCQ_09"
0.012,"APQ_SR,APQ_SR_30"
0.012,"DTS,DTS_06"
0.011,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.010,"SCQ,SCQ_32"
0.009,"SRS,SRS_59"
0.009,"SCQ,SCQ_22"
0.009,"SRS,SRS_21"
0.009,"APQ_P,APQ_P_11"
0.008,"SWAN,SWAN_04"
0.007,"APQ_P,APQ_P_37"
0.006,"DTS,DTS_02"
0.006,"SympChck,CSC_01C"
0.006,"APQ_SR,APQ_SR_12"
0.006,"CBCL,CBCL_82"
0.006,"SCARED_P,SCARED_P_38"
0.005,"SRS,SRS_07"
0.004,"SympChck,CSC_35P"
0.004,"SRS,SRS_49"
0.004,"APQ_P,APQ_P_01"
0.003,"SWAN,SWAN_09"
0.003,"ARI_P,ARI_P_03"
0.003,"SCARED_P,SCARED_P_17"
0.002,"SDQ,SDQ_22"
0.001,"Basic_Demos,Sex"
-0.001,"SCQ,SCQ_28"
-0.002,"APQ_SR,APQ_SR_20"
-0.002,"CBCL,CBCL_32"
-0.003,"CBCL,CBCL_66"
-0.003,"SympChck,CSC_32P"
-0.003,"SRS,SRS_64"
-0.003,"CBCL,CBCL_56C"
-0.004,"ICU_P,ICU_P_24"
-0.006,"CBCL,CBCL_19"
-0.006,"SRS,SRS_29"
-0.006,"APQ_P,APQ_P_07"
-0.007,"APQ_P,APQ_P_26"
-0.008,"NIH_Scores,NIH7_Card"
-0.010,"RBS,RBS_40"
-0.011,"CBCL,CBCL_56F"
-0.011,"SDQ,SDQ_02"
-0.011,"CBCL,CBCL_35"
-0.012,"SympChck,CSC_54P"
-0.013,"CBCL,CBCL_56B"
-0.014,"SRS,SRS_32"
-0.014,"ASSQ,ASSQ_05"
-0.015,"SDQ,SDQ_29_b"
-0.015,"MFQ_P,MFQ_P_06"
-0.015,"APQ_P,APQ_P_39"
-0.016,"ASSQ,ASSQ_20"
-0.020,"SRS,SRS_42"
-0.021,"CBCL,CBCL_59"
-0.021,"CBCL,CBCL_45"
-0.024,"MFQ_P,MFQ_P_07"
-0.027,"APQ_SR,APQ_SR_21"
-0.028,"CBCL,CBCL_03"
-0.029,"SCARED_P,SCARED_P_21"
-0.030,"SCQ,SCQ_14"
-0.034,"PreInt_DevHx,m_birthage"
-0.036,"CBCL,CBCL_71"
-0.041,"NIH_Scores,NIH7_Pattern"
-0.044,"CBCL,CBCL_57"
-0.045,"PSI,PSI_08"
-0.050,"SympChck,CSC_27P"
-0.051,"Barratt,financialsupport"
-0.080,"NIH_Scores,NIH7_List"
