coef,feature
0.196,"PSI,PSI_20"
0.193,"MFQ_P,MFQ_P_13"
0.189,"SDQ,SDQ_29_b"
0.188,"SRS,SRS_49"
0.183,"MFQ_P,MFQ_P_06"
0.163,"CBCL,CBCL_62"
0.156,"SDQ,SDQ_29_d"
0.155,"SRS,SRS_32"
0.155,"MFQ_P,MFQ_P_05"
0.154,"SRS,SRS_14"
0.152,"CBCL,CBCL_102"
0.146,"SWAN,SWAN_02"
0.139,"CBCL,CBCL_13"
0.138,"ESWAN,MDD_8B"
0.135,"MFQ_P,MFQ_P_21"
0.134,"ASSQ,ASSQ_18"
0.134,"SRS,SRS_64"
0.132,"PSI,PSI_03"
0.131,"SRS,SRS_36"
0.131,"SRS,SRS_22"
0.125,"SRS,SRS_44"
0.124,"SDQ,SDQ_26"
0.122,"CBCL,CBCL_78"
0.121,"ASSQ,ASSQ_13"
0.120,"RBS,RBS_22"
0.119,"ESWAN,SocAnx_05"
0.119,"SympChck,CSC_21C"
0.119,"SympChck,CSC_34C"
0.116,"SCARED_P,SCARED_P_04"
0.116,"SRS,SRS_51"
0.115,"RBS,RBS_37"
0.115,"CBCL,CBCL_08"
0.115,"SRS,SRS_09"
0.114,"CBCL,CBCL_38"
0.114,"PSI,PSI_21"
0.114,"MFQ_P,MFQ_P_33"
0.113,"SRS,SRS_29"
0.112,"CBCL,CBCL_04"
0.111,"PSI,PSI_28"
0.111,"ASSQ,ASSQ_03"
0.110,"SDQ,SDQ_15"
0.108,"RBS,RBS_02"
0.108,"MFQ_P,MFQ_P_10"
0.108,"PSI,PSI_18"
0.107,"ASSQ,ASSQ_05"
0.107,"SWAN,SWAN_03"
0.107,"RBS,RBS_16"
0.107,"SRS,SRS_01"
0.106,"PSI,PSI_31"
0.106,"MFQ_P,MFQ_P_12"
0.106,"CBCL,CBCL_49"
0.106,"ESWAN,MDD_5"
0.105,"SDQ,SDQ_29_a"
0.105,"CBCL,CBCL_29"
0.105,"SRS,SRS_65"
0.105,"SRS,SRS_57"
0.103,"SympChck,CSC_12P"
0.103,"CBCL,CBCL_24"
0.103,"ESWAN,MDD_8A"
0.103,"PSI,PSI_33"
0.103,"SRS,SRS_20"
0.101,"RBS,RBS_21"
0.101,"SympChck,CSC_21P"
0.101,"CBCL,CBCL_61"
0.101,"SRS,SRS_42"
0.101,"PreInt_DevHx,premature_WAS_MISSING"
0.100,"CBCL,CBCL_100"
0.100,"PreInt_DevHx,skill_age_06"
0.099,"SWAN,SWAN_05"
0.099,"SRS,SRS_30"
0.099,"SympChck,CSC_09C"
0.099,"SympChck,CSC_34P"
0.098,"ASSQ,ASSQ_17"
0.098,"PreInt_DevHx,lost_skills"
0.097,"SRS,SRS_27"
0.097,"CBCL,CBCL_80"
0.096,"SCQ,SCQ_20"
0.096,"SympChck,CSC_33C"
0.095,"RBS,RBS_42"
0.095,"APQ_SR,APQ_SR_14A"
0.095,"SRS,SRS_03"
0.094,"RBS,RBS_27"
0.093,"RBS,RBS_23"
0.092,"SDQ,SDQ_11"
0.091,"SCARED_P,SCARED_P_17"
0.090,"CBCL,CBCL_111"
0.090,"SWAN,SWAN_04"
0.089,"SRS,SRS_33"
0.088,"ASSQ,ASSQ_15"
0.088,"SRS,SRS_23"
0.088,"PSI,PSI_04"
0.088,"SDQ,SDQ_25"
0.087,"SRS,SRS_18"
0.087,"SRS,SRS_10"
0.087,"SWAN,SWAN_07"
0.087,"ICU_P,ICU_P_19"
0.085,"RBS,RBS_20"
0.085,"SDQ,SDQ_28"
0.085,"SDQ,SDQ_30"
0.084,"RBS,RBS_04"
0.084,"SDQ,SDQ_29_c"
0.084,"CBCL,CBCL_77"
0.082,"ASSQ,ASSQ_12"
0.082,"SRS,SRS_38"
0.082,"SympChck,CSC_19P"
0.082,"SCARED_P,SCARED_P_13"
0.081,"CBCL,CBCL_67"
0.081,"SympChck,CSC_52P"
0.081,"SCARED_P,SCARED_P_26"
0.080,"ASSQ,ASSQ_10"
0.080,"SRS,SRS_58"
0.080,"ASSQ,ASSQ_27"
0.080,"SCARED_P,SCARED_P_36"
0.080,"PreInt_DevHx,hospital_dur"
0.079,"CBCL,CBCL_76"
0.079,"APQ_P,APQ_P_05"
0.078,"ASSQ,ASSQ_04"
0.078,"PSI,PSI_26"
0.077,"CBCL,CBCL_71"
0.077,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.077,"ICU_P,ICU_P_01"
0.076,"SympChck,CSC_30P"
0.076,"ASSQ,ASSQ_19"
0.076,"SCARED_P,SCARED_P_37"
0.076,"SRS,SRS_02"
0.075,"RBS,RBS_31"
0.075,"RBS,RBS_41"
0.075,"APQ_SR,APQ_SR_11A"
0.075,"MFQ_P,MFQ_P_32"
0.075,"SympChck,CSC_51P"
0.074,"SDQ,SDQ_14"
0.074,"SympChck,CSC_30C"
0.074,"SympChck,CSC_17P"
0.074,"APQ_SR,APQ_SR_05"
0.074,"APQ_SR,APQ_SR_26A"
0.073,"SWAN,SWAN_09"
0.073,"PreInt_DevHx,growth_concerns"
0.073,"CBCL,CBCL_88"
0.072,"CBCL,CBCL_87"
0.072,"SRS,SRS_08"
0.072,"ICU_P,ICU_P_07"
0.071,"CBCL,CBCL_45"
0.071,"CBCL,CBCL_75"
0.071,"SCQ,SCQ_40"
0.070,"SRS,SRS_41"
0.070,"SRS,SRS_35"
0.070,"CBCL,CBCL_17"
0.069,"SympChck,CSC_52C"
0.069,"MFQ_P,MFQ_P_08"
0.068,"CBCL,CBCL_51"
0.068,"SCQ,SCQ_18"
0.068,"PSI,PSI_02"
0.067,"SCARED_P,SCARED_P_40"
0.066,"SRS,SRS_63"
0.066,"SRS,SRS_24"
0.066,"SympChck,CSC_33P"
0.066,"SRS,SRS_13"
0.065,"CBCL,CBCL_55"
0.065,"SRS,SRS_07"
0.064,"ASSQ,ASSQ_16"
0.064,"SWAN,SWAN_01"
0.064,"ICU_P,ICU_P_17"
0.063,"ASSQ,ASSQ_11"
0.063,"SCQ,SCQ_37"
0.062,"SDQ,SDQ_16"
0.062,"SWAN,SWAN_08"
0.061,"SympChck,CSC_51C"
0.061,"SympChck,CSC_17C"
0.061,"MFQ_P,MFQ_P_07"
0.061,"SRS,SRS_50"
0.061,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
0.060,"ESWAN,DMDD_5C"
0.060,"SRS,SRS_56"
0.060,"CBCL,CBCL_83"
0.060,"ASSQ,ASSQ_22"
0.060,"CBCL,CBCL_56G"
0.059,"RBS,RBS_26"
0.059,"SCQ,SCQ_38"
0.059,"CBCL,CBCL_65"
0.059,"RBS,RBS_05"
0.058,"SRS,SRS_62"
0.058,"SDQ,SDQ_19"
0.058,"SDQ,SDQ_24"
0.057,"SympChck,CSC_08C"
0.057,"ASSQ,ASSQ_25"
0.057,"SympChck,CSC_55bC"
0.057,"MFQ_P,MFQ_P_27"
0.057,"SympChck,CSC_12C"
0.057,"SWAN,SWAN_06"
0.056,"CBCL,CBCL_31"
0.056,"SympChck,CSC_20C"
0.055,"SCARED_P,SCARED_P_06"
0.055,"SRS,SRS_55"
0.055,"ESWAN,DMDD_7C"
0.054,"ESWAN,MDD_3B"
0.054,"CBCL,CBCL_56H"
0.053,"SympChck,CSC_11P"
0.053,"SympChck,CSC_36P"
0.053,"RBS,RBS_01"
0.053,"ASSQ,ASSQ_14"
0.053,"ICU_P,ICU_P_24"
0.053,"MFQ_P,MFQ_P_04"
0.053,"SympChck,CSC_36C"
0.052,"SWAN,SWAN_14"
0.052,"SympChck,CSC_42C"
0.051,"ESWAN,Panic_B08"
0.051,"CBCL,CBCL_85"
0.051,"SympChck,CSC_18P"
0.051,"CBCL,CBCL_48"
0.051,"ESWAN,SocAnx_01"
0.051,"ASSQ,ASSQ_21"
0.050,"RBS,RBS_30"
0.050,"SDQ,SDQ_10"
0.050,"PreInt_DevHx,newborn_problems"
0.050,"SympChck,CSC_25C"
0.049,"CBCL,CBCL_42"
0.049,"APQ_P,APQ_P_16"
0.049,"CBCL,CBCL_10"
0.049,"SRS,SRS_04"
0.049,"SRS,SRS_06"
0.049,"ESWAN,MDD_6"
0.048,"SympChck,CSC_15C"
0.048,"SRS,SRS_37"
0.047,"PreInt_DevHx,temp_04"
0.047,"APQ_P,APQ_P_07"
0.046,"SRS,SRS_12"
0.046,"CBCL,CBCL_25"
0.046,"MFQ_P,MFQ_P_26"
0.046,"SympChck,CSC_31C"
0.046,"SympChck,CSC_53P"
0.045,"PreInt_DevHx,hospital_dur_WAS_MISSING"
0.045,"APQ_SR,APQ_SR_11"
0.045,"CBCL,CBCL_56E"
0.045,"RBS,RBS_43"
0.044,"MFQ_P,MFQ_P_30"
0.044,"SCARED_P,SCARED_P_11"
0.044,"SDQ,SDQ_06"
0.044,"SCARED_P,SCARED_P_08"
0.043,"CBCL,CBCL_54"
0.043,"RBS,RBS_40"
0.043,"SCQ,SCQ_05"
0.043,"MFQ_P,MFQ_P_01"
0.043,"CBCL,CBCL_84"
0.042,"SCARED_P,SCARED_P_05"
0.042,"APQ_SR,APQ_SR_20A"
0.042,"CBCL,CBCL_56F"
0.042,"APQ_SR,APQ_SR_40"
0.042,"SympChck,CSC_26C"
0.042,"SRS,SRS_61"
0.042,"PreInt_DevHx,birthweight_lbs"
0.041,"CBCL,CBCL_97"
0.041,"RBS,RBS_44"
0.041,"CBCL,CBCL_64"
0.041,"SympChck,CSC_55bP"
0.040,"RBS,RBS_28"
0.040,"ICU_P,ICU_P_15"
0.040,"PSI,PSI_19"
0.040,"CBCL,CBCL_79"
0.039,"SympChck,CSC_29C"
0.038,"APQ_SR,APQ_SR_07A"
0.038,"CBCL,CBCL_22"
0.038,"SDQ,SDQ_18"
0.038,"ESWAN,DMDD_7A"
0.038,"MFQ_P,MFQ_P_25"
0.038,"ASSQ,ASSQ_08"
0.038,"APQ_SR,APQ_SR_02"
0.037,"CBCL,CBCL_43"
0.037,"SympChck,CSC_19C"
0.037,"ASSQ,ASSQ_24"
0.037,"SDQ,SDQ_21"
