coef,feature
0.781,"APQ_SR,APQ_SR_39"
0.654,"APQ_SR,APQ_SR_06"
0.565,"APQ_SR,APQ_SR_24"
0.486,"APQ_SR,APQ_SR_35"
0.477,"APQ_SR,APQ_SR_31"
0.472,"SDQ,SDQ_24"
0.456,"SRS,SRS_41"
0.443,"APQ_SR,APQ_SR_30"
0.435,"SympChck,CSC_03C"
0.414,"APQ_P,APQ_P_41"
0.386,"RBS,RBS_08"
0.376,"SDQ,SDQ_28"
0.359,"APQ_SR,APQ_SR_34"
0.351,"SCARED_P,SCARED_P_11"
0.345,"APQ_SR,APQ_SR_42"
0.331,"APQ_SR,APQ_SR_33"
0.292,"APQ_SR,APQ_SR_03"
0.288,"ICU_P,ICU_P_14"
0.288,"CBCL,CBCL_53"
0.284,"APQ_SR,APQ_SR_10"
0.283,"RBS,RBS_29"
0.278,"CBCL,CBCL_23"
0.272,"SDQ,SDQ_03"
0.266,"SWAN,SWAN_10"
0.263,"SympChck,CSC_30C"
0.262,"CBCL,CBCL_12"
0.242,"SRS,SRS_45"
0.241,"APQ_P,APQ_P_18"
0.240,"CBCL,CBCL_109"
0.237,"SympChck,CSC_15C"
0.229,"PreInt_DevHx,delivery"
0.228,"SDQ,SDQ_23"
0.227,"SRS,SRS_19"
0.226,"SympChck,CSC_18C"
0.224,"CBCL,CBCL_13"
0.219,"PhenX_Neighborhood,PhenX_NS_02"
0.218,"SympChck,CSC_51P"
0.216,"Basic_Demos,Sex"
0.215,"SDQ,SDQ_13"
0.214,"CBCL,CBCL_33"
0.209,"PSI,PSI_09"
0.205,"ESWAN,DMDD_10C"
0.203,"SCARED_P,SCARED_P_12"
0.197,"SWAN,SWAN_14"
0.197,"SRS,SRS_29"
0.196,"CBCL,CBCL_14"
0.192,"SympChck,CSC_25P"
0.176,"APQ_SR,APQ_SR_29"
0.175,"SympChck,CSC_16C"
0.174,"APQ_SR,APQ_SR_41"
0.172,"SCARED_P,SCARED_P_15"
0.170,"RBS,RBS_21"
0.168,"SympChck,CSC_37P"
0.167,"CBCL,CBCL_41"
0.160,"RBS,RBS_03"
0.156,"SCQ,SCQ_19"
0.155,"SCQ,SCQ_18"
0.150,"DTS,DTS_15"
0.147,"ESWAN,DMDD_1C"
0.147,"SympChck,CSC_11C"
0.145,"SympChck,CSC_04P"
0.143,"PSI,PSI_11"
0.142,"SWAN,SWAN_17"
0.139,"APQ_SR,APQ_SR_05"
0.138,"SRS,SRS_16"
0.132,"APQ_P,APQ_P_05"
0.123,"RBS,RBS_35"
0.123,"RBS,RBS_36"
0.116,"MFQ_P,MFQ_P_29"
0.115,"ASSQ,ASSQ_24"
0.112,"CBCL,CBCL_64"
0.112,"ESWAN,MDD_1A"
0.111,"ICU_P,ICU_P_10"
0.103,"PreInt_DevHx,birthweight_lbs"
0.102,"CBCL,CBCL_56C"
0.095,"APQ_SR,APQ_SR_20"
0.094,"SRS,SRS_14"
0.092,"SCQ,SCQ_32"
0.090,"PreInt_DevHx,temp_06"
0.087,"PreInt_DevHx,preg_dur"
0.083,"RBS,RBS_41"
0.082,"SWAN,SWAN_15"
0.082,"SWAN,SWAN_12"
0.081,"APQ_P,APQ_P_09"
0.079,"APQ_SR,APQ_SR_28"
0.079,"PSI,PSI_31"
0.078,"MFQ_P,MFQ_P_16"
0.078,"SCQ,SCQ_14"
0.078,"SympChck,CSC_20C"
0.077,"CBCL,CBCL_56G"
0.076,"RBS,RBS_39"
0.076,"ESWAN,DMDD_8C"
0.075,"SympChck,CSC_37C"
0.075,"PreInt_DevHx,lost_skills"
0.074,"SRS,SRS_30"
0.072,"APQ_P,APQ_P_29"
0.071,"SRS,SRS_57"
0.071,"SRS,SRS_42"
0.069,"PreInt_DevHx,skill_age_06"
0.063,"SympChck,CSC_11P"
0.063,"SWAN,SWAN_18"
0.060,"SDQ,SDQ_14"
0.060,"APQ_SR,APQ_SR_38"
0.057,"APQ_SR,APQ_SR_25"
0.055,"SympChck,CSC_45P"
0.055,"ARI_P,ARI_P_02"
0.055,"CBCL,CBCL_86"
0.054,"CBCL,CBCL_54"
0.052,"ARI_P,ARI_P_01"
0.050,"MFQ_P,MFQ_P_33"
0.050,"ASSQ,ASSQ_17"
0.047,"APQ_P,APQ_P_34"
0.044,"ASSQ,ASSQ_20"
0.043,"CBCL,CBCL_102"
0.043,"ASSQ,ASSQ_11"
0.043,"APQ_SR,APQ_SR_04A_WAS_MISSING"
0.042,"RBS,RBS_05"
0.040,"SympChck,CSC_36P"
0.037,"APQ_SR,APQ_SR_36"
0.036,"MFQ_P,MFQ_P_27"
0.035,"APQ_SR,APQ_SR_40"
0.034,"SympChck,CSC_04C"
0.034,"CBCL,CBCL_49"
0.033,"SympChck,CSC_54P"
0.033,"SympChck,CSC_12C"
0.032,"APQ_SR,APQ_SR_20A_WAS_MISSING"
0.031,"SympChck,CSC_55eP"
0.031,"CBCL,CBCL_30"
0.030,"SympChck,CSC_48P"
0.029,"CBCL,CBCL_110"
