coef,feature
2.926,"NIH_Scores,NIH7_Pattern"
2.154,"NIH_Scores,NIH7_Flanker"
1.985,"NIH_Scores,NIH7_Card"
1.832,"NIH_Scores,NIH7_List"
1.379,"Basic_Demos,Sex"
0.645,"APQ_P,APQ_P_36"
0.400,"PSI,PSI_24"
0.394,"SDQ,SDQ_03"
0.337,"SCARED_P,SCARED_P_20"
0.329,"CBCL,CBCL_81"
0.314,"ICU_P,ICU_P_22"
0.311,"APQ_P,APQ_P_06"
0.247,"Barratt,financialsupport"
0.234,"PreInt_DevHx,newborn_problems_WAS_MISSING"
0.219,"CBCL,CBCL_93"
0.205,"SympChck,CSC_06P"
0.158,"SRS,SRS_01"
0.146,"CBCL,CBCL_56F"
0.144,"SCARED_P,SCARED_P_33"
0.124,"APQ_SR,APQ_SR_05"
0.118,"SWAN,SWAN_13"
0.111,"APQ_SR,APQ_SR_13"
0.110,"CBCL,CBCL_106"
0.104,"MFQ_P,MFQ_P_27"
0.100,"CBCL,CBCL_44"
0.071,"ICU_P,ICU_P_13"
0.067,"SympChck,CSC_36P"
0.063,"SympChck,CSC_12P"
0.038,"SympChck,CSC_19C"
0.037,"SympChck,CSC_14P"
0.031,"SCARED_P,SCARED_P_22"
0.030,"APQ_SR,APQ_SR_33"
0.012,"APQ_SR,APQ_SR_36"
0.011,"APQ_SR,APQ_SR_15"
-0.013,"ESWAN,MDD_8A"
-0.035,"APQ_P,APQ_P_11"
-0.052,"SympChck,CSC_05C"
-0.057,"SDQ,SDQ_27"
-0.059,"SympChck,CSC_34P"
-0.059,"SRS,SRS_06"
-0.075,"SympChck,CSC_09P"
-0.077,"ASSQ,ASSQ_22"
-0.085,"APQ_SR,APQ_SR_11"
-0.086,"APQ_SR,APQ_SR_19"
-0.102,"CBCL,CBCL_108"
-0.108,"SDQ,SDQ_20"
-0.117,"SCQ,SCQ_39"
-0.141,"CBCL,CBCL_90"
-0.157,"PreInt_DevHx,temp_11"
-0.170,"SympChck,CSC_50C"
-0.197,"SRS,SRS_03"
-0.204,"APQ_SR,APQ_SR_37"
-0.211,"CBCL,CBCL_79"
-0.226,"PreInt_DevHx,skill_age_06"
-0.245,"PreInt_DevHx,temp_06"
-0.291,"SCQ,SCQ_40"
-0.340,"ASSQ,ASSQ_09"
-0.348,"PreInt_DevHx,puberty"
-0.451,"APQ_P,APQ_P_40"
-0.502,"SWAN,SWAN_06"
-0.508,"CBCL,CBCL_61"
-0.578,"SDQ,SDQ_09"
-0.610,"SRS,SRS_49"
-0.631,"SympChck,CSC_33C"
-0.802,"SympChck,CSC_34C"
-0.819,"CBCL,CBCL_80"
-1.291,"PSI,PSI_18"
-1.636,"Basic_Demos,Age"
