coef,feature
1.421,"Basic_Demos,Age"
0.877,"PreInt_DevHx,puberty"
0.765,"APQ_SR,APQ_SR_24"
0.742,"C3SR,C3SR_05"
0.717,"CBCL,CBCL_90"
0.701,"APQ_SR,APQ_SR_10"
0.635,"APQ_SR,APQ_SR_12"
0.632,"WHODAS_SR,WHODAS_SR_05"
0.625,"WHODAS_SR,WHODAS_SR_02"
0.615,"APQ_SR,APQ_SR_32"
0.565,"WHODAS_SR,WHODAS_SR_Days02"
0.555,"C3SR,C3SR_31"
0.531,"SCQ,SCQ_22"
0.478,"C3SR,C3SR_16"
0.475,"WHODAS_SR,WHODAS_SR_10"
0.456,"WHODAS_SR,WHODAS_SR_Days01"
0.441,"APQ_SR,APQ_SR_08"
0.438,"MFQ_P,MFQ_P_33"
0.407,"ICU_P,ICU_P_18"
0.394,"SympChck,CSC_37C"
0.375,"WHODAS_SR,WHODAS_SR_06"
0.343,"SCARED_P,SCARED_P_06"
0.340,"RBS,RBS_41"
0.324,"SDQ,SDQ_26"
0.322,"SAS,SAS_02"
0.305,"SympChck,CSC_10P"
0.296,"CBCL,CBCL_07"
0.295,"PSI,PSI_26"
0.288,"SympChck,CSC_17C"
0.273,"WHODAS_SR,WHODAS_SR_07"
0.267,"C3SR,C3SR_02"
0.258,"C3SR,C3SR_11"
0.253,"WHODAS_SR,WHODAS_SR_08"
0.239,"C3SR,C3SR_34"
0.224,"WHODAS_SR,WHODAS_SR_12"
0.223,"C3SR,C3SR_17"
0.220,"APQ_SR,APQ_SR_29"
0.217,"RBS,RBS_14"
0.210,"CBCL,CBCL_75"
0.206,"SCQ,SCQ_35"
0.204,"C3SR,C3SR_10"
0.204,"SympChck,CSC_35P"
0.203,"RBS,RBS_36"
0.199,"CBCL,CBCL_22"
0.196,"SCARED_P,SCARED_P_27"
0.194,"APQ_SR,APQ_SR_01A"
0.188,"C3SR,C3SR_09"
0.186,"CBCL,CBCL_56H"
0.178,"ASSQ,ASSQ_21"
0.177,"APQ_P,APQ_P_36"
0.176,"CBCL,CBCL_58"
0.172,"CBCL,CBCL_76"
0.166,"PSI,PSI_15"
0.160,"SCQ,SCQ_07"
0.159,"SCARED_P,SCARED_P_19"
0.157,"WHODAS_SR,WHODAS_SR_Days03"
0.154,"RBS,RBS_07"
0.152,"APQ_SR,APQ_SR_06"
0.150,"APQ_SR,APQ_SR_31"
0.148,"C3SR,C3SR_22"
0.148,"APQ_P,APQ_P_08"
0.144,"PreInt_EduHx,absent_other"
0.137,"SympChck,CSC_17P"
0.134,"MFQ_P,MFQ_P_12"
0.121,"WHODAS_SR,WHODAS_SR_04"
0.115,"PreInt_EduHx,getalongkids_neighborhood_WAS_MISSING"
0.115,"CIS_SR,CIS_SR_03"
0.108,"CBCL,CBCL_69"
0.107,"SympChck,CSC_10C"
0.099,"PSI,PSI_16"
0.093,"C3SR,C3SR_03"
0.091,"APQ_SR,APQ_SR_19"
0.078,"WHODAS_P,WHODAS_P_11"
0.078,"CBCL,CBCL_56B"
0.077,"MFQ_P,MFQ_P_24"
0.075,"PSI,PSI_12"
0.070,"CIS_SR,CIS_SR_11"
0.069,"RBS,RBS_05"
0.067,"SCARED_P,SCARED_P_16"
0.067,"RBS,RBS_12"
0.062,"PreInt_DevHx,temp_05"
0.062,"SAS,SAS_10"
0.061,"MFQ_P,MFQ_P_03"
0.059,"SympChck,CSC_47P"
0.057,"APQ_SR,APQ_SR_05"
0.056,"SCARED_P,SCARED_P_20"
0.052,"C3SR,C3SR_37"
0.051,"SCQ,SCQ_31"
0.047,"SympChck,CSC_39C"
0.043,"APQ_SR,APQ_SR_17"
0.041,"MFQ_P,MFQ_P_20"
0.040,"RBS,RBS_25"
0.040,"SAS,SAS_09"
0.039,"MFQ_P,MFQ_P_21"
0.039,"CBCL,CBCL_51"
0.035,"SympChck,CSC_37P"
0.032,"ESWAN,MDD_3B"
0.030,"APQ_P,APQ_P_32"
0.029,"CIS_SR,CIS_SR_04"
0.025,"PSI,PSI_06"
0.023,"ICU_P,ICU_P_09"
0.023,"SCARED_P,SCARED_P_38"
0.021,"APQ_P,APQ_P_27"
0.016,"CIS_SR,CIS_SR_12"
0.014,"ASSQ,ASSQ_25"
0.009,"PreInt_DevHx,m_birthage_WAS_MISSING"
0.008,"NIH_Scores,NIH7_Complete"
0.007,"CBCL,CBCL_88"
0.004,"APQ_SR,APQ_SR_36"
0.000,"RBS,RBS_10"
-0.003,"SympChck,CSC_38C"
-0.006,"APQ_P,APQ_P_24"
-0.012,"ESWAN,SocAnx_03"
-0.014,"SympChck,CSC_06C"
-0.015,"CBCL,CBCL_72"
-0.029,"SCQ,SCQ_40"
-0.029,"CBCL,CBCL_32"
-0.046,"ICU_P,ICU_P_17"
-0.053,"C3SR,C3SR_20"
-0.057,"ESWAN,Panic_B02"
-0.071,"PreInt_DevHx,hospital_dur"
-0.076,"C3SR,C3SR_13"
-0.076,"APQ_SR,APQ_SR_38"
-0.077,"SCQ,SCQ_26"
-0.085,"PreInt_EduHx,strength_history"
-0.089,"ASSQ,ASSQ_02"
-0.095,"RBS,RBS_35"
-0.102,"CBCL,CBCL_79"
-0.115,"PreInt_EduHx,dance"
-0.116,"PreInt_EduHx,strength_foreignlanguage"
-0.117,"APQ_P,APQ_P_07"
-0.133,"SympChck,CSC_05P"
-0.142,"RBS,RBS_33"
-0.144,"SympChck,CSC_45C"
-0.150,"SCQ,SCQ_11"
-0.157,"SympChck,CSC_55eP"
-0.160,"SRS,SRS_17"
-0.163,"APQ_SR,APQ_SR_27"
-0.167,"MFQ_P,MFQ_P_14"
-0.167,"SympChck,CSC_03P"
-0.168,"APQ_P,APQ_P_23"
-0.169,"ASSQ,ASSQ_19"
-0.176,"CBCL,CBCL_60"
-0.184,"CBCL,CBCL_62"
-0.189,"SRS,SRS_54"
-0.191,"PSI,PSI_36"
-0.195,"PreInt_DevHx,labor_dur_WAS_MISSING"
-0.202,"SRS,SRS_10"
-0.226,"ASSQ,ASSQ_03"
-0.251,"SympChck,CSC_12P"
-0.259,"CBCL,CBCL_14"
-0.259,"APQ_SR,APQ_SR_42"
-0.280,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.292,"SympChck,CSC_38P"
-0.333,"SympChck,CSC_12C"
-0.349,"ASSQ,ASSQ_20"
-0.377,"SympChck,CSC_43P"
-0.545,"Basic_Demos,Sex"
-0.546,"C3SR,C3SR_25"
-0.583,"PreInt_DevHx,temp_08"
