coef,feature
3.396,"Basic_Demos,Age"
1.919,"APQ_P,APQ_P_06"
1.794,"RBS,RBS_40"
1.103,"CBCL,CBCL_24"
1.089,"APQ_SR,APQ_SR_32"
1.065,"CIS_P,CIS_P_13"
1.004,"APQ_P,APQ_P_22"
0.917,"PSI,PSI_14"
0.875,"RBS,RBS_41"
0.784,"CBCL,CBCL_69"
0.705,"APQ_P,APQ_P_12"
0.691,"APQ_P,APQ_P_36"
0.652,"PSI,PSI_33"
0.640,"SympChck,CSC_08C"
0.635,"CBCL,CBCL_56C"
0.619,"RBS,RBS_10"
0.572,"CIS_P,CIS_P_02"
0.528,"APQ_P,APQ_P_32"
0.492,"MFQ_P,MFQ_P_34"
0.469,"CBCL,CBCL_111"
0.465,"CBCL,CBCL_26"
0.440,"ICU_P,ICU_P_20"
0.410,"MFQ_P,MFQ_P_01"
0.409,"APQ_P,APQ_P_08"
0.396,"APQ_P,APQ_P_24"
0.395,"ESWAN,DMDD_6A"
0.388,"SympChck,CSC_03C"
0.380,"SympChck,CSC_40C"
0.366,"SCQ,SCQ_35"
0.364,"MFQ_P,MFQ_P_12"
0.357,"PreInt_EduHx,weakness_foreignlanguage"
0.344,"SDQ,SDQ_06"
0.340,"CBCL,CBCL_56A"
0.318,"CBCL,CBCL_05"
0.310,"CIS_P,CIS_P_11"
0.306,"PSI,PSI_29"
0.292,"PreInt_EduHx,detention"
0.291,"PSI,PSI_27"
0.276,"ESWAN,MDD_2B"
0.273,"MFQ_P,MFQ_P_27"
0.272,"ESWAN,MDD_2A"
0.264,"ICU_P,ICU_P_06"
0.262,"APQ_P,APQ_P_26"
0.260,"CIS_SR,CIS_SR_03"
0.254,"SRS,SRS_39"
0.254,"PreInt_DevHx,m_birthage"
0.239,"RBS,RBS_31"
0.236,"MFQ_P,MFQ_P_33"
0.235,"MFQ_P,MFQ_P_20"
0.220,"CBCL,CBCL_12"
0.214,"CBCL,CBCL_31"
0.210,"APQ_P,APQ_P_27"
0.172,"APQ_P,APQ_P_42"
0.168,"SCARED_P,SCARED_P_22"
0.155,"PSI,PSI_32"
0.153,"APQ_SR,APQ_SR_36"
0.152,"PreInt_EduHx,afterschoolteams"
0.135,"SRS,SRS_32"
0.132,"Barratt,financialsupport"
0.129,"SAS,SAS_09"
0.121,"SympChck,CSC_55iP"
0.116,"APQ_P,APQ_P_20"
0.116,"C3SR,C3SR_23"
0.101,"CBCL,CBCL_28"
0.099,"APQ_P,APQ_P_19"
0.099,"WHODAS_P,WHODAS_P_02"
0.098,"APQ_SR,APQ_SR_08"
0.097,"ASSQ,ASSQ_08"
0.079,"CBCL,CBCL_88"
0.079,"APQ_P,APQ_P_31"
0.075,"SCQ,SCQ_31"
0.069,"CBCL,CBCL_49"
0.064,"CBCL,CBCL_98"
0.034,"DTS,DTS_10"
0.029,"ICU_P,ICU_P_15"
0.018,"CBCL,CBCL_63"
0.015,"ASSQ,ASSQ_06"
0.006,"CBCL,CBCL_65"
0.006,"CBCL,CBCL_09"
-0.009,"APQ_SR,APQ_SR_17"
-0.011,"ESWAN,Panic_A01B"
-0.012,"ESWAN,Panic_B09"
-0.023,"SympChck,CSC_14P"
-0.028,"SRS,SRS_52"
-0.033,"SympChck,CSC_55cP"
-0.061,"PSI,PSI_22"
-0.063,"CIS_SR,CIS_SR_06"
-0.139,"SCQ,SCQ_37"
-0.142,"CIS_SR,CIS_SR_05"
-0.151,"C3SR,C3SR_20"
-0.163,"PreInt_DevHx,temp_07"
-0.165,"CIS_SR,CIS_SR_07"
-0.166,"SympChck,CSC_22C"
-0.194,"SDQ,SDQ_23"
-0.251,"SRS,SRS_44"
-0.253,"RBS,RBS_33"
-0.259,"PreInt_DevHx,birthweight_ozs_WAS_MISSING"
-0.271,"SCARED_P,SCARED_P_36"
-0.273,"SRS,SRS_02"
-0.305,"ASSQ,ASSQ_18"
-0.311,"APQ_SR,APQ_SR_41"
-0.327,"APQ_P,APQ_P_11"
-0.345,"PreInt_EduHx,strength_other"
-0.363,"CBCL,CBCL_64"
-0.369,"RBS,RBS_20"
-0.379,"SympChck,CSC_49P"
-0.393,"MFQ_P,MFQ_P_09"
-0.459,"RBS,RBS_13"
-0.532,"CBCL,CBCL_108"
-0.585,"SCARED_P,SCARED_P_12"
-0.697,"C3SR,C3SR_36"
-0.771,"Basic_Demos,Sex"
-0.813,"SCQ,SCQ_19"
