coef,feature
0.261,"CBCL,CBCL_61"
0.115,"PSI,PSI_18"
0.087,"C3SR,C3SR_36"
0.073,"SWAN,SWAN_06"
0.059,"CIS_P,CIS_P_12"
0.045,"PSI,PSI_22"
0.042,"SRS,SRS_43"
0.036,"ICU_P,ICU_P_03"
0.034,"APQ_P,APQ_P_03"
0.033,"DTS,DTS_13"
0.031,"RBS,RBS_35"
0.030,"SympChck,CSC_34C"
0.030,"SympChck,CSC_55aP"
0.030,"SympChck,CSC_24C"
0.026,"SCARED_P,SCARED_P_17"
0.024,"SDQ,SDQ_20"
0.024,"C3SR,C3SR_38"
0.023,"ARI_P,ARI_P_03"
0.023,"PreInt_DevHx,dev_normal"
0.021,"ESWAN,DMDD_9C"
0.019,"APQ_SR,APQ_SR_30"
0.018,"CIS_SR,CIS_SR_10"
0.018,"APQ_P,APQ_P_05"
0.017,"CBCL,CBCL_65"
0.017,"SympChck,CSC_26C"
0.016,"C3SR,C3SR_33"
0.016,"MFQ_P,MFQ_P_33"
0.015,"SCQ,SCQ_39"
0.015,"SCQ,SCQ_09"
0.015,"RBS,RBS_08"
0.014,"SympChck,CSC_24P"
0.014,"APQ_SR,APQ_SR_39"
0.014,"SCQ,SCQ_36"
0.014,"C3SR,C3SR_28"
0.014,"SDQ,SDQ_09"
0.014,"APQ_P,APQ_P_28"
0.012,"SCQ,SCQ_23"
0.012,"ICU_P,ICU_P_09"
0.011,"RBS,RBS_09"
0.011,"PSI,PSI_19"
0.009,"APQ_P,APQ_P_17"
0.009,"SDQ,SDQ_29_c"
0.007,"ICU_P,ICU_P_19"
0.006,"WHODAS_P,WHODAS_P_Days02"
0.006,"SRS,SRS_15"
0.005,"SDQ,SDQ_17"
0.004,"WHODAS_SR,WHODAS_SR_Days02"
0.003,"WHODAS_SR,WHODAS_SR_Days03"
0.003,"IAT,IAT_14"
0.003,"SympChck,CSC_43C"
0.002,"CBCL,CBCL_101"
0.002,"SCARED_P,SCARED_P_03"
0.002,"C3SR,C3SR_18"
0.002,"APQ_SR,APQ_SR_42"
0.002,"APQ_SR,APQ_SR_12"
0.001,"ICU_P,ICU_P_14"
0.001,"RBS,RBS_18"
0.001,"C3SR,C3SR_22"
0.001,"C3SR,C3SR_13"
0.001,"APQ_P,APQ_P_41"
0.000,"SRS,SRS_17"
0.000,"CBCL,CBCL_99"
0.000,"C3SR,C3SR_24"
-0.001,"CBCL,CBCL_52"
-0.001,"PreInt_DevHx,lost_skills"
-0.001,"SympChck,CSC_22P"
-0.002,"PSI,PSI_08"
-0.003,"SDQ,SDQ_29_c_WAS_MISSING"
-0.003,"CBCL,CBCL_85"
-0.004,"CBCL,CBCL_57"
-0.005,"CBCL,CBCL_42"
-0.005,"SCQ,SCQ_14"
-0.006,"ASSQ,ASSQ_10"
-0.007,"PreInt_DevHx,temp_04"
-0.007,"C3SR,C3SR_23"
-0.008,"CIS_P,CIS_P_10"
-0.008,"RBS,RBS_11"
-0.009,"ASSQ,ASSQ_07"
-0.011,"SWAN,SWAN_18"
-0.012,"SympChck,CSC_29C"
-0.012,"MFQ_P,MFQ_P_07"
-0.014,"CBCL,CBCL_24"
-0.015,"MFQ_P,MFQ_P_10"
-0.015,"CBCL,CBCL_50"
-0.015,"CBCL,CBCL_32"
-0.015,"SDQ,SDQ_28"
-0.016,"CBCL,CBCL_109"
-0.017,"PSI,PSI_02"
-0.017,"CBCL,CBCL_14"
-0.019,"CIS_P,CIS_P_08"
-0.019,"NIH_Scores,NIH7_Pattern"
-0.020,"CBCL,CBCL_45"
-0.021,"APQ_SR,APQ_SR_15"
-0.022,"NIH_Scores,NIH7_Flanker"
-0.023,"CIS_SR,CIS_SR_08"
-0.024,"CBCL,CBCL_71"
-0.028,"ESWAN,Panic_B04"
-0.031,"Barratt,financialsupport"
-0.033,"APQ_P,APQ_P_26"
-0.039,"SWAN,SWAN_08"
-0.050,"APQ_P,APQ_P_31"
-0.051,"NIH_Scores,NIH7_Card"
-0.054,"PreInt_DevHx,m_birthage"
-0.084,"NIH_Scores,NIH7_List"
