coef,feature
0.319,"ASSQ,ASSQ_13"
0.302,"CBCL,CBCL_85"
0.266,"SympChck,CSC_30C"
0.262,"SDQ,SDQ_29_b"
0.259,"SRS,SRS_33"
0.259,"CBCL,CBCL_67"
0.259,"SRS,SRS_36"
0.250,"SRS,SRS_32"
0.250,"RBS,RBS_37"
0.249,"ESWAN,SocAnx_05"
0.248,"SRS,SRS_01"
0.236,"MFQ_P,MFQ_P_06"
0.234,"CBCL,CBCL_04"
0.233,"SRS,SRS_14"
0.229,"CBCL,CBCL_38"
0.224,"SRS,SRS_44"
0.218,"SRS,SRS_09"
0.214,"SWAN,SWAN_02"
0.212,"SRS,SRS_49"
0.206,"PSI,PSI_20"
0.200,"CBCL,CBCL_24"
0.197,"SRS,SRS_57"
0.197,"SRS,SRS_43"
0.193,"RBS,RBS_41"
0.191,"SDQ,SDQ_29_d"
0.186,"ASSQ,ASSQ_18"
0.186,"MFQ_P,MFQ_P_13"
0.185,"MFQ_P,MFQ_P_05"
0.179,"CBCL,CBCL_71"
0.177,"SDQ,SDQ_19"
0.177,"SRS,SRS_30"
0.173,"SympChck,CSC_09C"
0.172,"CBCL,CBCL_102"
0.171,"SRS,SRS_10"
0.171,"CBCL,CBCL_08"
0.169,"RBS,RBS_20"
0.168,"SDQ,SDQ_29_c"
0.168,"PreInt_EduHx,getalongkids_school"
0.167,"SRS,SRS_29"
0.162,"ASSQ,ASSQ_05"
0.162,"CBCL,CBCL_31"
0.161,"PSI,PSI_16"
0.158,"PSI,PSI_26"
0.158,"MFQ_P,MFQ_P_21"
0.158,"SRS,SRS_03"
0.158,"SCARED_P,SCARED_P_36"
0.157,"SympChck,CSC_12C"
0.157,"PSI,PSI_03"
0.156,"ICU_P,ICU_P_20"
0.152,"SCARED_P,SCARED_P_08"
0.152,"CBCL,CBCL_13"
0.150,"SympChck,CSC_19C"
0.149,"SDQ,SDQ_28"
0.149,"PSI,PSI_31"
0.147,"CBCL,CBCL_29"
0.146,"SDQ,SDQ_15"
0.146,"SympChck,CSC_21P"
0.143,"CBCL,CBCL_52"
0.141,"SDQ,SDQ_26"
0.140,"PSI,PSI_28"
0.138,"PCIAT,PCIAT_17"
0.137,"SympChck,CSC_31C"
0.137,"SCQ,SCQ_37"
0.134,"APQ_P,APQ_P_15"
0.134,"SCARED_P,SCARED_P_26"
0.134,"SRS,SRS_37"
0.130,"SWAN,SWAN_04"
0.130,"ESWAN,MDD_8A"
0.129,"SympChck,CSC_55iP"
0.127,"SympChck,CSC_13P"
0.126,"SympChck,CSC_30P"
0.126,"SDQ,SDQ_24"
0.125,"SWAN,SWAN_01"
0.125,"RBS,RBS_31"
0.124,"SympChck,CSC_10C"
0.123,"SRS,SRS_22"
0.123,"ICU_P,ICU_P_07"
0.123,"CBCL,CBCL_83"
0.122,"SRS,SRS_41"
0.121,"SympChck,CSC_55iC"
0.116,"SRS,SRS_58"
0.116,"RBS,RBS_34"
0.115,"SCARED_P,SCARED_P_15"
0.114,"SympChck,CSC_21C"
0.113,"PreInt_DevHx,lost_skills"
0.112,"SDQ,SDQ_25"
0.112,"MFQ_P,MFQ_P_03"
0.111,"MFQ_P,MFQ_P_26"
0.111,"SRS,SRS_24"
0.110,"SympChck,CSC_01C"
0.110,"IAT,IAT_13"
0.110,"ASSQ,ASSQ_25"
0.109,"SDQ,SDQ_14"
0.109,"CBCL,CBCL_41"
0.108,"ICU_P,ICU_P_11"
0.107,"SympChck,CSC_33C"
0.106,"SRS,SRS_64"
0.106,"SRS,SRS_34"
0.104,"SDQ,SDQ_29_a"
0.100,"SRS,SRS_56"
0.100,"SCQ,SCQ_20"
0.100,"SWAN,SWAN_07"
0.099,"ICU_P,ICU_P_02"
0.095,"ICU_P,ICU_P_17"
0.095,"ESWAN,DMDD_7C"
0.094,"SCQ,SCQ_18"
0.094,"PreInt_DevHx,growth_concerns"
0.091,"CBCL,CBCL_62"
0.089,"PSI,PSI_21"
0.089,"PSI,PSI_33"
0.088,"APQ_P,APQ_P_26"
0.087,"SRS,SRS_07"
0.087,"PreInt_DevHx,skill_age_06"
0.086,"CBCL,CBCL_80"
0.086,"PSI,PSI_02"
0.086,"WHODAS_SR,WHODAS_SR_03"
0.085,"CBCL,CBCL_57"
0.084,"RBS,RBS_30"
0.084,"SCQ,SCQ_05"
0.083,"WHODAS_SR,WHODAS_SR_04"
0.082,"ASSQ,ASSQ_27"
0.080,"SRS,SRS_63"
0.080,"SympChck,CSC_34P"
0.079,"SDQ,SDQ_10"
0.079,"SRS,SRS_13"
0.077,"SRS,SRS_62"
0.076,"C3SR,C3SR_39"
0.076,"CBCL,CBCL_16"
0.075,"PCIAT,PCIAT_19"
0.074,"SCQ,SCQ_16"
0.073,"PSI,PSI_18"
0.073,"IAT,IAT_14"
0.072,"ASSQ,ASSQ_10"
0.072,"APQ_SR,APQ_SR_13"
0.072,"CBCL,CBCL_06"
0.072,"PreInt_EduHx,weakness_math"
0.071,"PreInt_DevHx,hospital_dur"
0.071,"PreInt_EduHx,absent_late_WAS_MISSING"
0.071,"APQ_P,APQ_P_05"
0.070,"SympChck,CSC_52C"
0.070,"SDQ,SDQ_16"
0.070,"SDQ,SDQ_30"
0.069,"PSI,PSI_15"
0.069,"SWAN,SWAN_18"
0.068,"ESWAN,DMDD_5C"
0.068,"CBCL,CBCL_22"
0.067,"APQ_P,APQ_P_04"
0.067,"RBS,RBS_01"
0.066,"APQ_SR,APQ_SR_15"
0.066,"RBS,RBS_28"
0.065,"APQ_SR,APQ_SR_12"
0.065,"SCARED_P,SCARED_P_01"
0.065,"SRS,SRS_08"
0.064,"CBCL,CBCL_94"
0.064,"WHODAS_SR,WHODAS_SR_07"
0.064,"SRS,SRS_18"
0.063,"CBCL,CBCL_81"
0.063,"APQ_SR,APQ_SR_40"
0.062,"C3SR,C3SR_28"
0.061,"ESWAN,DMDD_6C"
0.061,"RBS,RBS_16"
0.060,"PSI,PSI_07"
0.057,"WHODAS_SR,WHODAS_SR_11"
0.057,"SympChck,CSC_55bC"
0.056,"CBCL,CBCL_77"
0.056,"SympChck,CSC_12P"
0.055,"PSI,PSI_04"
0.055,"CBCL,CBCL_37"
0.055,"SympChck,CSC_18P"
0.055,"APQ_P,APQ_P_14"
0.055,"ASSQ,ASSQ_11"
0.055,"APQ_SR,APQ_SR_02"
0.052,"SRS,SRS_04"
0.052,"SympChck,CSC_18C"
0.050,"SCQ,SCQ_38"
0.050,"PreInt_DevHx,hospital_dur_WAS_MISSING"
0.050,"SympChck,CSC_33P"
0.049,"SDQ,SDQ_12"
0.049,"PCIAT,PCIAT_12"
0.049,"C3SR,C3SR_04"
0.049,"MFQ_P,MFQ_P_32"
0.048,"ESWAN,Panic_B11"
0.048,"CBCL,CBCL_48"
0.047,"MFQ_P,MFQ_P_20"
0.047,"SCARED_P,SCARED_P_06"
0.046,"MFQ_P,MFQ_P_33"
0.046,"SWAN,SWAN_03"
0.046,"SWAN,SWAN_05"
0.046,"SympChck,CSC_20C"
0.046,"SympChck,CSC_13C"
0.046,"IAT,IAT_12"
0.045,"SympChck,CSC_17P"
0.044,"SCQ,SCQ_14"
0.043,"ESWAN,MDD_5"
0.043,"PreInt_EduHx,absent_ill_WAS_MISSING"
0.042,"MFQ_P,MFQ_P_29"
0.042,"SympChck,CSC_08P"
0.042,"APQ_SR,APQ_SR_16"
0.041,"ESWAN,Panic_B08"
0.040,"SCARED_P,SCARED_P_10"
0.040,"MFQ_P,MFQ_P_14"
0.039,"RBS,RBS_04"
0.039,"MFQ_P,MFQ_P_25"
0.039,"SympChck,CSC_11C"
0.038,"SCARED_P,SCARED_P_13"
0.038,"APQ_SR,APQ_SR_11"
0.038,"CBCL,CBCL_56H"
0.038,"CBCL,CBCL_01"
0.037,"SDQ,SDQ_07"
0.037,"CBCL,CBCL_28"
0.035,"SWAN,SWAN_17"
0.035,"CBCL,CBCL_64"
0.034,"CBCL,CBCL_56E"
0.034,"PSI,PSI_14"
0.033,"SRS,SRS_11"
0.033,"CBCL,CBCL_65"
0.033,"SRS,SRS_42"
0.033,"RBS,RBS_26"
0.032,"CBCL,CBCL_45"
0.032,"ICU_P,ICU_P_24"
0.032,"CBCL,CBCL_107"
0.032,"ASSQ,ASSQ_22"
0.031,"ICU_P,ICU_P_23"
0.031,"ESWAN,MDD_6"
0.031,"SCQ,SCQ_24"
0.030,"CBCL,CBCL_84"
0.030,"APQ_SR,APQ_SR_22"
0.030,"ICU_P,ICU_P_15"
0.029,"ESWAN,DMDD_9C"
0.029,"PreInt_EduHx,bullied"
0.029,"SCARED_P,SCARED_P_04"
0.029,"RBS,RBS_42"
0.028,"SCARED_P,SCARED_P_40"
0.028,"SCARED_P,SCARED_P_12"
0.028,"APQ_SR,APQ_SR_07"
0.026,"CBCL,CBCL_46"
0.026,"SympChck,CSC_34C"
0.025,"SympChck,CSC_25C"
0.025,"RBS,RBS_43"
0.025,"MFQ_P,MFQ_P_10"
0.024,"APQ_SR,APQ_SR_11A"
0.024,"SCARED_P,SCARED_P_28"
0.024,"PCIAT,PCIAT_02"
0.024,"CBCL,CBCL_35"
0.024,"SRS,SRS_20"
0.022,"SympChck,CSC_36C"
0.021,"SympChck,CSC_17C"
0.021,"ASSQ,ASSQ_15"
0.021,"SympChck,CSC_53P"
0.021,"PSI,PSI_35"
0.020,"PreInt_EduHx,absent_other_WAS_MISSING"
0.020,"RBS,RBS_21"
0.020,"SCARED_P,SCARED_P_38"
0.020,"ASSQ,ASSQ_12"
0.020,"PSI,PSI_19"
0.020,"SRS,SRS_27"
0.019,"RBS,RBS_05"
0.019,"SCARED_P,SCARED_P_17"
0.019,"SympChck,CSC_19P"
0.019,"CBCL,CBCL_54"
0.019,"APQ_P,APQ_P_16"
0.018,"CBCL,CBCL_10"
0.018,"C3SR,C3SR_03"
0.018,"WHODAS_SR,WHODAS_SR_06"
0.017,"CBCL,CBCL_61"
0.016,"ASSQ,ASSQ_24"
0.016,"SCARED_P,SCARED_P_11"
0.016,"SRS,SRS_65"
0.016,"RBS,RBS_13"
0.015,"PCIAT,PCIAT_18"
0.015,"IAT,IAT_03"
0.015,"ASSQ,ASSQ_16"
0.014,"SympChck,CSC_01P"
0.014,"CBCL,CBCL_56A"
0.013,"SRS,SRS_12"
0.013,"SRS,SRS_52"
0.012,"PSI,PSI_34"
0.012,"CBCL,CBCL_23"
0.011,"PreInt_EduHx,absent_other"
0.011,"PCIAT,PCIAT_06"
0.011,"RBS,RBS_27"
0.010,"SRS,SRS_05"
0.010,"SWAN,SWAN_06"
0.009,"ESWAN,Panic_B12"
0.009,"PhenX_Neighborhood,PhenX_NS_03"
0.009,"ASSQ,ASSQ_07"
0.009,"SympChck,CSC_55bP"
0.009,"SympChck,CSC_51C"
0.009,"CBCL,CBCL_100"
0.008,"MFQ_P,MFQ_P_31"
0.008,"PSI,PSI_32"
0.008,"CBCL,CBCL_87"
0.008,"SCARED_P,SCARED_P_39"
0.008,"SRS,SRS_48"
0.007,"SDQ,SDQ_23"
0.007,"ESWAN,DMDD_10C"
